Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,28176.545098039238,27095.686274509804,27145.682352941185,27888.631372549025,27379.137254901972,27128.69019607844,28835.64705882354
water_to_trees,230.26666666666665,485.2705882352941,194.69019607843137,319.6235294117647,283.2823529411765,303.92156862745094,189.07450980392156
water_to_grass,875.8039215686275,148.3921568627451,73.04313725490196,235.39607843137256,80.0,53.180392156862744,55.75686274509804
water_to_flooded_vegetation,5.482352941176471,20.0,5.066666666666666,14.282352941176471,48.0,102.47843137254903,14.239215686274509
water_to_crops,78.0156862745098,34.63137254901961,65.23529411764706,222.8470588235294,70.54901960784314,45.87450980392157,21.968627450980392
water_to_shrub_and_scrub,276.83137254901965,62.31372549019608,74.9921568627451,280.0627450980392,541.6980392156863,92.10588235294115,15.509803921568627
water_to_built,14.749019607843138,41.76470588235294,37.4078431372549,26.0,16.34901960784314,7.670588235294118,14.047058823529412
water_to_bare_soil,556.0588235294117,3140.9529411764706,320.96862745098036,503.93333333333334,433.56470588235294,494.51372549019607,118.88627450980393
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,36.0,0.0
trees_to_water,185.678431372549,127.45098039215688,679.1098039215686,186.40784313725493,112.84313725490196,282.01960784313724,376.04705882352937
trees_to_trees,2084641.5450980426,2013181.3137254931,2110055.0470588263,2175898.4588235323,1947138.2039215718,1988804.368627454,2306818.525490198
trees_to_grass,85031.67450980394,13635.878431372548,22142.262745098044,179615.03921568632,38394.62352941176,23569.15686274511,156083.08627450987
trees_to_flooded_vegetation,87.33725490196078,84.0,6.0,242.10196078431372,79.94901960784314,224.7019607843137,64.57647058823531
trees_to_crops,22965.54901960784,8033.580392156863,19230.65882352941,25221.39607843137,16925.019607843136,13812.149019607843,12295.156862745098
trees_to_shrub_and_scrub,368890.7450980388,131950.2431372549,86953.7019607843,106329.02745098039,412768.59215686296,23887.219607843137,71457.49803921566
trees_to_built,3240.752941176471,1186.819607843137,1365.3176470588232,2814.976470588236,1493.2823529411767,1528.7411764705882,3156.9411764705883
trees_to_bare_soil,1690.8470588235296,823.1254901960783,9878.858823529412,289.74117647058824,5476.027450980393,56.42745098039215,66.97254901960784
trees_to_snow_and_ice,0.0,1.0,0.0,0.0,0.0,1.0,1.0
grass_to_water,20.32549019607843,38.647058823529406,126.33333333333333,21.137254901960784,43.450980392156865,31.380392156862744,234.82352941176472
grass_to_trees,16079.337254901962,104706.25882352944,158077.15686274512,15721.396078431375,49111.67843137256,138583.0745098039,53865.80392156863
grass_to_grass,3545120.878431371,3479234.5411764695,3126574.627450981,3129585.8901960803,3330087.450980395,3113504.0235294136,3360358.917647061
grass_to_flooded_vegetation,45.0,0.0,0.0,0.0,41.38823529411765,0.0,85.0
grass_to_crops,247800.84313725485,164876.41176470584,355783.7647058822,180916.62352941177,200184.6784313725,280471.63529411756,81005.34509803924
grass_to_shrub_and_scrub,69296.55294117644,125150.32156862743,48733.490196078434,31635.262745098033,179038.5333333333,27343.784313725493,44727.270588235304
