Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,168199.32156862746,162360.00392156863,157518.35686274504,163324.0941176471,157116.47450980393,154885.031372549,178370.85882352942
water_to_trees,24139.52549019608,12887.541176470588,5413.568627450981,4013.58431372549,9091.30588235294,6573.807843137255,5066.011764705882
water_to_grass,1688.8235294117646,291.8352941176471,302.0549019607843,392.5764705882353,221.0,207.9686274509804,247.41960784313727
water_to_flooded_vegetation,1512.592156862745,1304.0,897.8392156862745,1656.9764705882353,1774.3411764705882,374.0,1151.3803921568629
water_to_crops,2874.7686274509806,2471.0,4139.325490196078,2261.4549019607844,5919.580392156862,1902.1686274509805,1140.0
water_to_shrub_and_scrub,3306.6980392156865,1144.862745098039,928.3372549019608,1132.0509803921568,7031.721568627451,364.0,601.0
water_to_built,445.34901960784316,493.7607843137255,306.2,305.0,422.0,229.0,334.0705882352941
water_to_bare_soil,2084.3450980392154,7395.231372549019,3709.0039215686274,1472.9411764705883,6309.9607843137255,1802.5960784313722,543.5176470588235
water_to_snow_and_ice,7.0,432.0,25.0,53.0,538.2745098039215,36.0,2.0
trees_to_water,4577.898039215686,2914.278431372549,6785.572549019609,10633.098039215685,4029.4627450980392,7913.1568627451,9196.533333333333
trees_to_trees,15355363.784313735,15309705.015686281,15637133.666666675,15870211.901960786,14701864.184313733,14324802.462745104,15900921.117647074
trees_to_grass,141745.41960784313,25880.858823529412,43066.313725490196,251916.76078431375,64721.388235294115,40942.46274509804,204440.49019607846
trees_to_flooded_vegetation,956.2,476.0,482.60392156862747,1082.8117647058823,702.8588235294118,2171.1254901960783,2917.541176470588
trees_to_crops,146289.08235294116,173065.50588235297,104126.71372549018,189267.8705882353,158101.58039215687,103787.35294117646,80082.09411764705
trees_to_shrub_and_scrub,1642663.3411764698,522690.47450980387,544847.1333333334,411769.5607843137,2038427.2274509808,643260.1568627454,235479.03137254904
trees_to_built,12219.75294117647,7008.843137254902,4457.647058823529,8246.972549019607,9643.266666666666,3500.2745098039213,6122.709803921569
trees_to_bare_soil,25244.53725490196,4663.172549019608,15897.294117647058,3953.313725490196,28972.63137254902,1430.9882352941177,843.2705882352941
trees_to_snow_and_ice,361.0,20.0,45.0,1.0,544.8705882352941,1.0,5.0
grass_to_water,120.0,350.34117647058827,367.8352941176471,79.5843137254902,183.18823529411765,263.0,1104.7333333333333
grass_to_trees,32341.749019607843,163725.0039215686,215166.1137254902,25745.380392156865,76925.80784313727,197123.8470588235,102720.26666666669
grass_to_grass,5137699.549019608,5160203.584313726,4725410.121568628,4605969.129411764,4588621.97647059,4355897.847058824,5067826.643137255
grass_to_flooded_vegetation,129.0,178.0,145.0,54.0,208.0,4.0,436.0
grass_to_crops,372850.60000000003,233100.2549019608,454287.631372549,352036.6196078432,414201.7764705883,313853.50980392157,108543.19607843139
grass_to_shrub_and_scrub,212137.14509803918,236723.17647058828,244023.50588235294,107884.00784313728,474337.60784313723,74964.6431372549,281508.41568627453
grass_to_built,4263.733333333334,5063.050980392157,3204.372549019608,1457.9529411764706,2940.7607843137257,4718.325490196079,1823.9529411764706
grass_to_bare_soil,23709.93725490196,4237.4431372549025,13139.96862745098,4655.894117647059,68123.61568627451,446.0,9797.423529411766
grass_to_snow_and_ice,3.0,12.0,3.0,6.0,0.0,0.0,19.0
flooded_vegetation_to_water,961.0,974.0,1317.592156862745,625.8392156862745,415.0,2176.772549019608,1164.7882352941176
