Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,1133671.2196078268,1142310.6470588073,1139892.4627450816,1148739.101960768,1151003.9529411602,1150015.3725490032,1163868.3607842973
water_to_trees,57148.01568627451,18325.619607843135,10028.298039215686,6979.368627450981,14364.08235294118,23781.06274509804,9395.631372549018
water_to_grass,365.48627450980393,1015.1607843137255,208.0,42.0,95.0,444.01960784313724,318.5764705882353
water_to_flooded_vegetation,380.4078431372549,670.6823529411764,533.9411764705882,573.0,403.65098039215684,245.0,368.65098039215684
water_to_crops,388.0,95.87450980392157,57.0,318.0352941176471,171.0078431372549,42.34901960784314,123.0
water_to_shrub_and_scrub,7766.917647058824,2927.9529411764706,4147.0,210.84313725490196,16590.803921568626,672.0627450980392,604.5960784313726
water_to_built,0.0,0.23529411764705882,2.0,0.0,2.0,0.0,0.0
water_to_bare_soil,1725.419607843137,1589.364705882353,1021.5333333333333,512.0235294117647,4993.278431372549,1431.3607843137258,1619.4235294117648
water_to_snow_and_ice,352.1294117647058,280.3921568627451,884.3411764705882,68.34117647058824,2037.0196078431372,99.65882352941176,442.37254901960785
trees_to_water,8239.42745098039,8490.56862745098,12568.482352941177,19458.250980392157,16665.407843137258,7261.478431372549,6176.105882352941
trees_to_trees,9798842.792156857,9877629.117647052,10001972.556862738,10020155.203921562,9307322.188235287,9196879.972549016,10158428.584313719
trees_to_grass,39531.858823529416,14044.015686274512,25485.90588235294,55274.37647058825,28392.745098039217,20679.21568627451,30924.349019607846
trees_to_flooded_vegetation,2839.772549019608,441.0,586.3843137254902,1901.1882352941177,2041.0980392156862,1557.686274509804,2323.4313725490197
trees_to_crops,18272.501960784313,7001.46274509804,10864.627450980392,18372.286274509803,8685.882352941175,27915.815686274516,7919.168627450981
trees_to_shrub_and_scrub,662234.1372549019,193196.5450980392,256052.9843137255,168396.88235294117,1230925.3725490198,180825.2588235294,130371.14117647058
trees_to_built,523.7764705882353,623.3450980392157,396.0745098039216,509.1372549019608,1324.9098039215687,399.55294117647065,199.0156862745098
trees_to_bare_soil,7237.254901960785,2188.4117647058824,2895.0000000000005,1721.8784313725491,13212.721568627452,1593.0,559.7294117647059
trees_to_snow_and_ice,9.0,0.0,3.0,0.0,12.0,9.35686274509804,5.0
grass_to_water,4952.0,224.0,1217.1607843137253,1055.4156862745099,502.8,1280.0,252.2549019607843
grass_to_trees,26268.18039215686,50879.564705882345,51911.023529411774,14413.054901960786,35053.51764705882,35533.211764705884,42813.60392156863
grass_to_grass,716603.2980392157,712854.9176470591,653782.5333333334,562807.6117647059,501034.12549019617,512284.65490196075,758744.1137254903
grass_to_flooded_vegetation,638.0,420.0,1335.0,1744.0,328.0,568.0,846.0
grass_to_crops,67045.98039215687,74524.52941176471,35034.14901960784,90156.49019607843,29364.992156862743,9939.635294117648,8288.886274509805
grass_to_shrub_and_scrub,110862.81176470587,80236.8117647059,194572.61568627448,59332.380392156876,242541.6392156863,65055.533333333326,62531.02352941176
grass_to_built,18.0,32.0,6.0,20.0,7.0,74.0,21.0
grass_to_bare_soil,15138.058823529409,291.5529411764706,17523.917647058825,4809.4862745098035,47975.79607843137,47.0,27.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,4.0,0.0,0.0
flooded_vegetation_to_water,1126.8117647058823,900.0,386.278431372549,682.1607843137255,2016.0,3136.2039215686273,2306.1098039215685
flooded_vegetation_to_trees,3388.6980392156847,2147.227450980392,899.8745098039216,569.3843137254902,1247.0,1435.0313725490196,728.8705882352941
flooded_vegetation_to_grass,259.0,505.0,500.0,188.0,146.0,67.0,53.0
flooded_vegetation_to_flooded_vegetation,4466.603921568627,5336.419607843138,4965.250980392157,5231.164705882353,6846.027450980392,6168.3372549019605,6268.733333333334
flooded_vegetation_to_crops,131.0,379.0,107.0,1245.2235294117647,162.5921568627451,161.0,61.0
flooded_vegetation_to_shrub_and_scrub,1043.2392156862745,599.0,544.9882352941177,74.0,562.2470588235294,548.9921568627451,214.91764705882355
flooded_vegetation_to_built,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flooded_vegetation_to_bare_soil,285.78823529411767,92.94509803921568,255.9294117647059,36.0,598.7450980392157,22.0,17.0
flooded_vegetation_to_snow_and_ice,9.0,0.0,0.0,0.8274509803921568,40.71764705882353,0.0,13.79607843137255
crops_to_water,1676.4901960784314,195.0,185.0,341.92549019607844,1643.6666666666665,1256.0,881.0509803921569
crops_to_trees,3178.4666666666667,9394.78431372549,7237.443137254902,6755.607843137255,10851.854901960785,12157.152941176468,48472.435294117655
crops_to_grass,26289.909803921575,28160.54509803922,22526.694117647057,19972.800000000003,60437.5137254902,72594.2431372549,35961.294117647056
crops_to_flooded_vegetation,836.0901960784314,229.0,141.74117647058824,322.0,1536.7882352941176,260.2705882352941,2085.2745098039213
crops_to_crops,148731.43137254904,220179.8235294118,290943.59607843135,344094.494117647,303258.0274509804,211018.9882352942,229045.85490196088
crops_to_shrub_and_scrub,20321.737254901964,26056.10588235294,25929.764705882357,26895.65882352941,89660.17254901961,60317.152941176464,70956.72156862746
crops_to_built,148.95686274509802,193.7294117647059,83.94117647058823,93.49019607843137,463.60784313725486,230.87450980392157,196.521568627451
crops_to_bare_soil,17392.22745098039,7584.24705882353,4693.972549019608,2913.2431372549017,123273.46274509809,1389.9843137254902,15955.929411764704
crops_to_snow_and_ice,5.0,0.0,0.0,0.0,37.0,0.0,17.980392156862745
shrub_and_scrub_to_water,2590.5450980392156,2059.062745098039,844.6039215686275,13379.427450980393,1032.3411764705884,3431.188235294118,3737.5529411764705
shrub_and_scrub_to_trees,213037.4901960785,347831.7254901961,211016.55686274508,555256.6901960784,64841.00000000001,1052543.4509803923,540177.937254902
shrub_and_scrub_to_grass,125834.7725490196,159440.8,30969.92156862745,206563.40784313728,33174.596078431365,215728.65098039215,113082.0549019608
shrub_and_scrub_to_flooded_vegetation,653.0,439.1843137254902,359.8352941176471,1190.992156862745,366.0,388.0,998.4627450980392
shrub_and_scrub_to_crops,52607.67450980392,37946.37254901961,43955.921568627455,73460.24705882353,17108.039215686273,85544.337254902,51390.82745098039
shrub_and_scrub_to_shrub_and_scrub,5899940.231372548,5985048.85490196,5986115.109803922,5764455.458823527,5002726.431372549,5223100.811764706,5843389.698039214
shrub_and_scrub_to_built,468.2470588235294,547.0549019607843,378.75686274509803,412.6627450980392,283.878431372549,888.7490196078431,353.51372549019607
shrub_and_scrub_to_bare_soil,517423.72941176465,217185.0431372549,98508.48627450979,17072.15294117647,1290896.9411764706,5094.294117647059,71210.59999999999
shrub_and_scrub_to_snow_and_ice,23.054901960784314,1.0,12.08235294117647,0.0,7.0,19.0,0.0
built_to_water,9.0,1.0,2.7098039215686276,0.0,0.0,0.0,0.0
built_to_trees,298.29411764705884,250.3294117647059,398.20392156862744,436.66274509803924,293.5960784313726,1066.6235294117646,1476.1764705882351
built_to_grass,1.6980392156862745,5.0,41.984313725490196,20.0,26.0,18.0,8.0
built_to_flooded_vegetation,5.0,0.0,0.0,0.0,9.0,4.0,1.0
built_to_crops,203.01176470588234,120.21960784313725,191.57254901960783,244.19607843137257,33.43921568627451,463.6078431372549,386.35686274509806
built_to_shrub_and_scrub,591.0901960784313,191.0,415.8117647058824,302.3254901960784,454.22352941176473,246.31764705882352,558.1843137254903
built_to_built,6656.850980392158,7221.282352941178,7581.000000000001,7588.960784313727,7524.6196078431385,7829.466666666666,7573.925490196079
