Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,146864.16470588231,142469.54901960777,137508.84313725485,142619.56470588234,136787.5647058823,134461.27058823523,157114.4235294117
water_to_trees,21314.145098039215,12001.49411764706,5234.7058823529405,3212.619607843137,8011.286274509804,6122.29019607843,4741.909803921569
water_to_grass,413.15686274509807,132.12156862745098,204.93725490196078,94.87843137254902,139.0,120.98823529411766,174.13725490196077
water_to_flooded_vegetation,1491.6117647058823,1236.0,862.7764705882354,1611.81568627451,1701.627450980392,269.40000000000003,1117.007843137255
water_to_crops,2501.5607843137254,2349.721568627451,4031.674509803921,1909.6549019607842,5788.666666666667,1593.6666666666665,1084.6431372549018
water_to_shrub_and_scrub,2998.5215686274514,998.3372549019608,899.8980392156863,844.3333333333335,5844.611764705881,258.66666666666663,536.2627450980392
water_to_built,365.94117647058823,480.93333333333334,304.4470588235294,281.50588235294117,415.93333333333334,182.6313725490196,325.8705882352941
water_to_bare_soil,1497.5098039215686,6227.027450980393,3549.666666666667,1114.9882352941177,5834.196078431372,1199.2980392156865,363.9490196078431
water_to_snow_and_ice,7.0,432.0,25.0,53.0,538.0,0.0,0.0
trees_to_water,4175.2666666666655,2811.654901960784,5942.333333333333,9413.607843137255,3657.5960784313725,7529.011764705881,8259.843137254902
trees_to_trees,11797834.90980389,11816592.203921545,11955423.592156839,12147455.521568604,11303998.921568602,10901238.960784279,12065834.698039174
trees_to_grass,68593.95686274511,13913.57254901961,23677.780392156863,86963.53333333334,37672.17254901961,26728.341176470596,78771.7921568628
trees_to_flooded_vegetation,882.5882352941177,461.0,364.5921568627451,1067.6745098039214,508.81176470588235,2126.7490196078434,2228.0313725490196
trees_to_crops,124538.47450980372,164683.6862745095,90473.00392156848,170867.42745098012,146467.41176470558,96231.89803921568,68282.63529411757
trees_to_shrub_and_scrub,1123554.6666666665,377787.21960784326,449851.3568627452,260884.52156862756,1477783.0941176459,602311.6627450979,149585.35686274513
trees_to_built,9656.419607843138,5969.901960784315,3347.1686274509802,5824.349019607843,8127.137254901962,2238.043137254902,3476.419607843138
trees_to_bare_soil,22919.78431372549,4121.478431372549,15737.039215686278,3855.756862745099,24361.929411764708,1398.8705882352942,796.2941176470588
trees_to_snow_and_ice,361.0,20.0,45.0,1.0,544.8705882352941,1.0,4.0
grass_to_water,88.47450980392156,285.8509803921569,217.82745098039217,56.22352941176471,137.91764705882352,176.65490196078431,764.2470588235294
grass_to_trees,18484.1568627451,70998.79215686276,78111.72549019607,17829.027450980393,34016.02745098041,77805.14509803924,68260.20000000001
grass_to_grass,2813779.376470582,2870167.1960784253,2639225.8117647013,2431443.301960781,2246003.5294117616,2207780.2039215663,2747234.058823524
grass_to_flooded_vegetation,128.0,175.0,118.0,54.0,144.99607843137255,4.0,429.0
grass_to_crops,218542.52941176473,131489.24705882344,274404.4549019606,295931.35294117645,270493.0549019607,138610.98039215687,56665.917647058806
grass_to_shrub_and_scrub,149308.7058823529,139518.4,193504.90196078434,75518.98823529412,309218.93333333335,55236.388235294115,210011.9843137255
grass_to_built,2147.1686274509807,2083.9803921568628,1457.2588235294118,867.0078431372549,774.8588235294118,1532.9333333333334,994.7725490196078
grass_to_bare_soil,16923.3568627451,1577.9411764705883,10103.278431372548,3882.3960784313726,46048.54901960783,425.2078431372549,329.12549019607843
grass_to_snow_and_ice,3.0,9.0,3.0,0.0,0.0,0.0,19.0
flooded_vegetation_to_water,939.0,969.4352941176471,1303.0,622.8392156862745,396.1725490196078,2136.3411764705884,1053.5254901960784
flooded_vegetation_to_trees,2048.050980392157,834.4156862745099,951.1254901960784,608.5137254901961,1162.043137254902,797.9254901960785,1097.3843137254903
flooded_vegetation_to_grass,161.0,266.9372549019608,36.0,114.0,55.0,156.99607843137255,12.0
flooded_vegetation_to_flooded_vegetation,4157.141176470588,5291.682352941176,3818.843137254902,3636.0666666666666,4068.3921568627447,3121.556862745098,5861.41960784314
flooded_vegetation_to_crops,142.26666666666665,160.0,473.0,335.72549019607845,836.0,146.0,120.70980392156862
flooded_vegetation_to_shrub_and_scrub,700.7372549019608,394.0,418.01176470588234,209.0,1082.6,533.0078431372549,261.3411764705882
flooded_vegetation_to_built,2.0,96.0,0.0,14.0,69.0,44.0,2.0
flooded_vegetation_to_bare_soil,366.0156862745098,406.43529411764706,742.6745098039215,102.0,703.2549019607843,25.0,57.0
flooded_vegetation_to_snow_and_ice,0.0,7.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,4091.031372549019,2790.513725490196,1535.1176470588234,3399.7607843137257,1590.9607843137253,8647.95294117647,2826.290196078431
crops_to_trees,96784.85882352923,55027.9843137255,121527.14509803908,70989.99215686275,74352.43137254902,176806.08627450938,204697.7019607841
crops_to_grass,89128.76078431374,132548.49019607846,76080.43137254904,154016.31764705878,144253.19215686273,483286.89803921536,247361.41960784316
crops_to_flooded_vegetation,322.9019607843137,227.0,27.0,586.0,61.0,1211.270588235294,1288.6235294117646
crops_to_crops,1847470.866666657,2098030.1254901844,2247589.1176470458,2462028.50196077,2655602.1529411706,2373988.4509803797,2269186.623529399
crops_to_shrub_and_scrub,37631.89411764704,65513.290196078415,62642.239215686306,75330.05098039217,151930.88235294123,152331.31372549015,124812.43529411766
crops_to_built,7605.862745098041,9080.368627450978,9894.035294117646,7046.862745098038,11137.090196078432,9001.1568627451,6877.435294117648
crops_to_bare_soil,17612.796078431373,14212.290196078431,9984.980392156864,10895.109803921569,140444.55686274506,11517.184313725491,11792.2431372549
crops_to_snow_and_ice,7.0,20.0,0.0,1.0,10.0,0.0,0.0
shrub_and_scrub_to_water,1738.4980392156863,839.121568627451,982.3607843137253,3250.050980392157,312.63529411764705,3746.9921568627456,2694.341176470588
shrub_and_scrub_to_trees,444773.72941176477,578747.6196078431,515589.5254901961,753096.588235294,215115.91764705873,1186250.211764705,1351379.7960784303
shrub_and_scrub_to_grass,230190.30980392155,141714.01568627454,82698.43529411762,222702.04705882352,50845.47450980393,305886.7764705882,123209.72941176471
shrub_and_scrub_to_flooded_vegetation,441.72549019607845,297.47058823529414,267.0,696.8901960784314,285.0,1499.592156862745,4031.0901960784313
shrub_and_scrub_to_crops,160936.84705882362,94272.99607843143,116963.37647058825,178540.7843137256,126430.65490196078,165471.49411764715,107159.61960784314
shrub_and_scrub_to_shrub_and_scrub,9538892.741176441,9756928.917647032,9723173.490196025,9655174.494117592,7931989.709803905,8194771.854901945,9021585.53333329
shrub_and_scrub_to_built,6893.83137254902,8447.160784313724,4769.239215686275,6061.039215686275,3873.4705882352946,11185.756862745098,4467.996078431373
shrub_and_scrub_to_bare_soil,1165508.6196078407,377938.639215686,205407.38823529397,55513.42745098041,2416341.4156862693,20060.97647058824,85283.28627450982
shrub_and_scrub_to_snow_and_ice,49.0,10.882352941176471,9.0,10.0,88.0,0.0,32.0
built_to_water,431.75686274509803,321.15294117647056,421.71764705882356,286.878431372549,285.21568627450984,747.270588235294,364.59999999999997
built_to_trees,3067.0705882352945,3730.4941176470584,5790.701960784314,2591.2039215686273,2274.7215686274512,12438.188235294117,11362.35294117647
built_to_grass,1450.2941176470588,522.9372549019608,704.9098039215686,1261.627450980392,1267.207843137255,1138.3450980392158,1067.6745098039216
