Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,23185.37647058823,22455.82352941176,21696.541176470582,23955.41176470588,28588.552941176462,27716.309803921562,27756.439215686274
water_to_trees,188.721568627451,1003.5529411764705,419.91372549019604,396.08235294117645,596.7725490196078,1281.0509803921568,510.5725490196079
water_to_grass,780.9372549019608,246.4078431372549,642.356862745098,109.54901960784314,236.44313725490196,7923.054901960784,183.6
water_to_flooded_vegetation,335.73333333333335,183.77254901960788,222.2901960784314,157.08627450980393,140.0078431372549,1914.9882352941174,216.33725490196076
water_to_crops,1443.6156862745097,449.71764705882356,330.5960784313725,51.443137254901956,172.05882352941177,4837.58431372549,66.4078431372549
water_to_shrub_and_scrub,898.6078431372548,673.6156862745098,435.9647058823529,107.8156862745098,171.8549019607843,4690.764705882353,210.39607843137253
water_to_built,268.28235294117644,161.87058823529412,21.12156862745098,125.96862745098039,88.47058823529413,292.5803921568628,54.21568627450981
water_to_bare_soil,1591.7490196078427,502.25490196078437,257.6666666666667,163.2980392156863,201.33725490196076,1351.627450980392,105.52549019607842
water_to_snow_and_ice,135.9176470588235,514.2980392156862,155.45882352941177,503.0745098039215,787.1098039215685,225.73725490196077,523.0117647058823
trees_to_water,1055.8862745098038,282.17254901960786,522.2666666666667,391.29019607843134,1790.5098039215686,538.521568627451,495.4666666666667
trees_to_trees,1254080.4549019616,1157209.1333333352,1227545.7764705897,1304375.4352941192,1584838.325490197,1530894.2352941178,1502911.5333333337
trees_to_grass,36008.447058823534,4026.396078431373,17323.12156862745,8809.850980392159,29162.43137254902,188061.23921568628,16762.21568627451
trees_to_flooded_vegetation,656.4117647058822,211.1647058823529,704.3803921568627,252.69803921568626,289.9529411764706,2551.2784313725488,394.9176470588234
trees_to_crops,36021.427450980394,15533.454901960786,18636.596078431372,6832.949019607842,12534.235294117647,77882.72156862744,8617.098039215685
trees_to_shrub_and_scrub,267986.2588235296,123950.71764705874,132757.48627450984,47414.21960784313,48356.01568627451,330520.874509804,60965.337254901955
trees_to_built,4468.913725490197,2186.454901960784,3197.63137254902,1840.6549019607846,1310.4156862745099,6256.239215686274,1694.8078431372546
trees_to_bare_soil,2912.376470588235,2089.4862745098044,730.1411764705882,269.1490196078431,356.09803921568624,3405.5882352941176,248.58431372549018
trees_to_snow_and_ice,831.1686274509804,181.85098039215688,171.75294117647064,76.61960784313726,153.4313725490196,202.53725490196075,110.97647058823527
grass_to_water,151.71372549019608,257.0078431372549,264.0549019607843,1990.0666666666666,8461.529411764706,72.44313725490197,1238.4941176470588
grass_to_trees,6510.63137254902,28878.878431372552,10920.439215686274,56118.211764705884,162013.3490196079,9547.113725490195,45718.6
grass_to_grass,1557898.258823529,1284155.0941176463,1300667.439215686,1474281.3647058818,1486842.1529411762,1656870.9529411756,1799381.9921568627
grass_to_flooded_vegetation,177.59215686274513,258.43529411764706,2.9176470588235297,417.80392156862746,6161.1803921568635,294.90588235294115,668.8666666666667
grass_to_crops,604747.4000000011,379325.08627450967,202686.72156862737,298767.411764706,197132.61960784317,506404.1960784313,322726.17254901986
grass_to_shrub_and_scrub,58144.46666666668,104225.35294117643,21747.537254901963,83657.1529411765,47030.9725490196,96136.90980392158,29251.741176470587
grass_to_built,2893.235294117647,2709.992156862745,1355.9882352941177,1431.850980392157,1306.2196078431373,2188.725490196078,1007.0980392156863
grass_to_bare_soil,15089.53725490196,8149.5490196078445,763.1098039215688,830.4196078431372,686.0509803921568,7196.349019607842,1065.486274509804
grass_to_snow_and_ice,20.58823529411765,0.0,8.086274509803921,54.0,56.0,20.0,140.75686274509803
flooded_vegetation_to_water,295.0352941176471,86.35294117647061,233.64705882352942,470.45490196078435,551.1098039215685,65.78823529411765,814.0666666666668
flooded_vegetation_to_trees,235.8392156862745,670.2117647058825,236.4313725490196,582.627450980392,1293.9098039215683,520.4156862745097,1305.3686274509803
flooded_vegetation_to_grass,493.12549019607843,57.20392156862745,369.8980392156863,47.588235294117645,384.6156862745098,6090.211764705884,276.2392156862745
flooded_vegetation_to_flooded_vegetation,2259.152941176471,1555.3725490196075,1359.6588235294116,1750.6509803921567,2499.556862745098,1367.7843137254902,3476.5921568627446
flooded_vegetation_to_crops,586.035294117647,244.19607843137254,142.10588235294117,43.92156862745098,120.91372549019607,3281.8274509803923,106.33725490196079
flooded_vegetation_to_shrub_and_scrub,1913.1137254901964,1318.458823529412,210.5176470588235,388.09019607843123,100.85490196078432,10974.027450980393,433.521568627451
flooded_vegetation_to_built,107.04705882352943,179.71372549019608,33.25098039215686,34.84313725490196,21.0,59.44705882352941,54.51372549019608
flooded_vegetation_to_bare_soil,392.7725490196078,49.141176470588235,22.85490196078431,14.694117647058825,0.7490196078431373,131.21176470588236,57.20392156862745
flooded_vegetation_to_snow_and_ice,69.30588235294118,73.90980392156862,14.0,9.803921568627452,14.250980392156862,4.0,61.423529411764704
crops_to_water,75.24705882352941,213.79607843137256,779.0666666666666,1243.7960784313723,4526.466666666666,40.05882352941177,850.1333333333334
crops_to_trees,5714.733333333334,16304.364705882354,16229.572549019607,46345.73725490196,92550.31372549018,6601.4509803921555,27740.066666666662
crops_to_grass,141063.21568627452,226131.29803921573,490536.51764705876,394088.1098039219,689716.3882352943,288613.01960784337,400284.5686274512
crops_to_flooded_vegetation,127.15686274509804,43.98039215686274,131.83921568627454,470.1450980392157,3600.882352941177,168.6,628.0627450980392
crops_to_crops,1341052.3607843134,1758548.2431372534,1680235.933333333,1474768.4901960786,990602.6235294122,890748.1568627453,1053688.611764706
crops_to_shrub_and_scrub,24954.196078431374,31350.109803921576,40471.85882352941,36964.65490196079,33377.16078431373,31477.58039215686,23537.909803921564
crops_to_built,1107.3843137254903,839.3647058823531,2042.3372549019607,1614.7058823529414,1097.1098039215685,2322.5058823529416,1078.227450980392
crops_to_bare_soil,7529.086274509804,7442.799999999999,5159.654901960785,3709.1254901960783,1644.0862745098038,6517.988235294118,1110.5098039215686
crops_to_snow_and_ice,138.90588235294118,31.04313725490196,114.03137254901961,151.5450980392157,78.0,53.74901960784314,15.003921568627451
shrub_and_scrub_to_water,326.21176470588233,379.2627450980392,321.0980392156863,1233.3607843137256,4721.89411764706,101.52549019607842,762.9058823529411
shrub_and_scrub_to_trees,37613.01960784314,194587.83529411774,112345.07450980392,267338.9450980394,291154.6823529413,42223.176470588245,197677.70196078432
shrub_and_scrub_to_grass,70101.25490196077,20532.55294117647,94372.18823529412,28672.73725490196,67407.60784313724,51563.12549019608,105003.85098039213
shrub_and_scrub_to_flooded_vegetation,583.2392156862745,302.0588235294117,816.2666666666667,1644.0549019607843,9632.43137254902,208.01568627450985,2751.113725490196
shrub_and_scrub_to_crops,53127.3254901961,60289.247058823574,47595.945098039185,31526.56470588235,21429.192156862744,23493.219607843137,22143.45098039216
shrub_and_scrub_to_shrub_and_scrub,956412.3843137256,1033746.4078431379,1045111.9803921573,921051.7098039228,700920.5137254905,712116.9882352946,857995.8117647065
shrub_and_scrub_to_built,890.870588235294,2423.5490196078426,2705.1529411764704,2310.345098039216,1764.5294117647059,1042.2745098039215,1870.8980392156864
shrub_and_scrub_to_bare_soil,12544.807843137256,11483.180392156866,5740.58431372549,2207.3647058823526,2347.956862745098,5033.760784313725,1648.4549019607844
shrub_and_scrub_to_snow_and_ice,1017.1921568627452,436.09019607843135,387.278431372549,543.6823529411765,340.90588235294115,279.5254901960784,317.20784313725494
built_to_water,102.79999999999998,93.36862745098037,375.9490196078431,54.84313725490196,267.5294117647059,106.74901960784314,189.0196078431373
built_to_trees,1102.6039215686274,1797.1725490196077,1772.0196078431372,2698.9607843137255,6577.529411764706,822.8000000000001,2968.5294117647054
built_to_grass,1122.6705882352942,563.0078431372549,1811.0666666666666,1197.9137254901962,2062.9882352941177,1378.4705882352941,2705.282352941176
built_to_flooded_vegetation,1.0,26.203921568627454,37.937254901960785,44.839215686274514,33.168627450980395,17.03529411764706,169.00392156862745
built_to_crops,677.721568627451,1172.3960784313726,1051.858823529412,1377.5254901960784,2271.3450980392154,1077.8039215686274,1103.478431372549
built_to_shrub_and_scrub,2514.333333333334,1119.0627450980394,1694.529411764706,1251.113725490196,843.7294117647057,1287.321568627451,841.2039215686275
built_to_built,117981.87450980394,123077.84705882352,125747.21568627452,129165.41568627451,124972.76078431372,125990.6705882353,130294.10980392156
built_to_bare_soil,762.6705882352942,159.0,246.50980392156862,163.94117647058823,232.32549019607842,257.25098039215686,216.60392156862744
built_to_snow_and_ice,164.8313725490196,64.0156862745098,81.36078431372549,33.498039215686276,215.1137254901961,47.949019607843134,63.51372549019608
bare_soil_to_water,447.91372549019604,245.93725490196078,909.5568627450982,1482.992156862745,1105.4627450980392,28.152941176470588,798.321568627451
bare_soil_to_trees,191.08627450980393,896.3019607843138,501.278431372549,795.5803921568627,1040.2901960784313,165.2549019607843,1007.4549019607844
bare_soil_to_grass,491.4862745098039,2697.8823529411766,11825.694117647061,2475.956862745098,2676.9686274509804,639.1333333333333,9004.756862745098
bare_soil_to_flooded_vegetation,46.305882352941175,26.866666666666667,42.43529411764706,195.68235294117648,137.53333333333333,14.988235294117647,88.14509803921568
bare_soil_to_crops,3243.1137254901964,19831.27843137255,8562.172549019608,3738.8274509803923,2171.6392156862744,1141.5843137254903,6327.121568627452
bare_soil_to_shrub_and_scrub,9948.129411764703,11826.286274509803,13501.6,8387.003921568627,4568.501960784314,2640.7568627450983,5064.26274509804
bare_soil_to_built,273.4392156862745,1031.3176470588235,759.3803921568627,873.1764705882354,366.15686274509807,196.678431372549,325.6823529411765
bare_soil_to_bare_soil,25070.90196078432,29613.92549019607,23651.972549019614,18419.14901960786,13649.156862745105,14203.25882352942,15398.654901960792
bare_soil_to_snow_and_ice,620.4549019607842,154.50588235294117,204.76078431372548,351.8941176470588,169.2941176470588,157.57647058823528,453.8666666666667
snow_and_ice_to_water,551.129411764706,168.18823529411762,467.5490196078432,160.39215686274508,220.64313725490194,956.9568627450979,203.02745098039216
snow_and_ice_to_trees,33.74117647058823,241.70196078431374,292.3607843137255,139.83529411764707,248.06274509803922,145.4392156862745,79.60392156862746
snow_and_ice_to_grass,0.0,6.450980392156863,0.0,7.003921568627451,242.0,60.0,28.0
snow_and_ice_to_flooded_vegetation,47.96862745098039,14.509803921568627,24.949019607843137,54.0,0.0,47.67058823529412,36.0
snow_and_ice_to_crops,6.0,307.19215686274515,114.38039215686274,85.89803921568627,108.48235294117647,66.0,5.0
snow_and_ice_to_shrub_and_scrub,1408.6941176470589,1185.556862745098,597.2901960784314,497.9529411764705,692.0078431372549,326.17254901960786,211.30588235294118
snow_and_ice_to_built,81.02745098039216,208.33725490196076,125.97254901960784,79.52941176470588,59.38823529411765,201.6235294117647,156.03529411764708
snow_and_ice_to_bare_soil,430.4,469.51372549019607,147.7686274509804,107.86274509803921,69.62352941176471,371.2313725490196,51.831372549019605
snow_and_ice_to_snow_and_ice,3246.3921568627443,3643.3058823529404,3328.7490196078425,3333.0039215686274,3416.913725490195,3055.9254901960767,3276.1960784313706
