Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,2494488.3294117637,2462104.6666666656,2438842.8823529403,2456068.8039215677,2530045.0078431354,2552633.2039215667,2550406.329411763
water_to_trees,1976.364705882353,3610.156862745098,5569.576470588236,3847.3450980392163,4456.090196078431,36402.04313725489,7533.850980392157
water_to_grass,4138.278431372549,686.2980392156863,756.0,340.4980392156863,1353.2509803921566,19441.50196078432,447.81960784313725
water_to_flooded_vegetation,20836.6862745098,9933.521568627453,3253.980392156863,1616.105882352941,1421.8980392156864,25766.988235294117,3848.1450980392156
water_to_crops,6824.701960784313,7882.309803921569,1291.0,168.98823529411766,254.06274509803922,9203.125490196078,192.0
water_to_shrub_and_scrub,11793.486274509803,2263.764705882353,5754.058823529412,576.3098039215686,1368.8313725490198,34423.98039215686,902.3019607843137
water_to_built,343.1882352941176,229.06274509803922,42.035294117647055,186.79607843137256,154.75294117647059,487.3529411764706,114.1686274509804
water_to_bare_soil,18533.16470588235,18914.235294117647,20905.305882352943,1566.8823529411766,1070.5568627450982,14880.031372549018,860.1686274509804
water_to_snow_and_ice,1718.8901960784317,6644.227450980393,1539.0705882352938,5577.866666666667,7382.75294117647,1775.9254901960787,3880.7999999999997
trees_to_water,4568.549019607843,6521.070588235294,3968.5254901960784,4821.058823529412,19376.564705882352,3666.5333333333333,12898.384313725486
trees_to_trees,4045759.690196076,3786482.5098039196,4136219.199999998,4412073.286274507,5716806.576470586,5291690.980392154,5141032.486274508
trees_to_grass,50811.77254901961,5837.713725490196,23456.46274509804,11591.93725490196,35051.76470588235,226662.1098039216,21373.933333333334
trees_to_flooded_vegetation,6585.811764705883,775.3019607843137,2891.494117647059,1620.1215686274509,3191.913725490196,10469.886274509803,6837.262745098039
trees_to_crops,53131.674509803925,25926.239215686273,28525.686274509804,11269.486274509803,17330.592156862745,98342.95294117648,12104.835294117647
trees_to_shrub_and_scrub,1296837.8196078432,371390.8862745098,745012.5686274513,141574.93725490195,178895.03921568627,1771266.470588236,342722.21960784314
trees_to_built,6629.819607843137,3976.6470588235293,4680.596078431373,2891.9999999999995,1996.0274509803921,9766.023529411765,3264.1137254901964
trees_to_bare_soil,7035.423529411764,11179.619607843139,6210.654901960785,1934.0549019607843,1685.156862745098,10634.392156862745,888.8745098039217
trees_to_snow_and_ice,3434.364705882353,1680.964705882353,1683.819607843137,1027.9882352941177,1042.3294117647058,1239.364705882353,827.4901960784314
grass_to_water,411.01960784313724,444.29411764705884,1004.3725490196077,7246.211764705881,21127.77254901961,975.0588235294117,2811.0901960784313
grass_to_trees,8499.470588235294,37624.04313725489,13962.639215686275,73693.94901960784,201708.77647058832,14802.027450980393,60944.67843137254
grass_to_grass,1797452.9372549024,1523377.2941176463,1550491.7450980388,1740660.2039215707,1702466.2274509815,1874205.6392156873,2052091.7176470596
grass_to_flooded_vegetation,732.0,1191.5450980392156,115.16470588235293,1996.5725490196078,24269.623529411772,645.0862745098038,2671.745098039216
grass_to_crops,647763.2666666674,410765.3843137255,215487.76862745095,339200.68235294125,207190.25490196078,563861.2509803923,343299.65098039224
grass_to_shrub_and_scrub,80292.5725490196,143086.9294117647,32570.67843137255,123220.20784313725,67891.51372549018,153147.25882352944,40183.97647058823
grass_to_built,3154.0,2828.8549019607844,1430.0,1551.9607843137255,1323.8,2309.043137254902,1070.0
grass_to_bare_soil,21684.839215686276,12635.870588235293,1228.7372549019608,1797.921568627451,1458.1529411764707,8171.5921568627455,1205.0117647058823
grass_to_snow_and_ice,31.0,14.0,40.0,54.0,56.0,46.0,157.0
flooded_vegetation_to_water,2578.949019607843,1077.2823529411764,2462.4392156862746,7781.0470588235285,12808.30980392157,1470.6235294117646,18139.043137254903
flooded_vegetation_to_trees,3156.3803921568624,6774.690196078431,2515.4039215686275,7526.941176470588,7291.482352941177,4426.882352941177,5838.227450980392
flooded_vegetation_to_grass,2164.372549019608,703.1764705882352,1658.0,485.89803921568625,1596.4039215686275,18650.086274509806,703.0039215686274
flooded_vegetation_to_flooded_vegetation,48373.49803921568,31851.596078431372,27423.741176470587,22870.27843137255,25748.05882352941,14429.792156862744,25349.592156862745
flooded_vegetation_to_crops,1639.5529411764705,2258.529411764706,775.3333333333334,186.74901960784314,253.21960784313725,4750.717647058824,253.13725490196077
flooded_vegetation_to_shrub_and_scrub,17272.678431372547,14076.945098039216,7932.713725490196,7848.64705882353,3865.6627450980395,50481.64705882353,2728.694117647059
flooded_vegetation_to_built,167.99607843137255,203.0,45.0,90.0,21.0,104.0,114.0
flooded_vegetation_to_bare_soil,4812.63137254902,24644.137254901965,5716.780392156863,987.9803921568628,43.72941176470588,3546.0470588235294,647.8627450980392
flooded_vegetation_to_snow_and_ice,633.6078431372549,149.57254901960783,162.0,223.0,141.9686274509804,24.75686274509804,283.93333333333334
crops_to_water,98.0,371.0,7789.309803921569,5284.0,10396.360784313725,155.06274509803922,2615.0901960784313
crops_to_trees,7223.556862745098,22358.81568627451,24818.960784313727,62771.59215686275,119863.01176470588,10500.40392156863,38803.94901960785
crops_to_grass,148527.6,241802.2,548087.341176471,422145.80392156896,775208.3568627456,298961.1176470591,435143.0823529415
crops_to_flooded_vegetation,183.0,255.65098039215687,2391.850980392157,1389.1686274509802,5024.521568627451,480.14509803921567,1601.0117647058823
crops_to_crops,1477646.6078431383,1953371.3725490216,1856032.3098039222,1631245.0431372563,1074136.5058823538,976095.0235294121,1174065.9529411767
crops_to_shrub_and_scrub,44273.1411764706,55717.36078431373,78431.33333333333,73181.83921568627,55083.28627450981,45695.05882352941,36666.32156862745
