Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,2438912.4509803955,2413014.090196082,2390807.2784313774,2401877.650980396,2469317.4470588276,2495299.678431377,2491741.227450984
water_to_trees,1611.0117647058823,1736.7843137254902,5040.83137254902,3080.4509803921574,3737.4274509803918,36212.39215686271,6765.745098039217
water_to_grass,3158.5686274509803,406.03921568627453,113.60392156862747,228.45490196078433,1110.6588235294112,3389.839215686274,281.92156862745094
water_to_flooded_vegetation,20333.894117647043,9710.61568627451,2725.643137254902,1349.313725490196,1190.9333333333334,21178.30588235294,3296.882352941177
water_to_crops,4296.172549019607,5117.0,949.3607843137255,84.99607843137255,110.61960784313726,3140.9019607843134,108.58823529411765
water_to_shrub_and_scrub,10859.788235294112,1537.3333333333333,5206.996078431373,488.956862745098,1019.1686274509805,27501.25882352942,628.0901960784313
water_to_built,35.41568627450981,26.854901960784314,9.278431372549019,62.72549019607843,53.67843137254902,181.96862745098042,22.909803921568628
water_to_bare_soil,16280.823529411762,14102.345098039215,20520.105882352942,1288.0235294117647,667.2235294117647,13226.478431372547,657.278431372549
water_to_snow_and_ice,1354.270588235294,3788.1999999999985,1083.5098039215684,3454.15294117647,4318.560784313724,781.8470588235294,2525.15294117647
trees_to_water,2868.1529411764704,6163.882352941177,2653.7490196078425,4232.705882352941,17032.47450980392,2889.6274509803925,12996.282352941185
trees_to_trees,2546611.6274509793,2380849.6823529415,2640274.8196078446,2803974.043137255,3785441.2745098015,3406114.392156862,3293802.6392156864
trees_to_grass,14351.564705882352,1290.427450980392,5907.917647058824,2773.0705882352936,5420.250980392157,29076.207843137254,4073.8588235294114
trees_to_flooded_vegetation,5061.517647058823,537.9490196078432,1852.105882352941,1224.2745098039215,1975.6823529411765,6291.541176470588,6437.474509803924
trees_to_crops,16134.113725490199,9791.925490196078,9755.082352941177,4003.6901960784317,4247.517647058823,18205.960784313724,2967.3019607843135
trees_to_shrub_and_scrub,992969.1411764706,230138.20392156846,597748.6470588234,87773.64313725493,124507.35294117649,1388642.160784314,260013.57647058822
trees_to_built,1896.9960784313728,1555.905882352941,1363.894117647059,933.1215686274509,665.9607843137255,3293.180392156864,1449.0901960784315
trees_to_bare_soil,3644.9450980392157,8884.588235294117,5239.415686274509,1515.0313725490196,1254.286274509804,6808.701960784314,472.45490196078435
trees_to_snow_and_ice,1605.3137254901965,1101.0509803921568,810.1764705882352,604.243137254902,510.4549019607843,682.0274509803922,316.7725490196078
grass_to_water,270.2862745098039,186.0196078431373,687.4705882352941,5214.50588235294,3778.333333333333,909.5725490196073,1266.6784313725493
grass_to_trees,1835.2980392156865,8548.231372549018,2643.988235294118,14238.443137254904,26356.647058823528,4777.5921568627455,12594.839215686276
grass_to_grass,102295.45098039211,89314.79215686266,91079.99215686273,106366.40784313722,91881.18039215675,102100.6392156863,116587.9215686275
grass_to_flooded_vegetation,466.443137254902,829.2627450980391,79.03529411764706,1508.6313725490195,1774.1647058823528,328.7333333333333,1899.9411764705883
grass_to_crops,26589.341176470585,22044.76862745098,9605.698039215686,13879.07450980392,4553.023529411765,23507.01176470588,13631.850980392157
grass_to_shrub_and_scrub,18688.61568627451,34748.88627450981,8731.517647058823,29942.28235294118,14382.682352941172,32291.63529411764,9856.219607843139
grass_to_built,92.68235294117648,89.55686274509803,76.9764705882353,107.04705882352941,48.603921568627456,87.28235294117647,70.08627450980391
grass_to_bare_soil,1209.725490196079,1327.4941176470588,396.3764705882353,992.313725490196,48.06666666666666,954.0941176470587,169.01960784313727
grass_to_snow_and_ice,10.39607843137255,14.0,31.894117647058824,0.0,0.0,23.0,16.0
flooded_vegetation_to_water,1869.1725490196077,824.6196078431373,2085.1372549019607,7071.8117647058825,12024.18823529412,1136.921568627451,14746.545098039218
flooded_vegetation_to_trees,2823.690196078431,5097.490196078432,2197.380392156863,6179.086274509805,5597.90980392157,3868.1568627450993,3807.2431372549017
