Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,44735.537254901945,40958.16078431372,41458.27843137256,44348.69019607843,57319.37254901958,71650.76862745092,70070.21568627446
water_to_trees,660.4078431372549,128.64313725490197,674.3764705882354,110.8235294117647,647.8196078431373,19875.737254901906,2257.9529411764706
water_to_grass,144.45882352941175,26.152941176470588,4.0,36.32156862745098,203.03137254901964,220.25490196078428,88.12941176470588
water_to_flooded_vegetation,4205.223529411769,2338.223529411765,1737.1607843137251,247.02352941176468,103.61568627450981,15553.588235294106,1055.7725490196078
water_to_crops,665.3058823529411,124.35294117647058,23.0,42.45490196078432,51.50588235294118,424.10196078431375,1.0
water_to_shrub_and_scrub,4207.141176470589,418.23921568627446,1772.407843137255,170.46666666666667,474.1333333333333,20762.99215686275,760.6235294117647
water_to_built,4.0,0.03137254901960784,0.0,3.0313725490196077,8.372549019607844,0.7843137254901961,1.9019607843137254
water_to_bare_soil,11136.05098039216,2251.6156862745097,1287.3254901960786,416.20392156862744,135.1921568627451,8703.564705882354,219.7372549019608
water_to_snow_and_ice,1263.2392156862743,201.62745098039215,51.286274509803924,330.7019607843137,93.98039215686275,1610.549019607843,170.09019607843135
trees_to_water,173.61176470588234,611.0,47.490196078431374,449.87450980392157,5506.647058823528,1096.2274509803922,8002.003921568656
trees_to_trees,345528.807843137,322405.8274509801,360511.9843137251,410010.9803921562,688713.2901960775,561947.2705882348,505859.6078431366
trees_to_grass,1313.1921568627452,661.0,160.0,824.7137254901961,703.3098039215686,3447.439215686277,857.5607843137254
trees_to_flooded_vegetation,6575.580392156868,99.7607843137255,625.4705882352941,432.8705882352941,768.8509803921568,3392.3490196078433,652.8784313725491
trees_to_crops,613.0039215686274,580.5843137254901,195.921568627451,168.90980392156862,658.4431372549019,1113.7137254901959,115.07450980392157
trees_to_shrub_and_scrub,283540.7137254901,50569.80784313727,163181.37254901955,18087.26274509804,43343.5960784313,464025.0627450977,99201.21568627452
trees_to_built,254.30980392156863,98.34509803921569,49.0,30.0,54.17254901960784,89.21960784313725,12.501960784313725
trees_to_bare_soil,985.4627450980391,1736.329411764706,87.58039215686274,60.0,289.89411764705886,289.93333333333334,176.0
trees_to_snow_and_ice,675.4196078431372,191.49803921568628,120.85490196078432,76.09019607843138,41.0,299.6156862745098,116.89803921568628
grass_to_water,33.96078431372549,72.9372549019608,82.85882352941175,43.76470588235294,488.30196078431374,159.6901960784314,111.56078431372549
grass_to_trees,354.6078431372549,1606.5176470588235,922.3764705882354,1618.670588235294,4259.266666666668,741.6196078431371,1190.7450980392157
grass_to_grass,30595.137254901958,26278.262745098036,27249.258823529413,27612.870588235277,23748.419607843105,18551.878431372526,20266.02352941175
grass_to_flooded_vegetation,23.19607843137255,12.0,9.149019607843137,27.184313725490195,36.0,226.23529411764707,185.34509803921563
grass_to_crops,1301.8862745098045,1265.7058823529417,541.2078431372549,426.5372549019606,1675.1137254901957,895.2941176470591,1837.0941176470578
grass_to_shrub_and_scrub,5971.870588235294,11132.901960784315,2564.850980392157,10775.568627450972,2159.156862745098,16079.901960784295,1870.2980392156865
grass_to_built,92.0,62.0,17.0,0.0,51.968627450980385,13.0,25.772549019607844
grass_to_bare_soil,611.3882352941179,602.8313725490196,178.26666666666665,803.2588235294118,3.0,224.24313725490197,45.81960784313727
grass_to_snow_and_ice,8.0,0.0,0.0,0.0,0.0,2.0,0.0
flooded_vegetation_to_water,687.6431372549021,156.69019607843137,168.69019607843137,2794.580392156862,6252.929411764706,210.50588235294117,12555.894117647053
flooded_vegetation_to_trees,1584.2941176470588,2683.56862745098,226.74117647058824,1837.192156862745,1029.670588235294,540.0,2911.788235294118
flooded_vegetation_to_grass,676.1372549019608,62.313725490196084,16.0,23.211764705882352,104.91372549019607,100.3843137254902,45.58039215686275
flooded_vegetation_to_flooded_vegetation,11039.250980392175,8127.458823529412,8161.729411764705,5730.254901960783,2408.113725490196,3694.6901960784307,5042.729411764708
flooded_vegetation_to_crops,207.17647058823525,180.54509803921567,79.41568627450981,161.48235294117646,170.94901960784313,26.83529411764706,19.078431372549023
flooded_vegetation_to_shrub_and_scrub,7044.701960784318,3431.431372549023,1838.5294117647059,3055.18431372549,170.8,3894.035294117647,2810.7921568627453
flooded_vegetation_to_built,6.0,0.8784313725490196,0.7529411764705882,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,2945.9019607843143,8134.882352941202,865.7333333333333,253.00392156862745,6.925490196078432,1602.721568627451,357.51764705882357
flooded_vegetation_to_snow_and_ice,876.4196078431371,94.41568627450981,18.0,234.0,12.0,229.84705882352944,420.4980392156863
crops_to_water,0.0,95.49803921568628,186.62352941176468,225.0,686.5254901960783,72.8156862745098,130.87058823529412
crops_to_trees,105.38039215686274,148.78039215686272,857.7921568627451,1074.4274509803922,972.874509803921,236.06666666666663,820.8313725490194
crops_to_grass,233.79215686274512,323.2941176470588,2393.521568627451,2016.4235294117645,885.9960784313735,1220.6313725490195,208.65882352941176
crops_to_flooded_vegetation,31.019607843137255,89.84705882352941,190.46666666666667,144.3019607843137,29.0,222.50588235294117,168.15686274509807
crops_to_crops,8564.976470588239,10940.137254901983,10604.6117647059,8192.36470588236,6828.976470588241,7648.992156862751,8139.909803921579
crops_to_shrub_and_scrub,1787.227450980392,1174.6352941176472,3179.160784313725,1550.403921568627,1167.4549019607841,1675.6980392156863,1800.1058823529415
crops_to_built,10.890196078431373,115.75294117647059,3.0,66.64313725490196,20.60392156862745,189.75294117647059,60.06666666666667
crops_to_bare_soil,235.59607843137252,427.8666666666666,432.7411764705882,200.12156862745096,16.0,35.72549019607843,57.223529411764716
crops_to_snow_and_ice,12.0,5.0,6.0,1.0,28.0,5.866666666666667,10.898039215686275
shrub_and_scrub_to_water,52.40392156862745,2238.5882352941176,489.37254901960785,3580.5686274509803,38633.7450980392,1172.9607843137255,2751.325490196079
shrub_and_scrub_to_trees,28150.231372549024,197238.73725490185,65546.04705882353,324261.11372549005,338095.63529411744,31449.04705882354,114631.50980392154
