Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,175269.050980392,142495.6470588234,118781.42352941167,132377.01960784296,201338.72549019576,228120.26274509763,223371.70588235251
water_to_trees,1478.1176470588234,2300.862745098039,3223.5450980392156,1317.686274509804,2392.7647058823527,33587.38431372547,6363.392156862745
water_to_grass,3608.0235294117642,377.8156862745098,548.2627450980392,102.07450980392156,262.33725490196076,17802.388235294122,203.70196078431374
water_to_flooded_vegetation,19322.662745098034,9182.760784313725,2779.5450980392156,595.6549019607843,503.6,22853.23921568629,3079.4196078431373
water_to_crops,6081.141176470594,7336.447058823529,1072.1843137254903,85.55686274509804,154.93725490196078,8518.345098039223,176.75686274509803
water_to_shrub_and_scrub,10403.09411764706,1576.8313725490198,4717.18431372549,449.91372549019604,916.0901960784313,27530.47450980393,654.9843137254902
water_to_built,287.25882352941176,159.25098039215686,30.541176470588233,175.72549019607843,125.12549019607843,439.3372549019608,106.11764705882352
water_to_bare_soil,16153.313725490196,18238.37254901961,20599.376470588235,608.8941176470587,782.5254901960784,10106.47843137255,436.756862745098
water_to_snow_and_ice,816.5686274509804,3953.5490196078426,565.5058823529412,2931.568627450981,4017.482352941176,1232.8117647058825,2081.4313725490197
trees_to_water,2206.8941176470585,3934.674509803922,1694.5411764705882,3296.9921568627456,15870.6117647059,2172.078431372549,12189.79215686275
trees_to_trees,1845424.6196078274,1690706.952941162,1797981.937254886,1971706.2274509629,2565075.505882331,2510862.9647058607,2441721.2039215453
trees_to_grass,26707.356862745117,2957.258823529412,13955.611764705885,3336.7607843137243,14372.384313725492,127117.82745098029,11052.6
trees_to_flooded_vegetation,4532.827450980392,348.2862745098039,772.792156862745,870.3843137254902,2462.5294117647063,7343.823529411767,5607.572549019612
trees_to_crops,24250.470588235294,10786.054901960786,9931.160784313724,4246.552941176471,8108.400000000001,56522.99215686284,4498.305882352942
trees_to_shrub_and_scrub,526970.8745098022,222733.3411764701,346320.3058823525,84098.05098039219,99817.21176470592,802374.1999999967,194720.15686274495
trees_to_built,4859.956862745099,3366.8705882352942,3363.2352941176473,2380.5882352941176,1471.0666666666666,7267.047058823528,2568.482352941176
trees_to_bare_soil,4715.270588235294,5389.670588235294,1129.7098039215687,1500.156862745098,1026.0823529411764,4042.7294117647057,800.4078431372549
trees_to_snow_and_ice,2812.7176470588233,947.1490196078431,1223.070588235294,898.4313725490197,714.678431372549,1069.8745098039215,789.372549019608
grass_to_water,159.69019607843137,188.52156862745096,226.08627450980393,6010.054901960784,19349.01176470588,159.01176470588234,2158.721568627451
grass_to_trees,3718.988235294118,20864.94509803922,4454.764705882352,40367.80000000005,123284.33333333328,7329.972549019607,28488.894117647073
grass_to_grass,1129277.1058823494,977546.3411764676,991452.4235294083,1110747.8392156828,1033330.2862745068,1078976.411764703,1156394.2470588211
grass_to_flooded_vegetation,541.2980392156862,811.9411764705881,46.82745098039216,919.4078431372549,22797.63921568628,534.3490196078432,1997.470588235294
grass_to_crops,311557.3882352931,249410.78039215622,107147.3764705882,221801.39999999956,113126.92156862741,362884.7803921562,192683.619607843
grass_to_shrub_and_scrub,39218.78039215689,77516.5999999999,17449.25882352941,69180.08627450991,38028.90196078434,93432.15294117665,17538.21568627451
grass_to_built,1586.3686274509803,1640.5607843137254,786.4666666666666,1069.1019607843136,793.7764705882353,1497.0039215686274,611.5529411764705
grass_to_bare_soil,14914.823529411773,7045.83137254902,597.721568627451,1258.3058823529414,1012.0,3331.1450980392156,854.149019607843
grass_to_snow_and_ice,13.4,14.0,27.36078431372549,53.0,55.0,38.0,137.74901960784314
flooded_vegetation_to_water,1433.5137254901963,476.29019607843134,1210.6588235294118,6670.901960784314,9656.196078431374,883.0941176470587,17201.00000000001
