Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,276052.3843137255,284094.8235294118,266102.35294117645,248158.4823529412,252742.21960784314,343710.25882352935,526678.4823529412
water_to_trees,1947.070588235294,757.0,7216.666666666666,1736.9254901960785,134.97254901960784,122.0,3837.803921568627
water_to_grass,45.247058823529414,14.329411764705883,359.5725490196079,14.0,8.0,3.0,264.2392156862745
water_to_flooded_vegetation,8130.658823529411,2806.6784313725493,25876.454901960784,16664.60392156863,1906.7882352941178,1990.5372549019608,29760.529411764703
water_to_crops,855.5764705882352,411.4862745098039,1826.3882352941177,397.84705882352944,148.4549019607843,46.09803921568627,8113.341176470588
water_to_shrub_and_scrub,535.4117647058823,115.0,1083.443137254902,132.38039215686274,354.0,267.0,3707.156862745098
water_to_built,245.23921568627452,223.0,2330.992156862745,264.0,61.956862745098036,98.1607843137255,1762.7176470588236
water_to_bare_soil,2910.949019607843,227.14901960784314,5538.3372549019605,479.35686274509806,585.8901960784314,32.0,35564.99215686275
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,1443.1372549019607,3032.235294117647,235.0,1038.0,11928.345098039215,21669.827450980392,254.41176470588235
trees_to_trees,139555.07843137256,132273.06274509802,133369.79215686274,144153.28235294117,101801.0039215686,66129.74509803922,77025.34901960786
trees_to_grass,694.0,172.0,573.3254901960784,51.0,236.74117647058824,20.0,672.8980392156863
trees_to_flooded_vegetation,10731.862745098038,10411.01568627451,4001.5529411764705,6674.317647058823,33950.439215686274,41432.71764705882,5967.164705882353
trees_to_crops,9412.298039215686,5093.803921568628,8307.023529411765,4760.874509803922,12999.086274509802,1907.686274509804,7466.678431372548
trees_to_shrub_and_scrub,12547.29411764706,3915.8313725490198,9992.525490196078,7922.549019607843,4959.392156862745,512.9686274509804,9310.788235294118
trees_to_built,1556.8392156862747,3149.835294117647,831.3019607843137,1796.3254901960786,1959.0,298.0745098039216,124.28627450980392
trees_to_bare_soil,1730.2509803921569,436.7882352941176,1807.8196078431372,733.0,623.7333333333333,35.0,2528.149019607843
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,152.0,178.76862745098038,8.0,108.01176470588236,266.4392156862745,684.0274509803921,2.0
grass_to_trees,191.67450980392158,368.0,70.0,631.7411764705882,86.0,658.5176470588235,77.0
grass_to_grass,4974.447058823529,3393.5960784313725,3206.552941176471,3707.8901960784315,2896.2392156862743,3523.0666666666666,3241.858823529412
grass_to_flooded_vegetation,266.0313725490196,296.91764705882355,166.0,357.00392156862745,542.556862745098,488.0,200.26666666666665
grass_to_crops,4127.121568627451,4990.180392156863,2095.219607843137,4421.392156862746,1506.549019607843,5620.709803921569,2555.435294117647
grass_to_shrub_and_scrub,360.0,491.0,91.0,372.2862745098039,104.92156862745098,102.0,14.0
grass_to_built,10.0,208.0,33.0,141.0,59.0,126.0,1.0
grass_to_bare_soil,29.0,126.78823529411764,46.0,66.87843137254902,57.0,14.0,17.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,7122.84705882353,14953.639215686275,855.9960784313726,2688.858823529412,50549.674509803925,92945.92549019607,5736.450980392156
flooded_vegetation_to_trees,4617.745098039216,6639.674509803921,11759.905882352941,6717.125490196077,6011.949019607842,4382.98431372549,11778.847058823529
flooded_vegetation_to_grass,56.0,104.0,706.7764705882353,88.1921568627451,173.48627450980393,30.0,349.0
flooded_vegetation_to_flooded_vegetation,104923.53725490197,107577.51372549018,108189.68627450979,128314.60392156863,98555.4549019608,64895.28627450981,119724.7294117647
flooded_vegetation_to_crops,911.5843137254901,1861.278431372549,2185.4627450980392,928.8509803921568,2637.6117647058823,452.3764705882353,4721.290196078431
flooded_vegetation_to_shrub_and_scrub,1597.0823529411764,1276.0,3582.349019607843,2151.035294117647,1570.1450980392156,156.0,3114.780392156863
flooded_vegetation_to_built,343.0,2044.0,1851.5882352941176,416.0,771.3882352941176,38.36862745098039,663.0
flooded_vegetation_to_bare_soil,1342.9490196078432,517.0,1408.0,831.7529411764706,1265.0,9.215686274509803,2195.2039215686273
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,993.4156862745099,1244.0745098039215,202.54117647058825,583.9019607843137,3515.55294117647,34350.49411764706,205.49019607843135
crops_to_trees,3934.56862745098,7167.549019607843,6237.505882352941,7885.999999999998,7199.505882352942,10986.466666666667,6145.647058823529
crops_to_grass,3661.6666666666665,1748.0549019607845,4279.4078431372545,1617.6235294117646,7668.333333333333,2457.9254901960785,5007.529411764705
crops_to_flooded_vegetation,2025.7058823529412,1564.1254901960783,1363.8745098039215,2934.121568627451,3769.309803921569,11027.517647058825,1264.0627450980392
crops_to_crops,1063058.9960784316,1199961.7882352946,1409608.6392156866,1293974.0039215693,1208393.0392156867,1085430.9450980397,1030861.7411764711
crops_to_shrub_and_scrub,6093.666666666666,11817.003921568628,6393.917647058824,12459.75294117647,17935.80392156863,157383.3607843137,7642.105882352941
crops_to_built,2287.835294117647,7195.050980392158,2255.235294117647,6818.4,7043.219607843136,8843.69019607843,879.9058823529411
crops_to_bare_soil,102689.61176470589,46233.12549019608,223764.44313725492,220836.17254901965,124458.25098039217,171259.90588235302,298278.2156862745
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,12.0,0.0
shrub_and_scrub_to_water,376.0,955.0235294117647,97.0,601.0117647058823,4839.35294117647,24961.47843137255,119.0
shrub_and_scrub_to_trees,5700.768627450981,10196.133333333335,4261.066666666667,4886.878431372548,12767.01568627451,16373.113725490199,2795.431372549019
shrub_and_scrub_to_grass,258.0,218.0,357.2901960784314,22.0,147.0,32.0,118.0
shrub_and_scrub_to_flooded_vegetation,4964.317647058823,5706.874509803922,1381.850980392157,2685.2313725490194,13331.560784313726,16283.73725490196,2564.8705882352942
shrub_and_scrub_to_crops,33373.96862745097,12790.282352941176,19665.819607843136,6307.4078431372545,21250.701960784314,8738.27843137255,70746.47450980391
shrub_and_scrub_to_shrub_and_scrub,572975.7098039215,543749.8352941177,409615.2862745098,373667.21176470583,433971.7647058824,1094356.6196078432,2271411.674509803
shrub_and_scrub_to_built,2091.247058823529,7314.874509803922,1568.5450980392156,3161.3490196078433,6005.639215686275,2199.8156862745095,975.643137254902
shrub_and_scrub_to_bare_soil,635277.3725490196,51265.07058823529,497336.4078431373,58335.564705882345,44005.13333333334,18257.776470588236,6261413.847058826
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,498.63529411764705,702.2392156862745,80.0,573.0,6547.239215686274,24122.764705882353,74.30196078431374
built_to_trees,1576.0,657.0,3835.886274509804,1996.0,2472.9803921568628,289.6470588235294,663.5843137254902
built_to_grass,223.14509803921567,38.0,233.0,18.0,54.0,8.0,127.0
built_to_flooded_vegetation,1764.105882352941,463.42352941176466,552.0,2327.372549019608,5577.850980392157,5039.2235294117645,83.3686274509804
built_to_crops,6119.850980392156,1513.1725490196077,7167.388235294117,1566.1450980392158,6399.709803921569,1409.329411764706,12371.231372549017
built_to_shrub_and_scrub,3179.7019607843135,388.63529411764705,3892.505882352941,2253.964705882353,1198.4666666666667,2133.0196078431372,4196.172549019608
built_to_built,88347.34901960782,93377.70980392156,100831.5294117647,102100.6039215686,97166.99607843134,91406.88235294117,87998.67450980395
built_to_bare_soil,11151.517647058825,1566.7960784313725,6753.556862745098,2286.364705882353,3977.9450980392157,982.278431372549,17100.054901960786
