Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,267035.79999999993,274482.51372549013,257291.6274509803,240222.30196078427,244716.1921568627,331078.01176470576,499790.71764705866
water_to_trees,1842.8,729.5137254901961,6242.058823529412,1604.827450980392,103.96470588235294,111.22745098039215,2955.26274509804
water_to_grass,44.258823529411764,14.329411764705883,321.82745098039214,6.0,3.6901960784313728,3.0,236.21568627450984
water_to_flooded_vegetation,7909.827450980392,2742.788235294118,25017.239215686273,16015.807843137256,1861.3137254901962,1974.3843137254903,28348.298039215682
water_to_crops,654.5254901960784,348.9372549019607,1523.8,341.4039215686274,100.85098039215687,16.356862745098038,6985.917647058823
water_to_shrub_and_scrub,493.8078431372549,112.86666666666667,1012.0901960784314,130.38039215686274,288.2862745098039,163.6313725490196,2711.290196078431
water_to_built,205.05490196078432,190.69019607843137,2279.2392156862743,180.98823529411766,42.0,12.537254901960784,1634.9843137254902
water_to_bare_soil,2622.9960784313726,221.14901960784314,5305.1882352941175,430.043137254902,574.8901960784314,31.0,31223.603921568625
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,1162.9254901960785,2484.9764705882353,222.89803921568628,993.3450980392157,10695.831372549019,18416.337254901962,211.78039215686275
trees_to_trees,107021.09803921566,100201.8745098039,105561.9294117647,115046.56862745098,71920.68235294118,37452.52156862744,43116.66666666666
trees_to_grass,382.0705882352941,165.0,487.4117647058823,19.0,222.74117647058824,0.0,479.9686274509804
trees_to_flooded_vegetation,10167.454901960784,10119.733333333334,3599.7333333333336,6122.7411764705885,33116.46274509804,35780.50980392157,5460.054901960784
trees_to_crops,5187.27843137255,3379.8823529411766,4189.058823529412,3552.772549019608,11229.592156862742,630.4235294117645,3731.4941176470593
trees_to_shrub_and_scrub,9013.63137254902,2972.98431372549,5833.913725490196,6559.6627450980395,4165.9607843137255,307.1607843137255,5584.792156862744
trees_to_built,1390.850980392157,2845.5882352941176,647.2901960784313,1696.4470588235295,1644.2039215686275,80.29411764705883,70.0
trees_to_bare_soil,1586.6196078431371,395.66666666666663,1489.0745098039215,704.0,594.7333333333333,33.0,2114.4745098039216
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,134.28235294117647,165.8156862745098,8.0,98.3843137254902,213.7764705882353,635.3529411764706,2.0
grass_to_trees,122.64705882352942,277.0,54.98823529411764,497.65098039215684,56.0,440.5254901960784,11.0
grass_to_grass,1365.3450980392158,1165.8901960784315,1446.1137254901962,2046.105882352941,1175.5254901960784,824.2470588235294,571.913725490196
grass_to_flooded_vegetation,228.0313725490196,239.91764705882355,148.0,302.6078431372549,506.5686274509804,270.00392156862745,134.73333333333335
grass_to_crops,529.0980392156863,611.0666666666666,159.52941176470588,875.2745098039217,735.8588235294117,393.0235294117647,638.8078431372548
grass_to_shrub_and_scrub,271.37254901960785,131.3686274509804,87.61960784313726,327.2862745098039,46.92156862745098,10.023529411764706,10.0
grass_to_built,0.0,34.043137254901964,29.0,30.0,34.0,0.0,0.0
grass_to_bare_soil,9.0,15.32549019607843,2.0,6.580392156862745,53.0,10.886274509803922,12.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,6967.498039215685,14349.776470588236,839.9960784313726,2658.6,48505.90980392156,90254.67058823528,5402.01568627451
flooded_vegetation_to_trees,4562.082352941176,6308.247058823529,11504.8,6452.054901960783,5226.396078431373,3794.509803921569,8457.250980392157
flooded_vegetation_to_grass,35.0,97.0,622.4156862745098,82.1921568627451,141.33333333333331,0.0,121.87843137254902
flooded_vegetation_to_flooded_vegetation,101799.17254901961,104174.60784313724,104551.0156862745,123661.70980392158,95495.33333333334,63040.17647058824,112959.66666666666
flooded_vegetation_to_crops,877.5725490196078,1807.2627450980392,1961.8980392156864,778.5764705882352,2187.5019607843133,393.3450980392157,3924.121568627451
flooded_vegetation_to_shrub_and_scrub,1563.1450980392156,1262.8745098039217,3535.5686274509803,2072.529411764706,1542.5176470588235,149.0,2173.2588235294115
flooded_vegetation_to_built,271.5333333333333,2031.4274509803922,1824.4588235294118,403.7529411764706,694.4784313725489,27.772549019607844,571.0
flooded_vegetation_to_bare_soil,1327.078431372549,485.0,1328.2117647058824,770.7529411764706,1259.0,9.215686274509803,2051.2039215686273
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,833.9411764705884,1038.5254901960784,167.68235294117648,476.9176470588235,3134.7960784313727,31036.41960784314,134.92156862745097
crops_to_trees,2475.490196078431,5309.101960784314,4658.482352941176,4360.886274509804,3344.094117647059,5183.415686274509,1112.3450980392158
crops_to_grass,547.4196078431372,257.03137254901964,1055.7607843137253,650.3333333333333,897.113725490196,508.20784313725494,662.5607843137254
crops_to_flooded_vegetation,1974.1294117647058,1378.3176470588235,1181.6980392156863,2686.5803921568627,3439.2627450980394,9849.752941176472,965.2117647058824
crops_to_crops,583181.4784313727,707412.992156863,910488.254901961,786605.2901960788,713086.8666666669,608717.243137255,544369.6941176474
crops_to_shrub_and_scrub,2979.58431372549,6405.921568627451,5298.2,7937.047058823529,12032.741176470588,122961.98039215687,5350.419607843137
crops_to_built,876.1294117647059,2593.298039215686,1573.043137254902,2088.596078431373,1322.129411764706,1447.9019607843138,144.94901960784316
