Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,22236.301960784316,24178.615686274512,24082.635294117645,23483.58431372549,23954.086274509806,30630.35294117647,41923.941176470595
water_to_trees,9.0,42.0,251.7843137254902,61.69803921568628,2.0,0.0,607.5960784313726
water_to_grass,0.0,1.0,4.0,0.0,0.0,0.0,4.035294117647059
water_to_flooded_vegetation,191.1921568627451,63.0,400.74117647058824,207.87058823529412,65.59607843137255,71.44313725490196,959.8666666666668
water_to_crops,0.0,0.0,18.07450980392157,0.023529411764705882,0.0,0.0,230.87450980392157
water_to_shrub_and_scrub,34.0,18.0,155.54117647058825,12.615686274509804,6.0,0.0,2197.0078431372544
water_to_built,0.0,6.0,17.007843137254902,3.0,8.04313725490196,3.717647058823529,21.0
water_to_bare_soil,1269.6078431372548,29.850980392156863,2445.58431372549,447.55686274509804,232.0,3.0,13191.843137254902
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,8.0,1.0
trees_to_water,340.4549019607844,231.26666666666668,47.0,19.0,553.3294117647058,1495.6823529411765,18.588235294117645
trees_to_trees,15076.19607843137,13690.800000000001,14749.976470588235,14532.388235294115,13339.525490196078,13528.878431372548,15930.070588235294
trees_to_grass,8.0,0.0,13.0,0.0,2.0,0.0,17.0
trees_to_flooded_vegetation,1084.0588235294117,907.321568627451,162.02745098039216,232.3372549019608,1086.0352941176468,1781.6,927.2980392156862
trees_to_crops,776.7176470588234,268.08627450980396,390.4470588235294,59.74901960784314,57.56078431372549,5.0,507.5725490196078
trees_to_shrub_and_scrub,4450.9607843137255,308.7098039215686,1480.3333333333333,1196.486274509804,329.5450980392157,24.50588235294118,1217.4666666666667
trees_to_built,270.11764705882354,316.2745098039216,154.98431372549018,159.35294117647058,308.0,237.20784313725488,64.70980392156864
trees_to_bare_soil,329.74901960784314,30.211764705882352,95.10196078431372,179.0,68.0,2.0,75.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,1.0,0.0,1.0,4.0,5.0,9.0,0.0
grass_to_trees,4.0,6.0,0.0,7.0,0.0,18.0,2.0
grass_to_grass,27.031372549019608,26.0,27.2078431372549,36.92941176470588,28.729411764705883,28.1843137254902,36.61176470588235
grass_to_flooded_vegetation,0.0,2.0,0.0,0.0,1.6745098039215687,0.0,0.0
grass_to_crops,10.498039215686275,0.03137254901960784,0.0,2.8431372549019605,0.0,13.011764705882353,3.0
grass_to_shrub_and_scrub,8.0,0.0,0.0,6.0,1.0,0.0,0.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,3.0,10.854901960784314,0.0,7.698039215686275,2.0,0.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,193.82352941176467,303.34509803921566,45.99607843137255,27.905882352941177,622.5529411764705,1460.1450980392158,76.86274509803921
flooded_vegetation_to_trees,119.69411764705885,115.0,510.5843137254902,172.84705882352944,396.32941176470587,379.7450980392157,571.3686274509804
flooded_vegetation_to_grass,0.0,0.0,9.211764705882352,1.4627450980392158,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,1705.9098039215687,2817.8745098039217,3175.364705882353,3405.945098039216,2926.9450980392157,3725.0901960784313,7916.917647058824
flooded_vegetation_to_crops,0.0,1.0,13.592156862745096,2.0,19.317647058823525,14.0,217.92549019607844
flooded_vegetation_to_shrub_and_scrub,65.82745098039216,29.0,357.60392156862747,52.97254901960784,26.84313725490196,19.0,871.1803921568627
flooded_vegetation_to_built,0.0,14.0,79.34901960784313,12.0,16.6,0.6274509803921569,82.0
flooded_vegetation_to_bare_soil,30.0,14.0,188.0,114.0,29.0,1.0,170.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,3.1607843137254905,7.67843137254902,0.0,3.2823529411764705,159.18823529411765,355.51372549019607,0.0
crops_to_trees,21.419607843137253,345.4549019607843,138.28235294117647,328.9372549019608,350.5098039215686,452.0313725490196,48.556862745098044
crops_to_grass,0.0,0.0,3.352941176470588,0.011764705882352941,21.768627450980393,6.0,4.827450980392157
crops_to_flooded_vegetation,1.784313725490196,8.0,4.0,5.0,14.0,181.721568627451,146.14117647058822
crops_to_crops,11314.87843137255,15355.243137254902,20189.49019607843,15862.611764705884,13494.376470588235,7617.376470588235,10330.733333333334
crops_to_shrub_and_scrub,85.85882352941177,858.8313725490195,137.0,1189.8666666666666,1006.8980392156863,23130.352941176472,2102.3686274509805
crops_to_built,11.635294117647058,498.61960784313726,67.7843137254902,289.29411764705884,328.3176470588235,680.9137254901962,5.572549019607843
crops_to_bare_soil,7906.321568627451,3206.396078431372,9583.007843137255,9297.164705882353,1844.9098039215687,4845.462745098039,2746.717647058824
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,96.0,96.3843137254902,3.0,21.988235294117647,523.9725490196079,3233.701960784314,7.0
shrub_and_scrub_to_trees,326.3607843137255,2703.6156862745097,426.2117647058824,563.9137254901962,2593.5098039215686,3745.341176470588,1037.0156862745098
shrub_and_scrub_to_grass,0.0,0.0,1.0,0.0,11.0,0.0,1.0
