Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,32908.501960784306,32433.29803921569,36663.05490196079,33093.90980392156,33917.02352941176,35306.827450980396,35351.55294117647
water_to_trees,6789.062745098039,1437.4549019607844,2388.6392156862744,6394.035294117647,311.3607843137255,8160.098039215686,490.4862745098039
water_to_grass,325.66274509803924,67.70980392156862,152.87058823529412,30.0,40.22745098039216,204.2901960784314,36.32156862745098
water_to_flooded_vegetation,217.46666666666664,1.0,13.47843137254902,16.0,6.976470588235294,6.0,8.529411764705882
water_to_crops,614.921568627451,85.6078431372549,206.8470588235294,101.0,79.81960784313725,319.8784313725491,32.0
water_to_shrub_and_scrub,1277.2862745098041,111.1764705882353,161.77254901960785,65.1843137254902,9.0,1100.6313725490197,2.2666666666666666
water_to_built,18.0,48.83529411764706,18.0,16.0,5.0,23.0,11.0
water_to_bare_soil,217.79607843137256,34.0,40.0,11.0,12.0,58.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,1137.0196078431372,5810.172549019608,2625.0235294117647,446.9294117647059,9821.694117647057,467.78823529411767,13246.380392156865
trees_to_trees,201785.20784313735,202073.35294117656,225472.06666666677,221904.8509803922,254212.5450980392,266298.6470588235,266920.6941176469
trees_to_grass,5711.6196078431385,666.7372549019607,3319.4509803921574,2682.090196078431,1756.3215686274502,9309.15294117647,2706.0156862745107
trees_to_flooded_vegetation,65.5372549019608,5.0,12.0,5.0,171.95686274509802,0.0,8.109803921568627
trees_to_crops,28883.164705882347,5113.596078431372,15680.741176470583,10398.239215686275,8086.964705882354,18921.301960784313,3850.3098039215683
trees_to_shrub_and_scrub,52144.08235294117,2632.337254901961,32313.51764705882,9171.454901960784,7261.545098039216,67646.64705882354,9966.850980392157
trees_to_built,1458.9725490196076,202.4705882352941,694.9176470588236,221.3294117647059,452.1411764705881,926.3647058823531,445.2235294117647
trees_to_bare_soil,169.10588235294117,1.0,12.76470588235294,4.0,43.0,86.0,3.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,14.525490196078431,330.8117647058823,43.74509803921569,116.56862745098039,160.74117647058824,31.541176470588233,421.3686274509804
grass_to_trees,2225.721568627451,6784.494117647059,2450.2627450980394,4048.1686274509834,12649.082352941177,2082.949019607843,6281.1882352941175
grass_to_grass,201200.6039215686,187369.83529411757,167542.44705882354,178866.24313725487,178542.36470588215,181532.06666666636,203639.08235294104
grass_to_flooded_vegetation,6.0,6.0,5.0,8.0,30.0,16.0,39.0
grass_to_crops,58696.61960784316,34686.67450980392,43284.2235294118,25012.960784313727,25646.921568627455,25000.807843137263,15568.407843137258
grass_to_shrub_and_scrub,15261.658823529413,14766.43529411765,11025.149019607841,7331.454901960786,22307.86666666667,23593.180392156864,13620.282352941176
grass_to_built,923.556862745098,693.7294117647058,582.2549019607843,264.25098039215686,547.2705882352941,423.8039215686275,153.6156862745098
grass_to_bare_soil,330.5882352941176,9.0,661.9686274509804,106.8156862745098,107.0,1366.9372549019608,757.9843137254902
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,2.0,178.0,0.0,5.0,15.0,15.0,6.0
flooded_vegetation_to_trees,4.0,51.12941176470588,21.768627450980393,97.47450980392158,10.0,118.57254901960785,9.0
flooded_vegetation_to_grass,15.0,0.0,2.0,5.0,2.0,10.0,6.0
flooded_vegetation_to_flooded_vegetation,117.99607843137255,96.71372549019608,85.94509803921568,23.945098039215686,59.94509803921569,2.0,6.0
flooded_vegetation_to_crops,25.0,3.0392156862745097,0.0,8.0,0.0,1.0,0.0
flooded_vegetation_to_shrub_and_scrub,2.0,216.67058823529413,14.0,0.0,16.552941176470586,144.30588235294118,1.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,6.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,100.0,318.0,68.0,157.65882352941176,346.3019607843137,94.0,393.4392156862745
crops_to_trees,2169.7176470588233,23508.898039215692,6470.576470588236,13241.992156862743,23846.227450980383,12506.772549019608,35410.92549019608
crops_to_grass,24892.670588235284,27608.10196078434,30069.835294117664,30248.270588235322,41396.25490196081,41609.925490196074,40096.831372549
crops_to_flooded_vegetation,10.0,7.0,7.0,7.0,9.0,2.0,12.0
crops_to_crops,339555.8823529409,378900.00784313725,378727.3921568625,395737.1019607838,371649.5843137252,350335.407843137,318130.8392156861
crops_to_shrub_and_scrub,4172.717647058823,7386.921568627451,8375.64705882353,4189.529411764706,4009.380392156863,7667.874509803922,4488.098039215688
crops_to_built,2351.309803921569,1653.5411764705882,1679.235294117647,1047.6196078431371,1516.9960784313723,1952.7686274509804,990.2705882352942
crops_to_bare_soil,604.8784313725491,547.6509803921568,1413.2392156862747,507.2078431372549,169.19607843137254,666.2588235294118,524.4588235294118
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,18.12549019607843,468.38039215686274,282.3058823529412,360.3411764705882,828.6980392156863,8.0,1841.7607843137255
shrub_and_scrub_to_trees,3297.1098039215685,45344.46274509803,7617.3294117647065,35179.839215686276,71855.89019607844,7655.086274509805,58937.66666666667
shrub_and_scrub_to_grass,11956.70588235294,8483.396078431373,14306.603921568629,26650.94901960784,11745.517647058823,7295.329411764706,11864.980392156864
shrub_and_scrub_to_flooded_vegetation,128.5529411764706,8.0,15.996078431372549,43.55294117647058,11.0,0.0,119.2392156862745
shrub_and_scrub_to_crops,9942.66274509804,6026.172549019609,5115.870588235295,8516.792156862748,7420.815686274511,4235.611764705883,5058.882352941177
shrub_and_scrub_to_shrub_and_scrub,301971.06666666665,314084.3647058824,312270.3019607841,293045.8784313725,221957.26666666678,236882.3333333334,259117.3529411765
shrub_and_scrub_to_built,513.6156862745098,685.8431372549019,417.1490196078432,513.3882352941177,603.7647058823529,292.9921568627451,753.356862745098
shrub_and_scrub_to_bare_soil,1706.549019607843,147.26666666666665,335.00392156862745,517.278431372549,111.50980392156862,89.4235294117647,139.09803921568627
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,27.909803921568628,11.0,32.0,18.0,28.0,8.0,18.91764705882353
built_to_trees,216.94901960784316,884.8627450980392,390.25098039215686,864.8078431372551,724.9254901960783,278.4588235294118,1016.6901960784315
built_to_grass,361.0705882352941,372.40784313725493,345.2549019607843,534.5176470588235,225.14901960784314,489.16470588235296,667.3333333333334
built_to_flooded_vegetation,0.0,0.0,0.0,6.0,0.0,2.0,0.0
built_to_crops,1357.9490196078432,1221.1176470588236,1615.3333333333333,2198.1098039215685,1311.4392156862746,1097.862745098039,1001.749019607843
built_to_shrub_and_scrub,336.07450980392156,188.25098039215686,487.2078431372548,183.1058823529412,178.1098039215686,432.4,149.54509803921567
built_to_built,44395.34901960789,47002.435294117706,47408.80784313733,46903.82352941184,46535.43529411773,47244.066666666746,47951.55686274519
built_to_bare_soil,36.72156862745098,0.8470588235294118,29.799999999999997,93.0,10.0,116.65490196078431,54.20392156862745
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,6.0,3.0
bare_soil_to_water,11.0,95.0,13.0,183.0,61.266666666666666,1.0,98.0
bare_soil_to_trees,16.898039215686275,45.82745098039216,23.0,75.0,45.87058823529412,46.0,33.0
bare_soil_to_grass,183.64705882352942,1026.862745098039,16.0,974.1764705882354,339.45098039215685,31.0,204.87058823529415
bare_soil_to_flooded_vegetation,0.0,0.0,0.0,0.0,2.0,0.0,0.0
bare_soil_to_crops,853.921568627451,774.7098039215686,505.97254901960787,970.7372549019608,639.4627450980392,134.9921568627451,140.32549019607842
bare_soil_to_shrub_and_scrub,83.0,974.4039215686274,180.42352941176472,547.8549019607843,719.0549019607843,364.9647058823529,88.7764705882353
bare_soil_to_built,20.11764705882353,21.8,1.0,46.64705882352941,8.0,0.0,93.24705882352941
bare_soil_to_bare_soil,1167.329411764706,1294.364705882353,1294.7333333333333,990.0941176470587,414.29019607843134,289.0392156862745,2014.094117647059
bare_soil_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,6.0
