Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,29768.317647058815,29306.79215686273,33663.72156862744,30121.55686274508,30829.07450980391,32157.141176470577,32176.505882352933
water_to_trees,6635.364705882355,1096.8117647058823,2073.76862745098,6271.227450980392,239.84313725490196,7844.396078431373,365.9254901960785
water_to_grass,246.67450980392155,11.32549019607843,118.23529411764706,27.968627450980392,31.227450980392156,177.39607843137253,23.32156862745098
water_to_flooded_vegetation,210.85882352941172,1.0,13.47843137254902,13.588235294117647,3.011764705882353,1.7254901960784315,8.509803921568627
water_to_crops,392.45882352941175,36.76862745098039,57.40392156862745,34.61960784313725,9.729411764705882,252.3019607843138,5.0
water_to_shrub_and_scrub,1268.286274509804,96.9843137254902,146.1372549019608,64.1843137254902,8.0,1083.650980392157,1.1019607843137256
water_to_built,4.0,5.8352941176470585,5.0,2.0,2.0,6.0,3.0
water_to_bare_soil,215.98823529411766,34.0,40.0,11.0,12.0,58.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,788.5411764705882,5688.35294117647,2489.5686274509803,315.89019607843136,9467.043137254901,372.9568627450981,13039.211764705884
trees_to_trees,175210.96078431362,177242.07058823522,196635.95294117637,196818.75686274495,224055.97254901935,237631.8392156859,233566.56862745067
trees_to_grass,4229.835294117648,387.4980392156862,2468.098039215686,1005.6549019607844,1487.349019607843,5480.549019607846,1997.2627450980397
trees_to_flooded_vegetation,65.53725490196078,5.0,12.0,5.0,167.95686274509802,0.0,8.109803921568627
trees_to_crops,14578.501960784317,1848.7333333333331,4986.803921568628,4420.086274509805,3347.631372549019,11035.011764705883,1428.7372549019608
trees_to_shrub_and_scrub,51001.984313725494,2486.011764705883,30540.482352941166,9114.898039215688,7122.611764705883,62232.85882352939,9824.607843137255
trees_to_built,696.78431372549,119.01960784313724,263.2156862745098,109.97254901960784,157.98823529411766,498.2000000000001,248.34901960784313
trees_to_bare_soil,168.0862745098039,1.0,12.76470588235294,4.0,43.0,84.21960784313725,3.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,9.525490196078431,256.66666666666674,36.258823529411764,80.6313725490196,146.9607843137255,19.733333333333334,406.4470588235294
grass_to_trees,1181.0941176470587,4349.9568627451,1557.9372549019608,3207.2901960784347,8378.172549019606,1776.0666666666668,4509.803921568629
grass_to_grass,83961.25098039239,79441.21176470611,73416.27450980406,80851.98039215694,80838.87843137266,71712.35686274522,66754.24705882372
grass_to_flooded_vegetation,6.0,6.0,5.0,5.811764705882353,25.266666666666666,10.141176470588235,39.0
grass_to_crops,16403.313725490196,8772.541176470582,14553.894117647058,9479.815686274509,4851.58431372549,10110.313725490207,5701.015686274508
grass_to_shrub_and_scrub,14307.619607843135,12362.623529411765,10389.435294117644,6927.364705882353,20716.59607843138,20714.454901960788,12387.705882352944
grass_to_built,252.48627450980396,169.69411764705882,142.54117647058823,123.06274509803923,125.99215686274508,89.90588235294118,44.49411764705882
