Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,2069.678431372549,2105.4078431372545,3256.713725490195,3067.149019607842,3131.07450980392,3386.5254901960766,3472.69019607843
water_to_trees,619.6117647058824,12.305882352941177,167.99215686274505,431.28627450980395,26.20392156862745,600.9647058823531,13.0
water_to_grass,26.0,0.0,1.0,7.0,0.0,13.0,4.0
water_to_flooded_vegetation,240.0,0.0,26.0,0.0,0.0,0.0,0.47058823529411764
water_to_crops,29.0,3.0,6.0,0.0,0.0,30.0,0.0
water_to_shrub_and_scrub,166.8941176470588,0.0,91.24313725490197,10.0,0.0,627.9058823529413,0.0
water_to_built,2.0,0.0,3.0,0.0,0.0,6.0,2.0
water_to_bare_soil,0.0,0.0,0.0,0.0,0.0,2.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,46.035294117647055,951.7411764705886,235.73333333333335,30.2,855.4156862745101,96.63529411764705,1638.2039215686275
trees_to_trees,31020.16470588237,26346.623529411765,23363.058823529424,24740.47058823532,45295.25882352937,55478.4039215686,55715.921568627426
trees_to_grass,315.02352941176457,32.0,231.59607843137252,83.2,124.47450980392156,469.73333333333335,16.231372549019607
trees_to_flooded_vegetation,303.8666666666667,3.0,18.0,4.0,39.0,0.0,95.88235294117646
trees_to_crops,2298.4862745098058,97.34117647058822,196.59607843137252,113.05098039215686,92.17254901960786,503.93725490196096,17.937254901960785
trees_to_shrub_and_scrub,38315.03529411763,5807.584313725489,12619.250980392153,670.4941176470589,2854.6117647058823,31081.176470588238,3153.541176470588
trees_to_built,66.72941176470589,14.0,30.392156862745097,4.0,20.24705882352941,62.670588235294126,8.0
trees_to_bare_soil,163.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,5.0,87.8,1.0,1.0,30.0,5.0,24.0
grass_to_trees,30.011764705882353,274.88235294117635,24.984313725490196,147.25098039215683,964.6745098039219,115.10588235294118,320.8352941176471
grass_to_grass,11518.94901960785,9663.988235294117,13297.43529411765,14857.792156862743,4753.7686274509815,1536.06274509804,1324.2235294117654
grass_to_flooded_vegetation,2.0,20.0,0.0,0.0,54.0,0.0,3.0
grass_to_crops,1248.1058823529413,320.66666666666674,512.8156862745097,378.48627450980405,99.87450980392157,296.67843137254897,15.133333333333333
grass_to_shrub_and_scrub,12551.50980392157,4016.941176470588,5020.003921568627,2464.5843137254888,16653.776470588233,4557.3725490196075,1347.1176470588236
grass_to_built,1.0,0.0,0.0,0.0,7.854901960784314,1.0,0.0
grass_to_bare_soil,237.0,114.0,53.0,47.0,0.0,7.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,277.0,5.0,39.0,46.0,0.0,0.0
flooded_vegetation_to_trees,0.0,125.86666666666667,16.0,123.0,34.0,54.0,0.0
flooded_vegetation_to_grass,0.0,0.0,1.0,14.0,6.0,2.0,0.0
flooded_vegetation_to_flooded_vegetation,9.0,160.0,163.0,47.0,1.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,13.0,4.0,6.0,5.0,50.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,6.0,0.0,4.0,323.0,0.0,31.0
crops_to_trees,15.415686274509806,146.22745098039218,154.92941176470586,518.470588235294,2131.3960784313726,137.62745098039218,399.9882352941177
crops_to_grass,63.53333333333334,990.129411764706,592.156862745098,811.1960784313725,191.35686274509806,271.9882352941177,378.8431372549021
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,3831.501960784312,7668.898039215686,8768.156862745098,8061.70980392157,3383.38431372549,2475.1999999999994,2307.0588235294094
crops_to_shrub_and_scrub,774.9843137254902,3058.61568627451,2899.388235294118,2010.062745098039,5613.337254901962,1100.0235294117647,1566.701960784314
crops_to_built,3.0,8.4,10.152941176470588,0.9764705882352941,14.172549019607843,2.3372549019607844,7.066666666666666
crops_to_bare_soil,22.0,189.0,75.00392156862745,0.0,0.0,0.0,0.0
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,0.0,123.0,15.988235294117647,11.929411764705883,267.90588235294115,1.0,772.6039215686276
shrub_and_scrub_to_trees,1559.9294117647062,9773.360784313729,1918.4509803921567,23259.70196078433,39178.12549019608,4248.007843137255,33762.13333333334
shrub_and_scrub_to_grass,2395.772549019608,7286.121568627452,3155.925490196078,6609.760784313725,1419.6196078431374,738.6705882352942,870.9450980392154
shrub_and_scrub_to_flooded_vegetation,21.0,6.0,22.0,34.0,12.0,0.0,332.75686274509803
shrub_and_scrub_to_crops,4513.635294117647,4248.882352941176,1897.2823529411762,3083.3294117647047,411.74509803921563,1382.207843137255,490.26666666666665
shrub_and_scrub_to_shrub_and_scrub,302589.6627450981,327991.72941176425,334555.95686274423,324368.843137254,288869.3529411766,310769.7803921558,311933.59999999945
shrub_and_scrub_to_built,16.098039215686274,19.309803921568626,33.266666666666666,15.670588235294117,36.23921568627452,1.9764705882352942,30.56862745098039
shrub_and_scrub_to_bare_soil,2225.0,5415.0,539.0,1186.0,0.0,152.0,14.0
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,0.0,1.0,1.0,4.0,13.0,3.0,0.08235294117647059
built_to_trees,7.156862745098039,14.36078431372549,0.0,56.0,62.89803921568628,11.607843137254902,74.58431372549019
built_to_grass,0.0,0.0,0.0,0.0,0.0,2.854901960784314,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,17.541176470588237,0.0,3.564705882352941,1.0705882352941176,0.0,2.635294117647059,0.0
built_to_shrub_and_scrub,17.317647058823532,20.0,27.392156862745097,7.0,2.564705882352941,20.615686274509805,2.650980392156863
built_to_built,735.9098039215685,789.3764705882352,799.1294117647059,807.8705882352941,750.0549019607843,787.8549019607842,784.5215686274508
built_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
