Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,0.0,0.0,0.0,0.0,0.0,0.0,34.0
water_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,0.0,0.0,7.0,0.0,17.0,0.0,0.0
water_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,0.0,0.0,13.0,0.0,10.0,0.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_trees,0.0,0.0,0.0,0.0,9.733333333333333,23.188235294117646,105.49803921568626
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_shrub_and_scrub,16.219607843137254,0.0,0.0,0.0,38.63137254901961,1.0,14.811764705882354
trees_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,25.0,0.0,1.0,56.73333333333334,56.6156862745098,56.6156862745098,294.3411764705882
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,291.19607843137254,9.0,12.333333333333334,0.0,12.180392156862746,0.0,0.0
grass_to_shrub_and_scrub,132.30980392156866,16.0,0.0,0.0,2624.454901960784,0.0,105.05098039215686
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,234.09019607843138,0.0,77.0,0.0,134.0,0.0,4.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,20.0,0.0,14.0,0.0,20.0,10.0
crops_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_grass,0.0,12.333333333333334,1.4901960784313726,228.16078431372554,0.0,19.96470588235294,0.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,216.33333333333331,493.3490196078431,495.68627450980387,441.4549019607842,44.705882352941174,13.0,13.0
crops_to_shrub_and_scrub,0.0,164.48627450980393,9.0,390.1176470588237,368.7058823529412,14.92156862745098,11.0
crops_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_bare_soil,10.0,241.37254901960782,68.90196078431373,1.0,219.54901960784318,8.0,0.0
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_trees,0.0,0.0,0.0,48.36470588235294,14.454901960784314,97.12156862745096,50.09411764705882
shrub_and_scrub_to_grass,0.0,0.0,50.24313725490196,1232.8078431372546,0.0,243.81176470588233,15.058823529411764
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_crops,15.0,4.0,145.36862745098037,60.0,2.0,6.0,7.0
shrub_and_scrub_to_shrub_and_scrub,7061.329411764704,8889.27843137255,9911.168627450981,11869.674509803921,13463.01568627451,17614.992156862765,18599.26666666667
shrub_and_scrub_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_bare_soil,163.94901960784313,1519.5686274509808,320.9294117647059,848.4156862745099,350.98039215686276,596.392156862745,690.5725490196079
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,0.0,0.0,0.0,13.0,0.0,14.0,6.0
bare_soil_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_grass,0.0,78.0,4.0,1309.5490196078435,0.0,83.0,3.0
bare_soil_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_crops,409.0117647058823,68.72941176470589,414.34509803921566,131.50588235294117,0.0,15.0,0.0
