Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,48865.18431372549,39155.882352941175,19918.129411764705,20375.035294117646,37191.77254901961,32737.745098039217,33737.44705882353
water_to_trees,7469.494117647058,369.30196078431374,0.0,334.92941176470595,353.0,2024.407843137255,54.86274509803921
water_to_grass,2280.0,2689.0,0.0,0.0,1254.0,1531.0,0.0
water_to_flooded_vegetation,397.0,210.0,0.0,0.0,319.0,590.0,0.0
water_to_crops,13045.0,2900.0,17018.0,0.0,6266.0,981.0,1.0
water_to_shrub_and_scrub,8311.945098039216,3050.9098039215687,938.9058823529411,2.0431372549019606,3234.717647058824,728.0,106.4235294117647
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,2392.486274509804,913.8274509803921,1618.7058823529412,3.0,285.44313725490196,109.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,103.73725490196078,195.85882352941175,486.6274509803922,6.0,1313.7450980392157,19.0,8671.0
trees_to_trees,318944.3215686275,303948.47843137255,249880.90196078434,265543.7725490196,337419.38823529414,343650.9294117648,477534.6078431374
trees_to_grass,173.0,30.0,80.0,270.0,63.0,458.0,727.0
trees_to_flooded_vegetation,0.0,0.0,0.0,25.0,0.0,0.0,864.0
trees_to_crops,1233.0588235294117,341.78039215686283,878.0,608.0,1215.0352941176473,746.756862745098,589.086274509804
trees_to_shrub_and_scrub,137283.31372549024,53193.874509803914,76224.30588235294,7528.917647058824,134137.29019607845,5516.78431372549,48823.76862745097
trees_to_built,12.0,76.0,4.0,8.0,1.0,8.0,8.0
trees_to_bare_soil,195.0,58.0,518.9568627450981,0.0,244.7098039215686,8.0,4.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,338.0,0.0,0.0,10308.0
grass_to_trees,1282.0,533.0,641.0,484.0,424.0,163.0,1248.0
grass_to_grass,9089.286274509805,7994.313725490196,4831.474509803921,5275.474509803921,8275.843137254902,10634.058823529413,16338.803921568628
