Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,25331.650980392158,17000.368627450982,12783.050980392158,21377.870588235295,33987.94901960784,21054.192156862748,38432.20392156863
water_to_trees,20954.05098039216,3239.1137254901964,82.0,4111.113725490197,940.0,25378.019607843136,2327.1254901960783
water_to_grass,165.0,31.0,4.0,0.0,186.0,52.423529411764704,215.8156862745098
water_to_flooded_vegetation,22.0,9.0,0.0,0.0,328.0,0.0,233.0
water_to_crops,713.0,603.0,2118.0,96.0,7705.0,8.0,312.4980392156863
water_to_shrub_and_scrub,36948.81568627451,15005.62745098039,7665.435294117647,550.0078431372549,15563.858823529412,3459.0,2393.564705882353
water_to_built,11.0,7.0,11.0,0.0,32.23921568627451,11.0,6.0
water_to_bare_soil,642.4862745098038,848.1647058823529,1355.2941176470588,6.0,2015.6784313725489,15.0,972.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,1.0
trees_to_water,374.2549019607843,2409.4117647058824,3810.2588235294115,303.0,13242.4,663.0,12641.305882352939
trees_to_trees,840130.694117647,845237.5568627452,658268.5803921568,720628.5137254902,882543.3725490195,888200.3764705881,1601693.6627450977
trees_to_grass,2055.270588235294,1483.4196078431373,31.0,511.48627450980393,442.843137254902,4225.760784313726,679.8274509803922
trees_to_flooded_vegetation,27.0,29.0,8.0,99.0,3.0,227.0,112.0
trees_to_crops,23249.066666666666,5480.964705882353,13018.019607843138,4937.141176470588,9559.415686274511,4196.8117647058825,3850.0117647058823
trees_to_shrub_and_scrub,674310.1803921567,139004.14509803924,384492.3725490197,23663.99607843137,791889.5333333336,28084.235294117647,288094.2392156863
trees_to_built,1584.078431372549,1046.2901960784313,1522.862745098039,346.09803921568624,1465.8078431372548,757.6196078431373,588.2156862745098
trees_to_bare_soil,7769.980392156863,1672.1960784313724,2163.6,59.0,5938.011764705882,33.0,819.7529411764706
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,54.0,12.0,100.0,1.0,180.0,580.0
grass_to_trees,1079.9098039215687,527.9843137254902,612.6117647058824,98.0,627.8392156862745,299.0627450980392,12225.72156862745
grass_to_grass,82110.56862745098,67626.76078431372,34951.03921568627,53391.90980392157,112180.53725490195,133844.4705882353,324142.6156862746
grass_to_flooded_vegetation,6.0,14.0,12.0,0.0,0.0,0.0,27.0
grass_to_crops,24508.843137254902,19303.682352941178,48273.341176470596,1558.0980392156862,60196.22745098038,819.4980392156863,10541.886274509803
grass_to_shrub_and_scrub,28963.725490196077,29110.882352941175,15004.823529411764,7130.886274509804,76470.79215686274,9331.062745098036,393018.4705882353
grass_to_built,127.0,348.34117647058827,244.0,70.0,118.93333333333334,57.0,71.82745098039216
grass_to_bare_soil,39681.94117647059,30677.513725490197,25062.44705882352,7863.23137254902,104156.78431372551,2366.752941176471,155061.5960784314
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
