Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,78702.1882352941,75071.42745098041,81473.39999999998,85481.87450980392,87584.8,89979.4823529412,95917.49411764706
water_to_trees,4622.141176470588,6589.0313725490205,5808.431372549019,6619.074509803922,3372.6745098039214,7576.254901960783,4518.2235294117645
water_to_grass,5402.615686274509,1809.0313725490194,1505.0823529411766,2304.7568627450983,1385.8627450980393,2464.1215686274513,673.3803921568627
water_to_flooded_vegetation,146.71764705882353,121.45490196078431,79.53333333333333,155.8549019607843,30.184313725490195,240.99607843137258,47.227450980392156
water_to_crops,8907.474509803922,2096.98431372549,1689.1450980392158,1913.0,1292.705882352941,1674.1019607843139,868.2313725490196
water_to_shrub_and_scrub,1725.3882352941177,279.83921568627454,424.3137254901961,310.01176470588234,187.8078431372549,1099.7529411764706,196.95686274509802
water_to_built,756.4352941176471,297.5333333333333,308.2,292.5960784313725,282.98039215686276,292.0078431372549,184.06666666666666
water_to_bare_soil,735.0235294117648,312.43137254901956,343.3058823529412,91.76470588235294,112.55686274509803,254.80392156862746,182.54117647058825
water_to_snow_and_ice,1144.2862745098041,176.21960784313725,247.06666666666663,628.1921568627452,283.1921568627451,131.3607843137255,663.4313725490197
trees_to_water,4547.266666666666,6480.2509803921575,8050.333333333333,3265.309803921569,7511.819607843138,5188.694117647059,4987.274509803921
trees_to_trees,6994436.839215668,6667298.619607827,6567854.176470576,6625761.882352929,6989104.07058822,7328509.4470588,7617768.913725464
trees_to_grass,98234.31372549022,64494.22352941176,96793.27843137256,78321.76862745098,56493.46274509804,113277.41960784317,109907.01960784315
trees_to_flooded_vegetation,1137.043137254902,78.02352941176471,461.65882352941173,625.7803921568627,155.1529411764706,303.4078431372549,163.50980392156862
trees_to_crops,191928.1215686275,159297.6823529412,166898.0862745098,59574.65098039215,104355.90196078432,101476.13725490194,82638.71764705882
trees_to_shrub_and_scrub,1107795.0352941167,247270.63137254905,750497.882352942,183852.1843137255,202155.24705882353,146756.10588235295,112270.90196078431
trees_to_built,69561.65098039217,11909.13725490196,29965.760784313727,17144.72156862745,16220.588235294117,26285.290196078433,19300.180392156868
trees_to_bare_soil,26096.22745098039,6088.329411764706,8521.67843137255,1649.0274509803921,9459.050980392158,3469.529411764706,13167.588235294117
