Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,396357.4196078432,414329.2705882354,473949.84705882357,467332.5686274511,461732.67058823537,421498.8627450981,421710.69411764713
water_to_trees,18945.796078431373,22296.44705882353,80517.2392156863,76851.4666666667,39056.262745098036,124839.0745098039,16132.81568627451
water_to_grass,5589.996078431373,2694.1333333333337,1712.5176470588237,3052.3764705882354,1445.929411764706,3947.411764705882,1184.627450980392
water_to_flooded_vegetation,1567.8627450980393,2273.694117647058,1554.686274509804,4224.72156862745,602.686274509804,2540.0823529411764,3129.8000000000006
water_to_crops,10296.819607843137,2648.964705882353,1944.105882352941,2693.772549019608,1396.6235294117646,1863.921568627451,958.6588235294117
water_to_shrub_and_scrub,4866.698039215687,5362.99215686274,4926.576470588236,5303.125490196078,1112.1215686274509,3991.886274509804,3461.329411764706
water_to_built,1204.0117647058823,501.93333333333334,449.4,648.7490196078431,434.91372549019604,470.1372549019608,327.01176470588234
water_to_bare_soil,3110.8549019607844,2493.6980392156865,2655.294117647059,2341.3647058823526,3119.180392156863,2211.086274509804,2082.423529411765
water_to_snow_and_ice,6700.945098039217,792.0,2181.2313725490194,3294.380392156863,2479.282352941176,1306.741176470588,2426.0862745098034
trees_to_water,40018.23529411764,127021.05490196086,69999.10196078432,31573.145098039226,71598.62745098039,11497.972549019607,58993.90196078433
trees_to_trees,25416724.31764701,24705207.88627447,23701755.254901923,23917162.352941126,25383073.60784306,26716472.650980286,27977819.733333312
trees_to_grass,153410.5725490196,71728.86274509804,125768.63137254902,106901.61960784314,88246.81568627451,139277.14117647058,133468.63137254902
trees_to_flooded_vegetation,8258.282352941176,869.0588235294116,1426.0941176470587,1707.7568627450983,904.8313725490195,1802.3058823529411,1060.3960784313724
trees_to_crops,315727.81176470587,190146.29803921568,319323.9843137256,92296.2156862745,136671.75686274513,128073.568627451,98987.90588235295
trees_to_shrub_and_scrub,3856760.4784313734,757513.28627451,3413585.552941178,734831.0666666669,715834.4823529412,334482.980392157,283829.7137254903
trees_to_built,89239.23529411767,14895.796078431373,38621.99607843137,21857.266666666666,19884.796078431373,32517.207843137257,23746.862745098035
trees_to_bare_soil,67162.25882352941,10030.027450980393,15826.694117647057,10316.337254901962,21214.87843137255,4331.921568627451,13895.72156862745
trees_to_snow_and_ice,1209.721568627451,15.929411764705883,317.278431372549,78.0,173.09411764705885,70.0,79.24705882352941
grass_to_water,3314.1019607843136,2092.725490196078,3254.4196078431373,1838.5176470588235,4924.466666666666,3941.3215686274507,5845.560784313726
grass_to_trees,55918.078431372545,125696.25882352942,94753.26666666665,112459.41568627451,166372.4470588235,124229.45098039217,230170.0431372549
grass_to_grass,1524866.2352941174,1479247.439215686,1597820.0509803921,1672745.0588235294,1613347.3176470585,1632986.7019607844,1700781.51372549
grass_to_flooded_vegetation,1969.8117647058823,385.1725490196078,1062.286274509804,797.8392156862745,1002.6745098039216,484.1490196078432,683.678431372549
grass_to_crops,447872.19215686276,222432.44705882354,229521.2588235294,193559.3254901961,190481.8431372549,221096.94901960786,210187.44313725492
grass_to_shrub_and_scrub,262879.5254901961,61473.560784313726,161402.07058823528,127750.83529411763,185659.30980392155,93844.92156862745,109256.10196078432
grass_to_built,20548.878431372552,9690.03137254902,14920.12156862745,10008.78431372549,13486.490196078432,13397.717647058824,9056.160784313726
grass_to_bare_soil,12323.243137254902,1501.6509803921567,8339.596078431372,3522.0,4289.588235294117,198.0,359.0
grass_to_snow_and_ice,14.0,8.0,1.0,0.0,77.0,21.0,0.0
flooded_vegetation_to_water,1384.3176470588237,1591.8000000000002,1996.7411764705878,724.6784313725491,5143.0392156862745,1600.2705882352939,2332.5607843137254
flooded_vegetation_to_trees,790.4901960784315,3686.6549019607846,805.1921568627452,604.1294117647058,2198.9333333333334,1157.6196078431371,1625.4509803921567
flooded_vegetation_to_grass,545.1411764705882,3131.901960784314,447.12549019607843,590.0941176470587,409.36470588235295,638.6588235294117,796.556862745098
flooded_vegetation_to_flooded_vegetation,19357.02745098039,21261.043137254906,22691.823529411766,27089.97647058823,25358.192156862744,24976.513725490197,25007.37254901961
flooded_vegetation_to_crops,368.6823529411765,967.7882352941176,822.0,197.85882352941178,154.0,48.0,568.0
flooded_vegetation_to_shrub_and_scrub,2063.18431372549,5961.980392156863,2141.254901960784,2230.164705882353,2443.643137254902,1520.4156862745097,1138.9411764705883
flooded_vegetation_to_built,31.270588235294117,48.89019607843137,14.0,58.3921568627451,32.956862745098036,10.0,1.0
