Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,301925.14901960746,309153.38431372505,315560.121568627,309207.7294117643,306070.45098039176,314900.53725490166,309145.99999999965
water_to_trees,3747.070588235294,8911.796078431373,26592.654901960785,12312.133333333333,5249.866666666668,19659.24705882353,9391.250980392157
water_to_grass,119.78823529411765,862.223529411765,110.73333333333333,699.0196078431375,23.31372549019608,1349.1764705882354,482.03137254901964
water_to_flooded_vegetation,1409.180392156863,2151.9215686274506,1474.8666666666666,4068.552941176472,572.3450980392157,2298.9882352941177,3082.282352941177
water_to_crops,215.45098039215688,341.1137254901961,88.23529411764704,98.3921568627451,17.133333333333333,140.16470588235293,88.4235294117647
water_to_shrub_and_scrub,1047.4392156862746,4898.474509803918,3345.8431372549016,3541.83137254902,325.10980392156864,1323.6078431372548,3179.0313725490196
water_to_built,388.91764705882355,198.8705882352941,122.32941176470588,302.06666666666666,151.54509803921567,171.37647058823526,140.76470588235296
water_to_bare_soil,1724.0549019607838,2115.411764705882,2138.6745098039214,1992.2666666666664,2902.9411764705883,1876.3725490196073,1854.949019607843
water_to_snow_and_ice,5136.137254901961,608.3843137254902,1869.3960784313724,2494.1882352941184,2151.6392156862744,1148.8509803921568,1555.7529411764704
trees_to_water,14670.058823529409,29096.756862745096,7413.4862745098035,3202.749019607843,20068.992156862747,4959.756862745098,7580.4431372549025
trees_to_trees,10404696.168627406,10092979.968627403,9593690.39999996,9961046.0078431,10865229.215686226,11496070.61176464,12055185.984313654
trees_to_grass,44562.6431372549,6515.133333333333,20246.058823529413,22952.494117647064,26161.505882352954,23291.870588235295,18113.4
trees_to_flooded_vegetation,7045.372549019608,790.8666666666666,964.4156862745099,1079.0784313725492,724.6627450980393,1498.8235294117649,896.6823529411764
trees_to_crops,103448.74509803925,28742.984313725494,139940.5098039216,14704.749019607845,15812.101960784314,19710.031372549012,9285.93725490196
trees_to_shrub_and_scrub,1927084.5607843099,437268.90196078375,1665705.3764705856,147921.1529411765,229072.07058823536,120588.26666666666,115898.14901960785
trees_to_built,19378.705882352948,2930.396078431373,8460.552941176467,4623.298039215687,3622.1294117647058,6093.5921568627455,4375.850980392157
trees_to_bare_soil,39816.56470588236,3934.023529411764,5915.4078431372545,1174.1960784313724,1735.2392156862743,855.3960784313724,728.0549019607843
trees_to_snow_and_ice,1054.6078431372548,13.20392156862745,265.2705882352941,56.29019607843138,138.05490196078432,53.56078431372549,63.63529411764706
grass_to_water,1604.1607843137251,183.13333333333333,652.243137254902,71.3529411764706,1304.4392156862746,88.33333333333333,246.76078431372548
grass_to_trees,6325.764705882351,28108.77647058823,21623.517647058827,20783.243137254904,36739.47058823529,30573.443137254908,53342.72549019609
grass_to_grass,108053.55686274507,123697.50980392154,159437.41568627456,184190.71372549026,197226.78431372557,232930.49411764718,285794.4941176471
grass_to_flooded_vegetation,1416.635294117647,135.46274509803922,748.8392156862745,482.7333333333334,720.9450980392157,120.33333333333334,320.47843137254904
grass_to_crops,40899.843137254924,12657.980392156862,19716.352941176472,8241.12549019608,6999.368627450979,7933.682352941175,8197.019607843138
grass_to_shrub_and_scrub,77287.27450980394,23465.368627450982,73256.7725490196,28404.831372549022,59157.11372549019,23934.450980392157,48097.78431372549
grass_to_built,488.0470588235295,253.4392156862745,383.1686274509804,220.25882352941176,326.5843137254902,359.5686274509804,311.8
grass_to_bare_soil,6713.737254901962,1081.2745098039215,4739.27843137255,1357.8313725490198,1470.5686274509803,85.0,99.67843137254901
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,1244.0313725490196,1513.223529411765,1838.2274509803917,434.6745098039216,4961.999999999999,1514.5843137254901,2210.1450980392156
flooded_vegetation_to_trees,536.3450980392157,2710.788235294117,732.3215686274509,505.9764705882353,1755.5137254901958,918.9764705882354,1156.98431372549
flooded_vegetation_to_grass,147.30196078431374,2785.513725490196,194.7372549019608,458.8588235294117,212.99215686274508,341.1921568627451,480.15294117647056
flooded_vegetation_to_flooded_vegetation,18549.345098039215,20140.435294117648,21501.800000000003,25296.058823529413,23821.878431372552,23466.96862745098,23550.57254901961
flooded_vegetation_to_crops,125.68235294117648,684.9058823529413,662.0588235294117,16.858823529411765,4.0,0.5843137254901961,151.0
flooded_vegetation_to_shrub_and_scrub,1830.0039215686274,5693.133333333333,1942.7333333333333,1593.4941176470588,1603.356862745098,1386.3843137254903,983.1254901960784
flooded_vegetation_to_built,21.93333333333333,7.050980392156863,11.71372549019608,51.28627450980392,22.101960784313725,4.223529411764706,1.0
flooded_vegetation_to_bare_soil,598.1803921568628,36.44313725490196,4.0,18.0,0.0,10.0,40.0
flooded_vegetation_to_snow_and_ice,13.0,0.0,7.537254901960784,0.0,1.0,4.6,1.0
crops_to_water,212.54901960784315,94.98039215686275,477.34901960784316,124.82352941176471,285.96862745098036,29.294117647058826,104.8549019607843
crops_to_trees,4340.1529411764695,32608.82352941176,47744.02352941175,101441.96078431375,54256.45490196078,12882.913725490194,22205.384313725488
crops_to_grass,3475.0313725490196,41762.486274509814,26465.70588235294,30175.211764705884,17938.827450980392,15715.435294117658,15682.070588235294
crops_to_flooded_vegetation,58.05882352941177,232.53333333333333,89.11372549019607,14.36078431372549,19.95686274509804,5.0,14.0
crops_to_crops,36925.89019607843,106735.47450980393,103944.35294117645,131030.79607843138,76758.5137254902,71235.83529411763,66922.14117647058
crops_to_shrub_and_scrub,9041.50980392157,52948.309803921584,63096.64705882354,88851.57254901963,34148.52549019609,11281.494117647058,10643.454901960786
crops_to_built,284.30196078431374,996.6980392156861,908.1372549019608,541.4666666666666,361.54117647058825,490.3960784313725,450.47843137254904
crops_to_bare_soil,563.3176470588235,2138.2941176470586,3316.3607843137256,1932.5725490196078,1029.4039215686275,284.43529411764706,540.9647058823529
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,1.0,0.0
shrub_and_scrub_to_water,5875.078431372548,5454.011764705882,5462.8549019607835,990.7137254901961,6139.5999999999985,1706.7882352941178,1623.8117647058825
shrub_and_scrub_to_trees,181527.9254901961,1261945.4549019597,460306.2941176469,1059915.4901960779,700929.5215686276,647471.0588235294,446087.3921568628
shrub_and_scrub_to_grass,32560.019607843144,91219.96470588233,34486.54509803921,61395.2274509804,51369.46274509803,114767.6274509804,58465.117647058825
shrub_and_scrub_to_flooded_vegetation,4424.4078431372545,2325.713725490196,3503.9098039215687,1269.1960784313726,1598.5019607843133,1127.9607843137255,2039.2392156862745
shrub_and_scrub_to_crops,54465.70980392157,89203.2,86993.36078431377,29360.639215686286,11289.419607843138,16530.764705882353,12817.1568627451
shrub_and_scrub_to_shrub_and_scrub,2046945.1254901967,2595772.254901961,2551447.7137254914,3228122.572549017,2763183.0784313725,2314151.8039215687,1958767.078431373
shrub_and_scrub_to_built,327.3411764705882,5131.223529411765,1515.792156862745,1204.6313725490195,779.8078431372548,2370.788235294118,1092.7333333333333
shrub_and_scrub_to_bare_soil,55649.98431372549,19384.019607843136,35714.117647058825,3066.6745098039214,4362.529411764706,757.5215686274511,311.8941176470588
shrub_and_scrub_to_snow_and_ice,198.06274509803922,159.68235294117648,296.66274509803924,117.2078431372549,262.4078431372549,163.75686274509803,88.63529411764706
built_to_water,115.2078431372549,217.98823529411766,268.1843137254902,139.67450980392155,309.9450980392157,245.76470588235298,219.96078431372553
built_to_trees,881.7176470588236,8802.59607843137,4723.286274509805,5754.1098039215685,7899.784313725489,3830.06274509804,8165.870588235292
built_to_grass,152.60392156862747,247.5450980392157,365.1450980392157,349.65882352941173,295.09019607843135,310.564705882353,636.9411764705883
built_to_flooded_vegetation,28.49411764705882,24.070588235294117,14.278431372549022,1.0,68.94901960784314,11.984313725490196,18.258823529411764
built_to_crops,266.8078431372549,487.89019607843136,587.3215686274508,348.63137254901955,383.1921568627451,390.792156862745,608.7450980392158
built_to_shrub_and_scrub,1199.0666666666666,216.19607843137257,783.878431372549,829.2862745098039,883.3803921568627,369.27450980392155,262.2666666666667
built_to_built,39484.18823529408,50366.64705882351,53187.94901960784,57230.75686274509,54379.27450980391,54535.57647058821,54179.639215686235
built_to_bare_soil,198.8823529411765,184.73333333333332,154.52941176470586,86.27058823529411,109.62352941176471,56.08627450980393,88.38431372549019
built_to_snow_and_ice,104.88627450980393,1.6,6.458823529411765,0.0,1.3568627450980393,0.9725490196078431,9.360784313725489
bare_soil_to_water,2909.796078431372,1873.4274509803922,1747.0039215686274,2174.250980392156,2048.6,2660.8823529411766,3285.1607843137244
bare_soil_to_trees,204.07058823529414,6147.674509803921,1277.3999999999999,510.30980392156863,953.7725490196078,565.6784313725491,666.9137254901962
bare_soil_to_grass,512.0,13467.211764705879,2445.7490196078434,3724.0901960784317,2797.329411764706,7704.380392156863,1510.6941176470589
bare_soil_to_flooded_vegetation,640.0,1055.5882352941176,77.0,171.0,115.0,43.92156862745098,144.7372549019608
bare_soil_to_crops,1169.4705882352941,7187.141176470588,2180.572549019608,998.0,662.0745098039216,621.4941176470589,130.49803921568628
bare_soil_to_shrub_and_scrub,6027.819607843137,59001.67843137256,25739.780392156863,40449.02745098039,10591.384313725492,8160.349019607844,2700.4549019607844
bare_soil_to_built,174.83137254901965,170.82745098039217,145.74509803921566,155.83921568627449,108.09411764705881,162.9058823529412,216.2078431372549
bare_soil_to_bare_soil,29690.435294117662,46059.60784313727,41431.94901960786,45208.717647058846,37483.34509803924,29156.921568627477,24416.298039215708
bare_soil_to_snow_and_ice,23.972549019607843,41.0,127.45098039215686,47.05490196078432,84.92941176470589,39.0,39.38823529411764
snow_and_ice_to_water,685.5490196078432,3715.949019607842,1296.7098039215684,1118.3764705882352,1678.3254901960786,2814.5450980392156,1905.3098039215693
snow_and_ice_to_trees,13.019607843137255,385.6,70.11764705882352,294.74117647058824,108.30980392156863,156.1450980392157,175.4
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,38.537254901960786,0.984313725490196,0.8627450980392157,5.2745098039215685,0.0,5.666666666666667
snow_and_ice_to_crops,0.0,1.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,132.72549019607843,462.93333333333334,123.6078431372549,200.5607843137255,84.05098039215687,97.42745098039215,186.3411764705882
snow_and_ice_to_built,1.0,35.878431372549024,4.0,0.9921568627450981,0.0,1.0,7.964705882352941
snow_and_ice_to_bare_soil,49.0,238.84313725490196,23.972549019607843,8.0,21.88235294117647,28.619607843137253,22.901960784313726
snow_and_ice_to_snow_and_ice,15479.396078431373,17131.321568627453,16435.800000000003,17385.04313725491,18201.94117647059,17743.592156862753,16851.74901960785
