Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,3601212.180392158,3610053.9568627453,3648896.176470588,3636618.6784313726,3635012.4117647074,3615259.2901960807,3600816.6352941184
water_to_trees,14398.76862745098,12341.290196078431,62618.662745098045,61806.89803921568,22580.972549019607,82587.71764705882,13217.76862745098
water_to_grass,59.0,229.60392156862744,114.12941176470588,163.98039215686276,47.0,195.89803921568628,164.11764705882356
water_to_flooded_vegetation,5251.674509803924,4328.650980392155,4339.839215686276,7723.3098039215665,1081.2117647058822,4632.678431372549,6034.01568627451
water_to_crops,34.0,35.886274509803926,6.0,42.5843137254902,84.0,54.66666666666667,65.32549019607843
water_to_shrub_and_scrub,973.7843137254902,3446.996078431373,2042.321568627451,1614.2196078431373,985.4901960784313,1968.121568627451,1023.8745098039217
water_to_built,274.45098039215685,394.50588235294117,189.21960784313725,336.5098039215686,80.87843137254902,126.98039215686273,315.7529411764706
water_to_bare_soil,624.7725490196078,1152.9490196078427,1238.976470588235,1233.5254901960784,794.5490196078429,1036.729411764706,674.878431372549
water_to_snow_and_ice,16708.83137254902,5571.047058823529,5521.619607843137,4826.45882352941,9707.211764705882,3637.2549019607836,17291.301960784323
trees_to_water,25057.819607843136,93147.60784313726,49111.03137254903,21651.89803921568,55200.81176470588,8227.03137254902,36667.160784313724
trees_to_trees,11491137.72549016,11424122.015686242,10828126.047058789,10646572.08627448,10960369.843137223,11402007.313725455,11838533.082352905
trees_to_grass,14798.376470588235,1248.235294117647,8001.698039215687,6424.5137254901965,6578.9607843137255,2645.4745098039216,4781.447058823529
trees_to_flooded_vegetation,2100.8823529411766,1557.858823529412,2148.6980392156865,2591.941176470588,449.04705882352937,2326.549019607843,2955.5254901960784
trees_to_crops,4282.521568627451,449.80000000000007,8818.501960784313,12012.164705882353,11727.717647058824,960.3882352941175,1363.2117647058822
trees_to_shrub_and_scrub,989302.0196078434,40683.388235294115,1228383.1686274512,410577.1960784317,283318.5294117647,77682.13333333333,44389.698039215684
trees_to_built,1899.819607843137,329.321568627451,1141.3764705882352,708.7960784313724,329.6549019607843,1098.4627450980397,370.61960784313726
trees_to_bare_soil,2601.776470588235,188.72549019607843,14793.858823529414,7679.949019607843,11313.549019607843,222.85490196078433,87.93333333333332
trees_to_snow_and_ice,1439.6901960784314,100.04705882352941,138.75294117647059,205.88235294117646,465.61960784313726,116.94117647058825,326.2627450980392
grass_to_water,676.5803921568628,127.97254901960785,229.69019607843137,174.0,229.93333333333334,58.886274509803926,119.0
grass_to_trees,2624.258823529412,14980.04705882353,4325.172549019608,4850.047058823529,8928.78823529412,22900.713725490194,34199.376470588235
grass_to_grass,41105.211764705884,39081.24705882353,54108.274509803916,48774.67843137255,54446.41960784313,91825.6431372549,105592.53333333334
grass_to_flooded_vegetation,222.14117647058825,281.7882352941176,285.6941176470588,195.1098039215686,194.29019607843136,57.84313725490196,204.2901960784314
grass_to_crops,2311.9411764705883,1445.6117647058823,1749.1803921568628,6823.0392156862745,2722.7686274509806,440.92549019607844,233.05490196078432
grass_to_shrub_and_scrub,55366.38431372549,7730.26274509804,9328.266666666666,36199.16470588235,17430.517647058823,21336.592156862745,11958.282352941176
grass_to_built,326.8588235294118,164.36470588235295,269.8274509803922,192.9764705882353,460.3058823529412,189.82745098039217,81.74901960784314
grass_to_bare_soil,673.0745098039215,2.3411764705882354,233.0,1179.0,254.0,2.0,9.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
