Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,79563.55686274508,88910.42745098037,117342.42352941175,118209.13725490196,112087.32156862745,96557.84313725488,94458.95686274508
water_to_trees,6106.913725490195,11155.235294117645,35389.74117647059,28531.709803921585,20873.003921568627,44829.956862745115,8610.635294117646
water_to_grass,2733.9803921568628,1571.0549019607843,1068.7843137254902,2027.1098039215685,564.8235294117646,2630.6666666666665,700.4862745098039
water_to_flooded_vegetation,491.85490196078433,1820.109803921568,338.3450980392157,2789.6431372549023,192.4941176470588,1394.9607843137255,2580.4509803921565
water_to_crops,5811.149019607843,1447.7490196078434,790.0666666666667,2091.772549019608,868.4549019607842,989.2078431372548,547.643137254902
water_to_shrub_and_scrub,2929.372549019608,4677.211764705882,1001.4823529411765,3934.741176470589,252.18039215686275,2134.1803921568626,2682.145098039216
water_to_built,629.3843137254902,293.27450980392155,223.90196078431376,370.5372549019608,292.12549019607843,270.7450980392157,134.1764705882353
water_to_bare_soil,1064.5843137254901,527.6313725490196,620.9921568627451,647.7647058823532,499.40784313725464,491.2352941176471,274.78823529411767
water_to_snow_and_ice,1210.9058823529415,79.57647058823528,291.37254901960785,513.5137254901962,173.20392156862746,91.4235294117647,418.1372549019607
trees_to_water,22026.352941176476,57149.76862745098,28671.88627450982,13874.2431372549,22514.56078431374,7306.858823529412,24933.15294117646
trees_to_trees,10638175.062744992,10332439.199999906,9446853.69803917,9622920.737254849,10425954.478431305,10949006.83137247,11168005.890195997
trees_to_grass,81818.91764705884,31598.39607843138,72522.58431372551,72053.85882352943,50953.54509803921,87484.09411764702,86153.94901960784
trees_to_flooded_vegetation,4216.392156862746,323.96470588235286,813.6588235294117,820.5921568627451,586.9058823529411,824.1529411764707,435.2823529411765
trees_to_crops,185871.84313725482,125636.75686274507,225391.8352941176,55876.066666666695,92946.87843137256,96448.29411764706,75501.5450980392
trees_to_shrub_and_scrub,1175057.8745098019,295727.09411764727,1568303.0705882348,153377.137254902,204379.61960784323,186610.96862745096,159652.76078431384
trees_to_built,44134.66274509801,6838.580392156861,20355.46274509805,10968.521568627448,8790.760784313725,14901.486274509803,10614.580392156868
trees_to_bare_soil,31362.709803921556,6826.298039215686,7739.980392156863,1559.7333333333333,5602.16862745098,3045.2156862745096,12491.858823529412
trees_to_snow_and_ice,307.6588235294118,3.9294117647058826,12.0,44.90588235294118,48.74117647058823,34.568627450980394,6.756862745098039
grass_to_water,2441.2549019607845,1272.007843137255,2204.9882352941177,826.2901960784313,2718.247058823529,1741.2588235294115,3102.0588235294117
grass_to_trees,40982.984313725494,70750.38431372547,57528.666666666664,69446.96862745097,93119.80784313729,60997.47058823529,116877.21568627455
grass_to_grass,671914.05490196,625743.9529411758,636009.1137254896,663853.4196078426,625915.5999999994,639451.6705882344,658177.474509803
grass_to_flooded_vegetation,1435.0392156862745,240.93725490196076,698.6901960784314,210.83921568627449,853.8509803921569,204.7686274509804,364.8235294117647
grass_to_crops,260075.82745098043,129243.38823529413,127368.6666666667,119815.63137254903,121710.21960784312,96162.39215686274,121060.62745098039
grass_to_shrub_and_scrub,98393.1294117647,26869.160784313724,58502.71372549019,40890.372549019616,73758.39607843138,39313.97647058823,54927.984313725494
grass_to_built,7485.862745098038,4483.545098039216,6096.654901960785,3824.0588235294117,5155.807843137255,5041.564705882352,3481.5333333333338
grass_to_bare_soil,4112.082352941176,257.65098039215684,601.6313725490197,545.0,2082.0,33.0,113.33333333333334
grass_to_snow_and_ice,14.0,8.0,0.0,0.0,77.0,21.0,0.0
flooded_vegetation_to_water,770.8470588235294,670.572549019608,1766.054901960784,197.67450980392158,3263.7647058823527,1050.6392156862746,585.529411764706
flooded_vegetation_to_trees,353.3137254901961,1974.0196078431368,307.3607843137255,326.6666666666667,1195.8549019607844,640.9019607843138,531.9294117647057
flooded_vegetation_to_grass,352.61960784313726,1315.243137254902,203.94509803921568,520.8196078431372,181.36470588235295,422.07843137254906,572.6666666666665
flooded_vegetation_to_flooded_vegetation,5042.937254901966,6033.650980392161,6479.905882352946,8741.64313725491,7631.313725490206,7816.949019607855,8293.23529411766
flooded_vegetation_to_crops,159.68235294117648,674.0392156862745,392.08627450980396,180.85882352941178,146.0,29.75686274509804,398.0
flooded_vegetation_to_shrub_and_scrub,612.4039215686275,4023.3764705882363,913.4941176470588,1845.6039215686274,688.5411764705882,981.2156862745097,533.6588235294117
flooded_vegetation_to_built,27.937254901960785,46.811764705882354,1.988235294117647,49.86274509803921,3.7294117647058824,8.564705882352941,1.0
flooded_vegetation_to_bare_soil,0.0,15.443137254901961,0.0,43.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,704.3843137254902,3896.9803921568628,2745.929411764706,1049.8431372549019,1518.1333333333332,1768.9803921568628,3207.262745098039
crops_to_trees,35691.14509803922,81041.95686274514,85503.68235294119,154672.59607843138,124177.60784313729,63341.32941176473,102098.17647058827
crops_to_grass,81501.26274509805,145034.95294117642,151272.59607843132,120333.78431372551,120165.38431372552,143752.1921568627,129090.10980392159
crops_to_flooded_vegetation,93.70588235294117,63.6078431372549,142.1137254901961,52.67843137254902,19.95686274509804,17.0,97.0
crops_to_crops,694550.3450980396,903320.7490196079,945712.6823529409,1002165.0549019604,937788.8980392154,941303.0078431373,902238.1333333334
crops_to_shrub_and_scrub,18720.811764705883,46578.83529411766,72816.08627450978,76044.83921568628,37054.129411764705,22912.698039215687,19407.470588235294
crops_to_built,3623.952941176471,3937.78431372549,3648.8549019607844,3167.937254901961,2743.3686274509805,4125.949019607844,2743.7725490196076
crops_to_bare_soil,1389.0,1398.8352941176472,502.5019607843137,305.0,519.1647058823529,101.72156862745098,476.08235294117645
crops_to_snow_and_ice,17.0,0.0,2.0,1.0,0.0,8.0,0.0
shrub_and_scrub_to_water,3977.941176470588,2935.517647058823,5435.474509803922,978.6313725490196,5856.415686274509,698.9333333333334,1845.850980392157
shrub_and_scrub_to_trees,131634.8745098039,848123.4549019604,292827.96078431385,922257.9490196081,658113.5372549023,406002.43529411784,423846.80784313736
shrub_and_scrub_to_grass,15559.035294117648,66610.4705882353,31796.717647058824,59676.34901960784,41705.96862745097,78580.27450980392,51043.73725490196
shrub_and_scrub_to_flooded_vegetation,3311.0509803921573,982.9647058823529,2571.713725490196,476.17254901960786,1572.7882352941185,648.2078431372549,726.7333333333332
shrub_and_scrub_to_crops,34180.882352941175,94939.43137254898,53924.43921568629,40334.60784313727,20134.89019607843,21432.52549019608,18449.61176470588
shrub_and_scrub_to_shrub_and_scrub,966867.7647058824,1247394.79607843,1260250.4862745092,1945110.3921568615,1503376.9921568616,1313031.7411764702,1074662.2666666668
shrub_and_scrub_to_built,1716.792156862745,13275.2274509804,3029.2901960784316,1977.094117647059,1344.149019607843,3241.458823529412,1689.5294117647059
shrub_and_scrub_to_bare_soil,14990.109803921565,2796.7254901960787,5724.650980392158,856.3176470588235,2059.2156862745096,426.3058823529412,431.7529411764706
shrub_and_scrub_to_snow_and_ice,8.184313725490195,47.90196078431373,119.16078431372549,32.498039215686276,70.0,84.43529411764706,17.0
built_to_water,274.20000000000005,483.6078431372548,341.95686274509796,162.70980392156864,337.0352941176471,262.7019607843137,522.0509803921568
built_to_trees,2986.027450980392,22752.23137254904,11914.564705882356,13221.7137254902,21108.070588235307,12464.760784313732,20632.345098039223
built_to_grass,2560.176470588235,5813.752941176471,3128.360784313725,3816.5294117647063,2984.1411764705886,3006.733333333333,4657.705882352941
built_to_flooded_vegetation,94.17647058823528,16.88235294117647,21.701960784313723,1.0,92.79607843137254,9.980392156862745,31.113725490196078
built_to_crops,2543.6117647058827,3101.3215686274507,3441.9568627450976,2930.6509803921567,3398.7725490196076,2497.658823529412,3864.627450980392
built_to_shrub_and_scrub,5221.3725490196075,746.5254901960784,1433.992156862745,1799.1490196078428,2163.749019607843,1009.8274509803922,594.8705882352941
built_to_built,342647.7411764695,367628.42352941015,376672.47450980236,388400.3529411749,378775.89803921414,377917.5803921552,375038.9999999985
built_to_bare_soil,374.4901960784314,103.05882352941177,159.38823529411764,86.1764705882353,114.13725490196079,117.59607843137255,239.8823529411765
built_to_snow_and_ice,113.76862745098039,21.694117647058825,26.647058823529413,61.0,56.0,40.0,75.66666666666667
bare_soil_to_water,701.0156862745098,848.2313725490195,451.8078431372549,416.56470588235294,688.5803921568629,583.5450980392154,1081.2941176470595
bare_soil_to_trees,611.9098039215686,2325.694117647059,1107.450980392157,371.5882352941177,1081.2509803921569,473.1529411764706,666.8666666666667
bare_soil_to_grass,2424.9803921568628,11323.301960784314,3410.478431372549,3109.0588235294117,494.27450980392155,2777.3411764705884,555.1607843137255
bare_soil_to_flooded_vegetation,68.0,582.7176470588236,840.0,18.0,0.0,0.0,6.0
bare_soil_to_crops,2073.3607843137256,3958.011764705882,771.0,592.0,336.7647058823529,494.1647058823529,312.7450980392157
bare_soil_to_shrub_and_scrub,9259.250980392155,29573.870588235288,8456.329411764706,11182.721568627452,2457.505882352941,6693.682352941177,2591.121568627451
bare_soil_to_built,367.1647058823529,419.5843137254902,426.6549019607843,258.2392156862745,145.33333333333334,120.38823529411765,129.16078431372551
bare_soil_to_bare_soil,10224.027450980398,14493.592156862753,10988.505882352945,10376.364705882357,9202.725490196086,8943.274509803927,7816.14117647059
bare_soil_to_snow_and_ice,36.95686274509804,18.0,31.77647058823529,23.858823529411765,30.92156862745098,7.0,14.4
snow_and_ice_to_water,22.71764705882353,899.9960784313723,155.40784313725487,87.92156862745097,406.16078431372557,436.6588235294118,141.35686274509803
snow_and_ice_to_trees,1.7568627450980392,102.0,62.67058823529412,27.72941176470588,38.858823529411765,38.937254901960785,105.69803921568628
snow_and_ice_to_grass,4.0,0.0,0.0,0.0,2.0,0.0,4.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,7.0,25.0,0.0,0.0,0.0,1.0,1.0
snow_and_ice_to_shrub_and_scrub,44.509803921568626,89.02352941176471,22.35686274509804,49.0,15.20392156862745,25.0,93.35294117647058
snow_and_ice_to_built,34.0,217.81176470588235,24.0,13.996078431372549,75.66666666666667,29.525490196078433,122.0
snow_and_ice_to_bare_soil,26.0,64.76862745098039,10.745098039215687,18.0,13.729411764705882,14.541176470588237,9.92156862745098
snow_and_ice_to_snow_and_ice,1998.2745098039227,2308.1490196078444,2212.070588235295,2498.3803921568606,2623.537254901958,2533.741176470587,2342.839215686275
