Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,411.0,330.0,352.0,355.0,815.0,1022.0,639.0
water_to_trees,620.0,37.0,153.0,76.0,37.0,1225.4470588235295,257.0
water_to_grass,400.0,0.0,0.0,3.0,0.0,18.0,135.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,4.0,0.0,0.0,0.0,0.0,0.0,5.0
water_to_shrub_and_scrub,2333.5529411764705,137.0,1245.0,24.0,30.0,667.0,207.0
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,59.0,0.0,6.0,0.0,0.0,0.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,31.0,179.0,10.0,102.0,1847.4470588235295,169.0,223.0
trees_to_trees,41221.0235294117,43923.02745098031,69585.03529411752,84431.36078431358,97552.37647058813,95254.63137254896,99532.25490196072
trees_to_grass,529.2196078431373,96.0,13.0,274.0,865.4588235294118,282.0,2073.650980392157
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_crops,2100.3529411764707,443.40784313725493,349.52156862745096,846.113725490196,329.964705882353,209.94509803921568,2259.078431372549
trees_to_shrub_and_scrub,30481.019607843136,5635.290196078432,17897.501960784313,7038.7490196078425,42591.23921568625,13083.678431372547,21040.470588235294
trees_to_built,76.0,44.0,90.0,134.0,9.0,178.0,109.0
trees_to_bare_soil,133.0,0.0,29.0,0.0,609.0,4.0,38.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,204.0,6.0,0.0,92.0,0.0,0.0
grass_to_trees,67.0,792.6313725490196,876.835294117647,575.0,376.0,86.0,23.0
grass_to_grass,17413.345098039215,22393.780392156863,78987.71764705882,98422.78039215688,65295.282352941176,70517.6588235294,191163.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,14403.160784313724,596.0,3618.050980392157,10132.47843137255,1759.0,1186.0,3884.0
grass_to_shrub_and_scrub,63431.635294117645,4620.435294117648,21294.70196078431,15224.301960784314,80229.69411764704,9312.4,9827.105882352942
grass_to_built,4.0,3.0,13.0,9.0,0.0,12.0,6.0
grass_to_bare_soil,17961.4,1573.0,4399.901960784314,584.035294117647,17376.686274509804,366.0,1900.8235294117646
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_trees,176.0,1032.4666666666667,1986.0470588235294,1556.0274509803921,950.6666666666666,824.7333333333333,186.68627450980392
crops_to_grass,1186.0,14959.921568627451,9594.0,11596.086274509804,6937.0,3518.0,6008.011764705882
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,78173.01176470587,102776.88235294113,107946.24313725482,103949.32941176466,57635.66274509803,42011.79215686275,58669.89019607843
crops_to_shrub_and_scrub,32923.98039215686,19702.972549019607,36698.63529411765,20977.73333333333,76883.05098039214,18965.98431372549,7734.333333333332
crops_to_built,182.0,441.043137254902,894.4823529411765,920.8,164.0,302.92549019607844,386.53333333333336
crops_to_bare_soil,6571.0,2945.3529411764707,3279.0,843.0,12553.627450980392,246.0,812.0
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,62.0,1038.0,90.0,425.0,178.0,52.0,108.0
shrub_and_scrub_to_trees,8187.701960784318,42078.93333333332,20060.305882352928,56848.09803921566,9908.21176470588,27802.643137254883,11145.239215686277
shrub_and_scrub_to_grass,8269.282352941176,62138.28627450978,25231.509803921566,35882.76470588235,7721.180392156863,108970.6,109905.0745098039
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_crops,43477.16470588236,48534.09803921571,18473.819607843136,32679.027450980393,5200.458823529411,26931.756862745096,53729.30980392157
shrub_and_scrub_to_shrub_and_scrub,575162.4784313726,538314.0666666663,512433.5058823523,497153.7215686267,529054.4980392156,567296.8980392156,452603.6392156858
shrub_and_scrub_to_built,1472.0,2857.5882352941176,256.0,2751.894117647059,252.0,3039.6313725490195,1825.4352941176471
shrub_and_scrub_to_bare_soil,33141.827450980396,56588.207843137265,26567.533333333333,8358.498039215689,29970.376470588242,12185.670588235293,16763.713725490197
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_trees,49.0,58.0,155.0,40.0,357.0,28.0,64.0
built_to_grass,0.0,12.0,35.0,10.0,10.0,10.0,74.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,584.964705882353,512.9411764705883,585.3411764705882,425.0,727.3490196078432,295.9607843137255,733.0
built_to_shrub_and_scrub,2771.6705882352935,239.0,2112.949019607843,349.0,5527.329411764706,825.0,1016.0
built_to_built,6748.737254901961,7660.796078431373,8118.137254901961,8547.619607843137,5744.6352941176465,5010.674509803921,6654.231372549019
built_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,2.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,0.0,5.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_trees,0.0,52.0,10.0,278.0,0.0,54.0,2.0
bare_soil_to_grass,2367.0,9596.219607843137,11086.36862745098,18940.03137254902,651.1372549019608,23487.670588235294,6734.043137254902
bare_soil_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_crops,3115.98431372549,7535.078431372549,8870.0,7092.058823529412,217.0,3162.0,592.9372549019608
bare_soil_to_shrub_and_scrub,43900.14901960786,34463.90980392157,42416.70980392158,41517.219607843144,11963.388235294118,35929.450980392154,6803.525490196078
bare_soil_to_built,0.0,0.0,0.0,3.0,0.0,0.0,1.0
bare_soil_to_bare_soil,48961.25490196079,55176.27450980392,53899.7568627451,20350.882352941175,17304.890196078435,15181.458823529412,13849.623529411765
bare_soil_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_grass,18.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,544.6941176470586,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
