Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,19977.313725490196,19392.137254901965,14835.490196078432,12307.105882352942,17753.227450980394,23339.98039215686,18310.129411764705
water_to_trees,17606.87450980392,4038.1882352941175,4792.819607843137,4045.866666666667,1054.0,13688.07450980392,5922.913725490196
water_to_grass,1638.1019607843136,976.9176470588236,196.60392156862744,904.0980392156862,195.5176470588235,766.1686274509805,1395.6509803921567
water_to_flooded_vegetation,6.0,2.0,22.0,10.0,1.0,179.0,2.0
water_to_crops,543.6313725490196,124.0,1054.6470588235295,347.7647058823529,64.0,170.72941176470587,441.89019607843136
water_to_shrub_and_scrub,32245.65490196078,4187.282352941176,12983.96470588235,1366.7725490196078,729.356862745098,4940.321568627451,3602.2235294117645
water_to_built,5.0,4.0,14.0,4.0,19.0,1.0,3.0
water_to_bare_soil,565.0,19.0,170.59607843137255,65.0,6.0,27.733333333333334,40.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,16.0,0.0
trees_to_water,2937.6117647058823,4056.607843137255,2005.207843137255,868.4156862745098,14613.101960784315,3033.3725490196075,3238.5490196078435
trees_to_trees,585732.9098039215,633123.756862745,780289.2823529411,857836.7372549018,997024.8627450981,1108035.862745098,1136242.094117647
trees_to_grass,5143.062745098039,4978.4,1073.8901960784315,2950.494117647059,4429.623529411765,7029.98431372549,15308.603921568627
trees_to_flooded_vegetation,26.0,0.0,6.0,0.0,3.0,295.0,73.0
trees_to_crops,11624.960784313724,5886.717647058824,16521.603921568625,7891.345098039216,4828.956862745098,6285.729411764705,15577.164705882353
trees_to_shrub_and_scrub,308761.1058823529,64253.02745098039,182173.88235294117,95675.9843137255,246182.27058823535,111642.14901960785,210670.09411764704
trees_to_built,1008.8,613.7058823529411,1436.6666666666665,749.7490196078431,553.8549019607843,1236.7019607843138,1313.4588235294118
trees_to_bare_soil,2809.3647058823526,43.0,1486.9686274509804,186.0,2376.4313725490197,1601.478431372549,1249.0
