Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,15358.054901960782,14721.054901960784,10579.09411764706,9235.411764705883,14202.972549019607,18055.792156862746,13549.250980392157
water_to_trees,13103.05882352941,2857.1254901960783,3707.2156862745096,2976.486274509804,885.3960784313726,11919.329411764706,5003.113725490196
water_to_grass,1386.698039215686,818.5098039215686,142.60392156862744,524.0392156862745,170.5176470588235,697.6,1058.6431372549018
water_to_flooded_vegetation,0.0,2.0,8.0,10.0,1.0,179.0,2.0
water_to_crops,443.6235294117647,96.0,913.2352941176471,294.2627450980392,64.0,165.0,324.6549019607843
water_to_shrub_and_scrub,22020.003921568627,3501.419607843138,9395.552941176471,864.521568627451,546.4627450980392,3732.592156862745,2801.0313725490196
water_to_built,5.0,4.0,8.0,4.0,18.0,0.0,1.0
water_to_bare_soil,523.9960784313726,17.0,127.81176470588235,65.0,6.0,8.0,25.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,2229.3411764705884,2967.007843137255,1569.3529411764707,759.4156862745098,12207.24705882353,2233.5529411764705,2524.937254901961
trees_to_trees,415819.5686274506,443384.48235294083,538354.1607843132,607022.1333333328,723132.5450980386,805085.9058823523,826342.2666666657
trees_to_grass,4301.592156862745,3619.3058823529414,813.0078431372549,1900.686274509804,2345.1647058823532,3890.737254901961,11201.705882352942
trees_to_flooded_vegetation,25.1843137254902,0.0,0.0,0.0,3.0,261.0,70.0
trees_to_crops,9745.839215686274,5028.3725490196075,11892.847058823529,6202.145098039216,3664.61568627451,4210.305882352941,13570.090196078432
trees_to_shrub_and_scrub,188995.20784313724,51164.59999999999,117539.0705882353,71787.7725490196,127331.3019607843,83524.00784313727,145154.99999999997
trees_to_built,844.8509803921569,394.3686274509804,1206.921568627451,700.1607843137255,479.7450980392157,1075.513725490196,1155.2470588235294
trees_to_bare_soil,2281.709803921569,41.0,987.8588235294118,158.0,833.4039215686274,1389.9764705882353,1016.3215686274509
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,688.3254901960784,623.0,539.7019607843138,73.70588235294117,1196.3019607843137,532.8745098039216,184.0
grass_to_trees,1381.792156862745,2759.2745098039213,9427.454901960784,2001.0235294117647,3690.278431372549,5151.764705882353,3260.9960784313726
grass_to_grass,263374.85882352944,353525.00392156845,333220.40392156853,287051.13725490187,319411.3960784313,601129.4745098038,805382.7137254899
grass_to_flooded_vegetation,24.992156862745098,0.0,14.0,1.0,23.0,13.0,0.0
grass_to_crops,101376.80784313724,24317.015686274513,311199.2196078429,47032.81960784314,22755.02745098039,51615.549019607846,95480.13725490199
grass_to_shrub_and_scrub,159366.61176470586,51015.80784313724,191360.06274509805,77581.61960784315,198860.9137254902,172007.09411764704,228463.61176470586
grass_to_built,257.78431372549016,234.47058823529412,450.24313725490197,422.43529411764706,342.74901960784314,350.42352941176466,564.0
grass_to_bare_soil,246083.894117647,20579.180392156864,206286.08235294116,37358.337254901955,83948.9568627451,106930.86666666664,101454.37647058823
grass_to_snow_and_ice,0.0,7.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,10.0,0.0,0.0,4.0,13.0,93.0,241.0
flooded_vegetation_to_trees,0.0,10.466666666666667,0.0,1.0,0.0,9.0,23.0
flooded_vegetation_to_grass,0.0,40.70980392156862,0.0,13.0,2.0,0.0,26.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,4.0,0.0,88.0,235.0
flooded_vegetation_to_crops,20.0,2.0,2.0,2.0,0.0,4.0,43.0
flooded_vegetation_to_shrub_and_scrub,3.4705882352941178,18.0,0.0,0.0,0.0,0.0,14.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,728.0745098039215,201.66666666666669,61.97254901960784,452.7803921568628,1000.0666666666666,399.5529411764706,158.0
crops_to_trees,4181.470588235295,9486.560784313726,9169.819607843137,13122.913725490196,18168.58431372549,18319.949019607844,5358.792156862744
crops_to_grass,75194.78039215686,160795.5764705882,19557.356862745102,140971.37254901958,272069.9686274509,128644.85490196082,76864.27843137257
crops_to_flooded_vegetation,6.0,0.0,0.0,0.0,6.0,0.0,0.0
crops_to_crops,1661883.3254901962,1679319.6901960792,1785361.8078431373,1846799.5647058813,1409472.823529412,1276231.8666666662,1304380.7215686287
crops_to_shrub_and_scrub,142909.32941176463,134642.80392156861,113077.23137254898,380642.9647058822,284792.6078431371,164648.61568627454,89130.46274509805
crops_to_built,2129.9529411764706,3000.486274509804,4440.043137254902,5306.686274509804,4215.35294117647,3867.6549019607846,3239.254901960784
crops_to_bare_soil,138470.56078431365,36548.90980392157,23692.447058823527,91347.89803921565,87222.18039215682,16105.27843137255,11128.321568627449
crops_to_snow_and_ice,7.0,1.0,0.0,2.0,0.0,0.0,0.0
shrub_and_scrub_to_water,2888.3137254901962,6109.776470588235,1209.6,5245.035294117646,5621.725490196079,1342.921568627451,1160.4196078431373
shrub_and_scrub_to_trees,71474.70196078431,211301.662745098,127311.61568627447,243481.21960784306,152028.231372549,156724.6784313725,74432.4980392157
shrub_and_scrub_to_grass,72751.7137254902,195491.58823529404,61660.160784313724,107887.89019607838,198511.37647058823,330457.2509803921,393543.39999999997
shrub_and_scrub_to_flooded_vegetation,15.0,0.0,2.0,0.0,55.0,41.0,0.0
shrub_and_scrub_to_crops,176365.77647058817,161296.52941176458,255409.49803921557,128974.831372549,146717.93725490195,123839.85882352943,185759.27058823523
shrub_and_scrub_to_shrub_and_scrub,3642615.9882352897,3588048.623529409,3553664.0549019575,3617930.5450980337,3682000.596078426,3709777.196078426,3615831.5333333295
shrub_and_scrub_to_built,7777.792156862744,13130.847058823529,7168.556862745101,11740.52549019608,9314.439215686274,16113.239215686277,10910.329411764706
shrub_and_scrub_to_bare_soil,361456.5764705881,178845.27843137246,214952.03921568627,76704.98039215687,286482.44705882354,83222.23529411764,128332.37254901961
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,0.0,6.0,7.0,3.0,13.0,9.0,8.0
built_to_trees,598.5450980392156,1038.0313725490194,432.20784313725494,780.8156862745097,1944.2117647058822,1202.486274509804,1377.356862745098
built_to_grass,366.0627450980392,482.6470588235294,274.0,279.74901960784314,643.4196078431373,572.0,813.3372549019608
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,2757.764705882353,1905.0470588235294,3225.7529411764704,2269.6666666666665,2869.298039215686,1484.3215686274511,2229.5372549019608
built_to_shrub_and_scrub,8774.901960784313,2322.6392156862744,5736.466666666667,4520.298039215686,11867.890196078433,3724.5607843137254,6791.121568627454
built_to_built,157768.12156862736,163237.13725490187,170336.88235294106,175709.11764705874,176597.10588235283,184012.02352941167,194247.50196078428
built_to_bare_soil,15.0,0.0,50.0,64.0,4.0,0.0,41.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,115.0,233.0078431372549,7.0,121.0,501.0,98.0,58.0
bare_soil_to_trees,40.0,1525.6156862745097,127.83921568627451,611.4313725490196,1821.7529411764706,2622.4549019607844,170.0
bare_soil_to_grass,35663.04705882353,337723.8274509802,35854.54509803922,91600.74901960783,144577.20392156855,169397.91764705878,93855.79999999999
bare_soil_to_flooded_vegetation,0.0,0.0,0.0,0.0,106.0,0.0,0.0
bare_soil_to_crops,71403.55686274508,83395.02352941174,110637.81960784312,45372.29411764706,22674.070588235292,32708.929411764722,9411.090196078432
bare_soil_to_shrub_and_scrub,188710.46274509796,390663.6313725489,201192.5882352941,327404.031372549,116118.60784313723,272555.7568627451,142164.86666666664
bare_soil_to_built,208.0,61.0,12.0,56.0,37.0,89.0,7.0
bare_soil_to_bare_soil,541588.8156862744,476830.4470588235,365030.02352941164,345963.75686274515,265826.3372549019,246851.26666666666,208840.8666666667
bare_soil_to_snow_and_ice,0.0,3.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_water,0.0,20.0,0.0,0.0,2.0,0.0,0.0
