Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_trees,0.0,0.0,0.0,0.0,2.0,9.0,0.0
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_crops,71.70588235294119,3.0,15.0,0.0,12.0,79.0,0.0
trees_to_shrub_and_scrub,110.32156862745099,22.0,4.003921568627451,0.0,26.0,6758.933333333333,531.0
trees_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_bare_soil,1.6705882352941175,79.0,4.0,0.0,0.0,1633.450980392157,541.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,0.0,0.0,0.0,0.0,0.0,124.9686274509804,0.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,276.0,0.0,23.0,0.0,0.0,38.0,2813.0
grass_to_shrub_and_scrub,7.0,3.0,0.0,0.0,0.0,1025.6901960784314,12.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
