Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,0.0,0.0,0.0,0.0,0.0,1.423529411764706,36.0
water_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,24.0
water_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,3.0274509803921568,53.03137254901961
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,519.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_trees,418.5176470588235,361.3686274509804,200.60392156862744,208.60392156862744,307.7450980392157,556.9607843137255,529.4392156862746
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_crops,20.0,15.0,68.49803921568628,0.0,0.0,0.0,23.0
trees_to_shrub_and_scrub,177.30196078431374,67.14901960784314,132.50196078431372,8.0,0.0,109.02745098039216,1201.7254901960785
trees_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_bare_soil,49.0,15.0,25.76078431372549,1.0,1.0,0.0,323.08235294117645
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,5.784313725490197
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,0.0,0.0,0.0,0.0,1.0,0.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,0.0,0.0,0.0,2.0,43.0,0.0
crops_to_trees,0.0,11.0,3.0,39.65098039215686,10.0,33.45882352941177,0.0
crops_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,68959.79607843139,90704.05098039216,85336.98431372551,98716.96862745102,102123.92156862747,65728.76078431374,69033.79607843139
