Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,10724.866666666669,7604.466666666668,8092.062745098039,13200.937254901959,19043.01176470588,23681.854901960793,27412.21960784314
water_to_trees,24.0,134.0,10.0,7.0,190.32156862745097,331.7098039215686,1575.2274509803922
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,8.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,30.0,2.0,361.1764705882353
water_to_crops,1661.0,1188.0,151.0,98.0,1869.0,63.0,763.0
water_to_shrub_and_scrub,5930.9411764705965,514.3450980392157,1696.658823529412,514.6941176470588,1513.3490196078433,2406.2078431372547,10457.372549019608
water_to_built,33.0,40.0,0.0,178.0,229.0,50.0,27.0
water_to_bare_soil,4553.321568627451,3799.027450980392,1504.6549019607842,253.68235294117648,3904.2313725490194,1820.5294117647059,5362.1450980392165
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,108.0,9.0,71.0,9.0,95.0,534.0,186.0
trees_to_trees,35816.54117647059,32391.760784313723,21871.439215686274,23596.90196078431,47795.41568627451,75087.81960784314,90456.81960784315
trees_to_grass,6.0,19.0,13.0,21.0,0.0,34.0,532.2235294117647
trees_to_flooded_vegetation,0.0,0.0,0.0,13.0,0.0,2.0,46.0
trees_to_crops,3403.9803921568628,222.6392156862745,2525.2941176470586,187.0,347.0,173.00392156862745,2123.0
trees_to_shrub_and_scrub,51955.30980392158,5290.2,21986.19607843137,2344.1019607843136,14962.349019607844,6567.513725490196,146704.38039215692
trees_to_built,258.5176470588235,70.0,119.0,109.0,134.0,136.0,103.50588235294117
trees_to_bare_soil,2809.6117647058827,363.37254901960785,6864.549019607844,120.0,549.0,167.0,7613.937254901961
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,5.0,0.0,0.0,0.0
grass_to_trees,26.0,0.0,0.0,0.0,61.0,13.0,17.0
grass_to_grass,635.0,675.0,738.0,2355.0,2040.0,1658.0,1979.7843137254902
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,3472.0,74.0,1944.0,11.0,1228.0,228.0,797.0
grass_to_shrub_and_scrub,1231.0,393.0,11.0,554.0,2762.0,333.0,2434.262745098039
grass_to_built,7.0,0.0,4.0,0.0,3.0,28.0,16.0
grass_to_bare_soil,703.0,353.0,255.0,461.0,3440.9803921568628,3839.0,7376.99607843137
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,1.0,0.0,14.0,11.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,25.0,19.0,23.0
flooded_vegetation_to_grass,0.0,4.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,12.0,24.0,103.0
flooded_vegetation_to_crops,0.0,76.0,0.0,0.0,1.0,0.0,182.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,4.0,6.0,435.32941176470587
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,11.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,403.0,144.0,1875.0,1807.0,58.0,2201.0,433.0
crops_to_trees,60.0,1719.0,127.0,1921.0,904.0,3727.3960784313726,585.7137254901961
crops_to_grass,80.0,1202.0,572.0,4286.980392156863,2858.0,3760.0,839.0
crops_to_flooded_vegetation,69.0,0.0,1.0,12.0,0.0,296.0,68.0
crops_to_crops,223055.49803921566,340057.65882352943,312611.55294117646,364871.5764705882,408689.6705882354,220375.2588235294,245454.97254901956
crops_to_shrub_and_scrub,2733.9058823529413,22565.14901960784,2327.337254901961,38792.192156862744,17386.003921568627,98226.10588235293,14255.423529411764
crops_to_built,228.6,645.7058823529412,446.5333333333333,759.0,1004.8470588235293,1123.3294117647058,423.7450980392157
crops_to_bare_soil,24078.18431372549,152834.7568627451,89426.2431372549,162167.47058823527,107562.14509803923,254402.27450980392,57388.45490196078
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,141.97254901960784,2802.0431372549,1946.5254901960784,2755.282352941176,4482.549019607844,7092.858823529411,1329.1843137254903
shrub_and_scrub_to_trees,2273.18431372549,16978.89411764706,4238.564705882353,33070.16470588235,31960.909803921568,159687.43137254904,10200.396078431371
shrub_and_scrub_to_grass,448.0,79.0,128.0,121.0,20.0,1343.1450980392156,1629.0
shrub_and_scrub_to_flooded_vegetation,2.0,0.0,0.0,9.0,21.0,355.32941176470587,97.0
shrub_and_scrub_to_crops,45534.376470588235,5210.360784313725,36700.03921568628,4467.807843137255,13818.286274509805,3548.7450980392155,38438.141176470584
shrub_and_scrub_to_shrub_and_scrub,3474506.2784313723,3210126.4352941173,2774200.5490196077,2698610.0980392145,3308219.325490196,3706544.486274509,4214557.94117647
shrub_and_scrub_to_built,741.0235294117647,963.886274509804,596.9529411764706,1509.0901960784313,2608.4470588235295,2275.698039215686,1127.2039215686273
shrub_and_scrub_to_bare_soil,1465671.7098039214,381993.64313725487,822190.6862745096,213151.26666666666,242151.17647058822,128811.33725490197,1792520.4039215688
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,49.0,9.0,132.0,37.0,17.0,208.0,172.0
built_to_trees,33.0,86.0,51.0,52.51764705882353,105.0,518.0,432.0
built_to_grass,4.0,2.0,0.0,4.0,0.0,0.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,5.0
built_to_crops,1058.964705882353,381.21176470588233,510.0,438.9686274509804,583.0,751.0745098039216,1296.2
built_to_shrub_and_scrub,1358.2823529411767,351.5098039215686,599.9843137254902,391.4392156862745,1406.3450980392156,2953.250980392157,3732.1882352941175
built_to_built,19664.882352941175,19983.30196078431,20017.992156862743,22445.619607843135,29102.223529411764,31153.345098039215,32028.070588235292
built_to_bare_soil,3652.627450980392,641.3686274509804,3112.6901960784317,298.0,1772.2784313725492,962.4470588235295,3297.364705882353
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,1853.0,885.8666666666668,2135.7254901960787,8963.694117647057,4657.7411764705885,12234.427450980393,1470.0
bare_soil_to_trees,133.24705882352941,2140.823529411765,102.0,5235.180392156863,1659.6901960784314,8381.509803921568,448.0
bare_soil_to_grass,322.0,971.0,1935.0,2747.0,1181.0,5825.8980392156855,375.71764705882356
bare_soil_to_flooded_vegetation,9.0,0.0,0.0,8.0,0.0,86.0,5.0
bare_soil_to_crops,240982.45098039217,60176.79607843136,220175.33333333334,168388.31372549024,157575.40784313728,94309.22745098038,139306.60392156857
bare_soil_to_shrub_and_scrub,80438.54509803922,400760.67843137257,152871.98431372552,862075.1686274512,663385.6588235295,2242862.7058823532,242802.47843137255
bare_soil_to_built,521.3686274509804,2720.772549019608,2483.066666666666,7985.137254901961,3464.6,6196.450980392156,939.9098039215686
bare_soil_to_bare_soil,13813216.51764706,14847029.035294114,15007311.094117645,14875191.423529418,14419718.74509804,12409242.337254908,12413900.215686273
bare_soil_to_snow_and_ice,0.0,0.0,0.0,71.0,0.0,0.0,4.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,2.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,0.0,0.0,0.0,0.0,20.0,0.0,0.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,0.0,0.0,0.0,0.0,40.0,7.0,2.0
snow_and_ice_to_snow_and_ice,0.0,0.0,0.0,0.0,9.0,2.0,0.0
