Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,878110.1450980393,1045545.8941176472,955616.3176470587,924202.1647058824,963424.5843137256,1113004.4156862744,1116499.48627451
water_to_trees,21036.270588235293,58862.73725490196,36762.945098039214,31520.93725490196,15682.4431372549,53831.52156862745,30635.86666666667
water_to_grass,3820.0,21014.666666666668,18359.0,9380.0,577.0,25390.929411764708,2429.6039215686274
water_to_flooded_vegetation,4798.505882352942,4746.44705882353,3704.062745098039,1974.0274509803921,3573.149019607843,6410.6352941176465,3420.392156862745
water_to_crops,3994.2588235294115,15731.188235294117,20809.26274509804,6914.517647058824,2420.964705882353,5999.466666666667,4097.745098039216
water_to_shrub_and_scrub,9915.239215686273,39746.98039215686,40701.447058823534,30144.298039215682,4958.035294117648,24296.054901960786,11211.654901960785
water_to_built,463.0,943.7607843137255,1348.8352941176472,878.2078431372549,651.0627450980392,1038.7254901960785,1049.6156862745097
water_to_bare_soil,598.3960784313725,3004.850980392157,3414.3764705882354,1423.1607843137253,311.83529411764704,930.9803921568628,512.3960784313725
water_to_snow_and_ice,7.0,2.0,11.0,11.0,68.0,152.0,1.0
trees_to_water,55676.69411764706,15208.858823529412,22016.09411764706,21631.164705882355,84112.54901960783,30093.886274509805,50956.945098039214
trees_to_trees,82915869.95294118,99614673.69019605,98351867.32549018,100169458.47058819,106033916.79999997,121167394.39215684,127064012.572549
trees_to_grass,193517.21176470586,160541.52549019607,201184.74901960784,169607.71372549015,245064.2274509804,354894.90588235296,321869.7960784314
trees_to_flooded_vegetation,2348.9529411764706,980.556862745098,3079.81568627451,1005.3686274509804,2810.6980392156865,2600.1098039215685,2082.1882352941175
trees_to_crops,932327.8784313725,975352.4117647058,1189011.2509803923,922664.3529411764,862441.8549019608,866191.2274509805,827069.1764705882
trees_to_shrub_and_scrub,2380803.3529411764,10556991.345098041,9101851.65882353,6479478.521568626,4219526.094117647,5322220.156862746,6706298.56470588
trees_to_built,99646.41960784314,237629.65490196078,241617.48235294118,206924.3803921569,194089.7294117647,312782.3333333333,289490.41568627453
trees_to_bare_soil,163442.54117647058,116997.68235294118,168472.74901960784,131214.51372549022,161521.16862745097,130668.56078431373,87717.90196078432
trees_to_snow_and_ice,2.0,1.0,3.0,35.0,14.0,24.0,39.0
grass_to_water,14779.0,756.0,2243.0,4807.0,25004.274509803923,1079.043137254902,22277.254901960783
grass_to_trees,93242.30196078432,202140.8705882353,180882.27843137254,173635.42352941175,172562.96078431373,265523.2705882353,373096.1450980392
grass_to_grass,1449245.0588235294,2830414.6705882354,3400798.109803922,2651371.3450980387,2317359.1843137257,3164888.5607843134,5663871.525490196
grass_to_flooded_vegetation,2817.0,89.26274509803922,239.0,1068.0,1633.7803921568627,125.0,1608.9333333333334
grass_to_crops,306763.87450980395,624378.737254902,676372.8,494409.3607843137,478517.031372549,385039.19215686276,585984.9254901961
grass_to_shrub_and_scrub,408800.3058823529,905815.9647058824,1188867.988235294,1068224.5725490195,857731.9921568626,545665.0509803921,1491085.3960784315
grass_to_built,3171.0,6064.235294117647,8062.392156862745,4058.0,5806.623529411765,7142.482352941177,7193.772549019608
grass_to_bare_soil,501090.2196078433,155825.3843137255,1503900.4352941175,913729.3647058822,681633.3607843139,148417.6980392157,134629.29019607842
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,1.0
flooded_vegetation_to_water,4079.8117647058825,2886.6784313725493,1828.8039215686274,3927.835294117647,3022.764705882353,1713.992156862745,3043.478431372549
flooded_vegetation_to_trees,915.0,5347.866666666667,1099.243137254902,2215.619607843137,1818.2156862745098,3332.2431372549017,2244.349019607843
flooded_vegetation_to_grass,110.0,2580.9960784313726,1055.0,791.0,97.0,3431.9960784313726,761.0588235294117
flooded_vegetation_to_flooded_vegetation,1701.9490196078432,6268.254901960784,6892.360784313725,6415.360784313725,8165.749019607843,9259.160784313724,11843.72156862745
flooded_vegetation_to_crops,143.9294117647059,1133.9490196078432,473.0,89.21960784313725,71.64313725490196,349.71764705882356,116.96862745098039
flooded_vegetation_to_shrub_and_scrub,642.2235294117647,5912.905882352941,1199.8000000000002,1222.0039215686274,451.70980392156866,2813.7607843137257,1204.1921568627452
flooded_vegetation_to_built,1.0,193.0,7.0,14.0,0.0,7.0,5.0
flooded_vegetation_to_bare_soil,19.894117647058824,48.0,10.0,4.0,11.227450980392156,0.0,51.47843137254901
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,57302.44705882353,7166.733333333334,6453.474509803922,10211.717647058824,22096.631372549018,7898.176470588235,8255.533333333333
crops_to_trees,1052057.392156863,1115914.2117647058,922714.1882352941,1161973.0509803921,1258165.4823529413,1412549.8627450983,1208247.419607843
