Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,975700.537254902,1165919.3176470587,1069487.588235294,1050145.349019608,1098346.411764706,1259200.3137254904,1281019.3882352943
water_to_trees,24932.725490196077,72004.69411764707,44664.34901960784,35762.0431372549,20982.274509803923,63961.90588235294,35989.192156862744
water_to_grass,3829.0,21026.666666666668,18468.0,9770.0,609.0,26859.839215686276,2452.6039215686274
water_to_flooded_vegetation,5896.419607843138,6724.313725490196,5686.678431372549,3379.7490196078434,4219.584313725491,7631.321568627451,3949.6039215686274
water_to_crops,4572.078431372549,18492.18431372549,24751.411764705885,7681.011764705882,2875.321568627451,7074.415686274509,5035.678431372549
water_to_shrub_and_scrub,11328.125490196078,50948.48627450981,45528.16470588236,33967.85882352941,8650.47843137255,33044.1568627451,14689.815686274509
water_to_built,566.0,1281.9254901960785,1528.8039215686274,1051.207843137255,870.278431372549,1271.4470588235295,1789.8352941176472
water_to_bare_soil,2289.1098039215685,8665.972549019607,6130.8901960784315,5418.929411764706,5096.094117647059,4239.231372549019,12196.223529411765
water_to_snow_and_ice,15.0,198.0,11.0,158.0,915.0,582.8666666666667,33.0
trees_to_water,62299.74509803922,17423.121568627448,28289.63529411765,28249.32941176471,93285.23921568626,39161.34117647059,71952.1294117647
trees_to_trees,95785097.89803918,114392597.51372549,113647213.36862744,119505693.93333334,131554784.86666663,153497682.29803917,161505213.0627451
trees_to_grass,197479.12156862745,167461.95294117645,219794.9098039216,275001.53725490195,322562.7176470588,468213.7568627452,656828.2862745099
trees_to_flooded_vegetation,4455.525490196079,1096.9803921568628,4177.964705882353,2163.337254901961,3613.737254901961,4605.03137254902,3752.5019607843137
trees_to_crops,964789.937254902,1116608.7686274508,1246513.0039215684,953290.1254901959,895394.7411764706,889157.0078431375,877318.8274509804
trees_to_shrub_and_scrub,3778693.094117648,16910155.011764705,11858744.921568628,7903315.109803921,6519279.235294116,8535258.694117649,10843021.274509802
trees_to_built,107325.94901960784,255522.54901960786,254571.4901960784,222555.49411764703,214496.28235294117,346061.81568627455,311673.93333333335
trees_to_bare_soil,173845.07843137256,117625.87843137255,183122.74901960784,140793.23529411768,197334.93333333338,133301.70196078432,98068.21568627449
trees_to_snow_and_ice,14.0,34.0,31.0,82.0,114.0,121.0,73.0
grass_to_water,14799.0,773.0,3047.0,4879.0,25661.274509803923,1129.043137254902,23508.243137254904
grass_to_trees,100351.52941176471,236129.67450980397,189750.59215686272,179465.41960784313,300667.4235294118,472373.3568627451,467769.7882352941
grass_to_grass,1553765.8980392157,2994821.866666666,3590734.298039216,2996146.6,2964390.6078431373,3892823.180392157,6740291.988235294
grass_to_flooded_vegetation,2817.0,125.67450980392157,396.0,1077.0,1784.8196078431374,191.0,2146.9333333333334
grass_to_crops,362086.55686274514,757777.3764705881,686924.3137254902,504664.95686274505,519731.3843137256,397163.5803921569,613551.6117647059
grass_to_shrub_and_scrub,451563.88627450983,1082221.6980392158,1245496.6078431373,1112342.1450980394,1204917.9058823532,832083.0549019608,1724115.4588235295
grass_to_built,3182.0,6151.458823529411,8095.392156862745,4134.0,5863.26274509804,7268.788235294118,7527.305882352941
grass_to_bare_soil,511515.53725490207,159062.01960784313,1513249.8235294118,936291.3058823529,713696.7843137255,148507.06666666665,136371.37647058823
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,6.0,0.0,10.0
flooded_vegetation_to_water,5399.658823529411,3618.1254901960783,2225.4980392156863,4863.254901960784,5677.898039215686,2648.9176470588236,5397.635294117647
flooded_vegetation_to_trees,1450.2588235294118,9438.235294117647,2671.3882352941177,3645.478431372549,3749.521568627451,4734.0392156862745,3888.1686274509807
flooded_vegetation_to_grass,113.0,2778.8627450980393,1060.0,887.0,171.0,4153.635294117647,814.0588235294117
