Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,89419.52156862745,110466.5137254902,102590.5176470588,114056.73333333332,122917.30588235291,131851.5843137255,149125.89019607843
water_to_trees,3069.3372549019605,12506.07843137255,6926.894117647059,3764.0666666666666,4808.905882352941,9136.431372549021,4328.250980392157
water_to_grass,9.0,11.0,62.0,390.0,30.0,1459.407843137255,18.0
water_to_flooded_vegetation,1047.9098039215687,1868.7803921568627,1929.6078431372548,1327.713725490196,646.4313725490196,1216.6705882352942,514.9921568627451
water_to_crops,562.8196078431373,2550.4313725490197,3561.5019607843137,696.8823529411764,452.1607843137255,980.8823529411765,890.0313725490196
water_to_shrub_and_scrub,1361.7098039215687,11195.54117647059,4775.603921568628,3781.490196078431,3678.4196078431373,8409.003921568628,3432.109803921568
water_to_built,78.0,309.91764705882355,171.80392156862746,135.0,212.0,223.72156862745098,589.2196078431373
water_to_bare_soil,310.7137254901961,4032.949019607843,1388.890196078431,1070.5294117647059,2892.8039215686276,1687.670588235294,9515.803921568628
water_to_snow_and_ice,6.0,196.0,0.0,122.0,803.0,430.8666666666667,2.0
trees_to_water,6323.96862745098,1424.9176470588236,5731.611764705882,5837.396078431372,7854.894117647059,8559.450980392157,20458.454901960784
trees_to_trees,12437370.945098033,14170819.898039216,14676779.996078432,18765831.823529407,24918761.96862744,31555487.482352957,33622742.603921615
trees_to_grass,3391.078431372549,6430.576470588235,17252.36078431373,104521.20784313725,76749.79215686274,112644.41568627451,334411.81176470575
trees_to_flooded_vegetation,1847.3882352941177,116.4235294117647,981.1490196078432,1126.721568627451,692.1529411764706,1840.5803921568627,1568.9725490196079
trees_to_crops,29236.019607843133,137505.02352941176,49814.49803921569,24825.733333333337,30629.345098039215,19533.49019607843,44318.12156862746
trees_to_shrub_and_scrub,1369597.6823529413,6318461.599999993,2675114.7254901957,1345102.5372549016,2278417.5019607847,3197247.8078431366,4061307.215686274
trees_to_built,7235.803921568627,17063.86666666667,12287.545098039216,14506.674509803921,19782.50980392157,32465.5568627451,20612.062745098046
trees_to_bare_soil,10299.533333333333,600.0431372549019,14127.529411764706,9329.78431372549,35807.913725490194,2629.141176470588,10141.152941176471
trees_to_snow_and_ice,12.0,33.0,28.0,47.0,84.0,97.0,13.0
grass_to_water,0.0,13.0,804.0,67.0,615.0,41.0,1180.9882352941177
grass_to_trees,7061.227450980393,33286.4,8625.811764705883,5540.345098039215,127322.95686274511,205576.01176470585,93491.32941176469
grass_to_grass,94539.91764705881,141052.65882352937,161095.35294117648,314033.78823529417,616801.4509803917,694385.4039215683,1046638.6078431369
grass_to_flooded_vegetation,0.0,36.4078431372549,157.0,3.0,151.0392156862745,66.0,536.0
grass_to_crops,53447.964705882354,132094.19607843139,9255.12156862745,8369.282352941176,40930.89411764707,11310.78431372549,26574.44705882353
grass_to_shrub_and_scrub,41654.5568627451,174606.39215686277,54572.788235294116,40785.47450980393,342865.22352941177,283296.0078431372,223908.16470588234
grass_to_built,2.0,49.0,5.0,7.0,36.63921568627451,91.02745098039216,113.0
grass_to_bare_soil,10037.698039215686,3206.407843137255,9346.125490196078,22482.270588235293,31897.313725490203,46.0,1717.9803921568628
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,6.0,0.0,9.0
flooded_vegetation_to_water,1090.8196078431372,714.4470588235295,386.69019607843137,935.4117647058824,2364.713725490196,934.921568627451,2347.1490196078435
