Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,58280.3568627451,75042.78823529414,72859.89411764707,73820.47843137257,75659.0549019608,86972.1960784314,88367.87843137259
water_to_trees,2697.937254901961,6133.58431372549,5380.988235294118,2899.6549019607846,2331.882352941176,4585.933333333333,5092.8
water_to_grass,10.0,256.6666666666667,93.0,25.0,28.0,234.63529411764708,108.60392156862744
water_to_flooded_vegetation,484.6666666666667,640.4196078431372,422.17647058823525,360.84705882352944,242.05882352941177,451.0,220.84313725490196
water_to_crops,288.078431372549,1422.494117647059,1350.3764705882352,875.4470588235295,543.070588235294,393.7764705882353,663.6117647058824
water_to_shrub_and_scrub,326.57254901960783,2387.5294117647063,968.3529411764705,694.9921568627451,439.4549019607843,1211.7254901960785,3192.345098039216
water_to_built,113.0,215.53333333333336,98.7921568627451,116.20784313725491,52.12156862745098,107.72549019607843,312.8352941176471
water_to_bare_soil,1427.6000000000001,1952.7019607843138,1468.4156862745099,3037.5647058823524,2243.3098039215693,1997.8196078431372,2516.992156862745
water_to_snow_and_ice,2.0,0.0,0.0,25.0,44.0,28.0,30.0
trees_to_water,6336.282352941177,2631.0862745098043,2804.2156862745096,3087.435294117647,9207.29411764706,4150.050980392157,4707.541176470588
trees_to_trees,4574087.886274506,5830243.403921561,5843181.580392152,6172312.431372542,6816953.545098031,8652398.462745085,9052467.631372536
trees_to_grass,4055.7333333333336,5447.454901960785,8723.623529411763,22555.701960784318,16741.89411764706,21561.392156862745,70869.24705882352
trees_to_flooded_vegetation,1403.976470588235,276.98039215686276,257.8156862745098,280.5960784313725,1030.6431372549018,667.2745098039215,608.2823529411763
trees_to_crops,76850.94901960784,157790.91372549022,126856.84313725492,81924.25882352942,82827.31372549022,73600.19607843136,152623.5333333333
trees_to_shrub_and_scrub,208744.7882352941,1098378.5490196082,676679.4666666663,586341.9450980392,332482.44313725486,672120.2039215686,929311.1882352943
trees_to_built,7006.054901960784,15180.117647058825,15099.286274509806,17632.137254901965,25119.705882352937,23771.352941176465,23281.4862745098
trees_to_bare_soil,1000.2980392156862,351.75686274509803,6002.286274509805,1913.98431372549,4192.44705882353,439.1411764705882,4086.1176470588234
trees_to_snow_and_ice,0.0,1.0,0.0,0.0,16.0,0.0,21.0
grass_to_water,55.0,37.0,4.0,36.0,683.2745098039215,179.04313725490195,322.8352941176471
grass_to_trees,5255.913725490196,9715.61176470588,3957.466666666667,4282.207843137256,44587.50196078432,69770.93333333332,21508.141176470588
grass_to_grass,70420.19607843141,141904.7921568628,148013.62352941177,203768.95686274508,326075.5568627448,298382.01176470576,339186.78823529405
grass_to_flooded_vegetation,10.0,61.3686274509804,11.0,14.0,21.819607843137256,41.0,203.93333333333334
grass_to_crops,25064.46666666667,62548.02352941177,17767.48235294118,15053.254901960783,29087.600000000002,27450.866666666665,28128.827450980396
grass_to_shrub_and_scrub,22064.04705882353,114542.48627450978,39119.760784313716,33371.686274509804,129175.76470588236,112813.55686274508,92426.14901960787
grass_to_built,70.0,363.2235294117647,109.0,139.0,299.6392156862745,284.3176470588235,734.0549019607844
grass_to_bare_soil,1663.0431372549021,767.764705882353,598.4274509803922,1758.1882352941177,6294.792156862744,69.76470588235294,210.0313725490196
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,9.0
flooded_vegetation_to_water,1300.2980392156865,481.1254901960784,197.05098039215687,207.61960784313723,1014.5960784313728,530.6666666666667,934.8274509803922
flooded_vegetation_to_trees,417.25882352941176,1807.1411764705877,585.3607843137255,717.850980392157,595.5529411764705,1041.239215686274,448.61176470588236
flooded_vegetation_to_grass,9.0,24.99607843137255,6.0,7.0,78.0,44.99607843137255,66.05882352941177
flooded_vegetation_to_flooded_vegetation,711.0862745098038,1351.572549019608,1600.909803921569,1297.6392156862744,1194.1843137254898,1030.007843137255,1152.9333333333334
flooded_vegetation_to_crops,68.92941176470589,329.9490196078431,207.34117647058824,57.219607843137254,54.30196078431373,239.17647058823528,106.96862745098039
flooded_vegetation_to_shrub_and_scrub,39.435294117647054,730.9725490196079,183.35686274509808,277.54117647058825,297.4078431372549,830.3764705882352,251.55294117647057
flooded_vegetation_to_built,1.0,14.0,2.0,0.0,0.0,0.0,18.0
flooded_vegetation_to_bare_soil,92.89411764705882,6.0,0.0,16.60392156862745,31.231372549019607,0.0,269.0078431372549
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,24.0,0.0,0.0
crops_to_water,4865.098039215686,473.2196078431373,711.0039215686274,958.8039215686275,2295.227450980392,2045.1882352941177,1194.7686274509801
crops_to_trees,176480.61176470586,102979.86274509804,127047.5725490196,151266.2431372549,170703.2392156863,239553.84705882357,130320.23529411765
crops_to_grass,84436.49019607843,21479.756862745107,44660.29411764706,99036.68235294119,55424.509803921566,52205.94117647058,24994.13725490196
crops_to_flooded_vegetation,494.0823529411765,51.23137254901961,94.99607843137255,404.6313725490196,408.9725490196079,282.9921568627451,250.0705882352941
crops_to_crops,1831774.6235294112,1963004.756862745,2032498.8745098037,1826477.3019607833,1657284.1098039208,1473708.1294117635,1426379.1098039206
crops_to_shrub_and_scrub,150100.51764705882,149401.95686274508,162795.92549019607,342673.5529411761,91065.76078431372,48756.55294117646,33486.0705882353
crops_to_built,6922.298039215686,6298.992156862745,3433.0274509803926,6707.90588235294,5742.55294117647,6097.964705882353,4957.2156862745105
crops_to_bare_soil,2242.717647058824,3252.9921568627447,4106.070588235294,4571.050980392157,3883.8352941176463,1170.0470588235294,633.4470588235293
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,19.0,0.0,0.0
shrub_and_scrub_to_water,11565.72156862745,705.2196078431373,1377.3019607843137,1460.6862745098038,3532.690196078431,1835.2509803921569,1658.6549019607844
shrub_and_scrub_to_trees,2332692.466666666,715633.3450980391,893596.1450980396,942902.239215686,2394606.0980392136,1238311.7568627454,594359.780392157
