Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,6216.0,7473.0,9474.945098039216,6690.0,8781.0,16448.713725490197,9409.02745098039
water_to_trees,56.0,30.0,20.0,84.0,37.0,167.0,28.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,96.0,7.0,10.0,111.0,112.0,154.0,40.0
water_to_crops,4.0,0.0,41.0,119.0,30.0,4.0,24.0
water_to_shrub_and_scrub,35.0,120.0,8.0,204.0,17.0,332.0,56.0
water_to_built,90.0,102.0,71.0,221.0,177.0,248.0,249.0
water_to_bare_soil,6460.0,2102.0,2302.7137254901963,5913.945098039216,887.0,3928.0,9244.850980392153
water_to_snow_and_ice,0.0,1.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,5.0,6.0,56.0,24.0,77.0,25.0,83.0
trees_to_trees,656672.1803921572,649127.1843137256,574214.7843137254,817998.2039215688,1263357.4039215688,1457626.11372549,1802911.694117647
trees_to_grass,11.0,2.0,0.0,0.0,0.0,14.0,302.0
trees_to_flooded_vegetation,0.0,2.0,4.0,3.0,35.0,0.0,1.0
trees_to_crops,1993.5686274509803,1066.9098039215687,1175.9725490196079,722.0,278.7647058823529,3022.2941176470586,2662.156862745098
trees_to_shrub_and_scrub,74419.38823529411,806671.7647058824,146882.19215686276,118727.17647058822,345324.52549019613,539034.2588235295,101928.92549019608
trees_to_built,91.0,162.0,173.72156862745098,111.0,210.0,759.9333333333334,149.0
trees_to_bare_soil,24.0,36.0,83.0,30.0,2.0,130.3686274509804,1277.5411764705882
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,2.0,20.0,0.0,0.0,1.0,25.0
grass_to_grass,0.0,11.0,0.0,0.0,0.0,5.0,823.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,1.0,45.0,15.0,0.0,0.0,80.0,722.0
grass_to_shrub_and_scrub,1.0,1160.0,450.0,0.0,0.0,2.0,2098.4745098039216
grass_to_built,0.0,7.0,0.0,0.0,0.0,0.0,5.0
grass_to_bare_soil,0.0,0.0,18.0,0.0,0.0,0.0,651.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,133.0,2.0,0.0,16.0,38.0,34.0,52.0
flooded_vegetation_to_trees,1.0,0.0,0.0,4.0,23.0,352.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,56.0,5.0,14.0,11.0,280.0,397.0,50.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,1.0
flooded_vegetation_to_bare_soil,103.0,145.0,0.0,0.0,0.0,1.0,454.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,1.0,2.0,35.0,128.0,32.0,4.0
crops_to_trees,904.0,1530.6549019607842,1405.2627450980392,901.835294117647,2373.0039215686274,1373.3137254901962,2586.262745098039
crops_to_grass,93.0,11.0,0.0,0.0,74.0,1089.0,882.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,1.0,0.0
crops_to_crops,24630.95294117647,22918.811764705883,23132.168627450978,21238.4156862745,15957.411764705885,18183.46274509804,20515.623529411765
crops_to_shrub_and_scrub,6508.011764705883,32003.772549019606,4313.552941176471,20773.784313725482,6728.12156862745,6913.941176470588,7387.117647058823
crops_to_built,55.0,136.25098039215686,235.48627450980396,254.4,9.0,279.53725490196075,138.0
crops_to_bare_soil,1095.0,1838.0,726.0,2108.8274509803923,683.0,365.0,38.24313725490196
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,186.0,15.0,420.0,5.0,289.0,18.0,53.0
shrub_and_scrub_to_trees,799351.6784313725,71792.83137254902,361775.33333333343,790025.5019607842,734275.1921568626,449647.96862745105,1283044.819607842
shrub_and_scrub_to_grass,1118.0,340.0,0.0,0.0,14.0,2019.4745098039216,2032.0117647058823
