Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,19191.250980392157,30224.52549019609,16451.596078431372,18259.423529411768,57522.77254901963,79749.17647058825,116230.5921568628
water_to_trees,562.9294117647058,2572.7215686274512,2153.4509803921565,717.0,2503.9333333333334,949.6980392156863,5055.439215686274
water_to_grass,88.0,6.0,0.0,0.0,0.0,189.0,0.0
water_to_flooded_vegetation,720.0,115.64705882352942,145.0,117.0,252.6313725490196,606.8627450980392,3104.12156862745
water_to_crops,832.1137254901961,7376.482352941176,16691.18823529412,796.0784313725491,5477.682352941177,3211.9686274509804,4249.050980392156
water_to_shrub_and_scrub,2948.6901960784317,2428.6823529411763,3127.9843137254893,3255.0,2030.7372549019606,4473.752941176471,3038.654901960784
water_to_built,13.0,43.9607843137255,236.6274509803921,28.0,437.3921568627451,27.0,1452.7058823529412
water_to_bare_soil,507.08235294117645,4212.498039215686,3068.792156862745,319.4549019607843,7169.741176470587,1906.7529411764706,20883.160784313746
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,1.0,22.0
trees_to_water,3755.011764705883,2281.407843137255,607.0,4926.949019607842,4436.458823529411,10862.113725490195,1016.850980392157
trees_to_trees,4845210.949019607,4192242.2117647044,3571753.031372549,4344010.027450979,5404984.313725488,7063957.545098038,8256911.733333321
trees_to_grass,702.1490196078431,863.0,24.0,8.0,3.0,4940.874509803922,1130.0
trees_to_flooded_vegetation,285.0,54.0,84.0,191.5450980392157,313.46666666666664,2731.4,326.6235294117647
trees_to_crops,34725.176470588245,31677.823529411762,50779.37647058826,6943.8901960784315,11413.325490196077,79084.35294117648,24018.65490196078
trees_to_shrub_and_scrub,954012.1490196077,3749867.592156863,1219142.8627450983,1103154.9372549017,1039964.7019607844,3369762.611764706,680406.156862745
trees_to_built,668.2862745098039,1570.462745098039,857.6666666666666,1676.7686274509801,962.9058823529411,4043.419607843137,515.0588235294117
trees_to_bare_soil,889.4274509803921,85.0,101.0,313.0,278.89803921568625,2650.6862745098038,1203.407843137255
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,20.0,0.0,0.0,0.0,0.0,0.0,74.0
grass_to_trees,376.9294117647059,363.0,1792.0,10.0,186.0,56.0,5933.505882352942
