Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,23461.886274509816,26042.27058823531,19593.074509803926,21456.827450980392,46883.77647058827,57773.62745098042,77403.64705882357
water_to_trees,517.5254901960784,2054.2392156862747,1555.6588235294116,658.9450980392157,1846.1568627450981,926.6980392156863,3330.7686274509806
water_to_grass,88.0,6.0,0.0,0.0,0.0,189.0,0.0
water_to_flooded_vegetation,769.0,75.30980392156863,136.0,103.0,248.6313725490196,503.00392156862745,1940.4588235294107
water_to_crops,769.5803921568628,5480.01568627451,6837.160784313724,722.0117647058823,3167.949019607843,2726.529411764706,2925.070588235294
water_to_shrub_and_scrub,2835.913725490196,1802.219607843137,2776.7019607843135,2775.0,1542.007843137255,4210.0,2413.3882352941177
water_to_built,13.0,35.70196078431373,234.32156862745094,24.0,438.3921568627451,30.0,1452.7058823529412
water_to_bare_soil,200.35686274509803,1386.4705882352941,1129.850980392157,144.94901960784313,2270.827450980392,1177.8117647058825,9137.643137254901
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,1.0,22.0
trees_to_water,2358.854901960785,1360.4039215686275,572.0039215686274,3809.4117647058815,3139.8627450980393,6647.054901960783,880.7098039215687
trees_to_trees,4635061.133333332,3976346.9803921557,3369987.380392157,3993692.141176471,5086188.447058823,6740032.184313725,7688232.027450966
trees_to_grass,701.1490196078431,863.0,24.0,8.0,1.0,4918.035294117647,1162.0
trees_to_flooded_vegetation,340.0,22.0,82.0,74.23921568627452,307.4666666666667,2222.7803921568625,250.6235294117647
trees_to_crops,32864.094117647066,38990.49411764706,48521.54509803922,10659.996078431375,15276.921568627451,82171.57254901959,30734.239215686273
trees_to_shrub_and_scrub,917933.6392156861,3394591.384313725,1160114.7843137258,987879.9450980389,792400.792156863,3111867.882352941,633624.4196078429
trees_to_built,627.4352941176471,1582.0,720.1921568627452,1475.0470588235294,804.8588235294118,3745.552941176471,515.0588235294117
trees_to_bare_soil,510.6666666666667,69.0,74.0,297.0,161.29019607843136,2528.0549019607843,976.3294117647058
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,20.0,0.0,0.0,0.0,0.0,0.0,74.0
grass_to_trees,364.9294117647059,361.0,1792.0,10.0,182.0,63.0,5603.752941176471
grass_to_grass,16418.980392156864,40815.26666666667,11751.874509803922,2269.3411764705884,1653.7529411764706,12169.2,60163.592156862745
grass_to_flooded_vegetation,5.0,2.0,0.0,0.0,0.0,0.0,122.0
grass_to_crops,6325.270588235295,8229.752941176472,12538.905882352943,1318.0,2641.070588235294,1644.8627450980393,22081.22745098039
grass_to_shrub_and_scrub,9273.658823529411,46251.25882352941,67203.21960784313,11257.0,1070.0,1564.0,31414.0
grass_to_built,0.0,8.0,3.0,7.0,0.0,0.0,2.0
grass_to_bare_soil,929.0,557.0,7788.0,60.0,24.0,35.0,3331.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,108.0,276.29411764705884,104.0,733.0,350.0627450980393,189.35294117647058,281.1019607843137
flooded_vegetation_to_trees,70.9843137254902,346.0,124.0,344.0,152.5921568627451,189.0,1065.2941176470588
flooded_vegetation_to_grass,116.0,0.0,0.0,0.0,0.0,63.0,0.0
flooded_vegetation_to_flooded_vegetation,1663.0,1374.0,1064.0,927.0,1171.4901960784314,1482.5686274509803,6529.105882352941
flooded_vegetation_to_crops,125.0,599.0,10.309803921568628,54.0,76.76862745098039,497.0,112.54117647058823
flooded_vegetation_to_shrub_and_scrub,482.0,1168.4235294117648,274.0,635.0,714.870588235294,1102.0,760.7058823529412
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,9.0,0.0,169.2078431372549
