Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,41309.839215686276,41388.13725490196,39006.07843137255,42240.65490196078,48997.090196078425,45986.94117647059,42717.30980392157
water_to_trees,1044.0,3183.1960784313724,3167.635294117647,962.0,2586.1607843137253,4736.454901960784,4306.117647058823
water_to_grass,53.0,102.0,60.0,4.0,14.0,27.0,150.0
water_to_flooded_vegetation,83.0,76.0,44.0,48.0,36.0,21.0,186.0
water_to_crops,16.0,175.53725490196078,217.84313725490196,199.0,15.0,14.0,61.0
water_to_shrub_and_scrub,4070.1725490196077,5780.0039215686265,1965.443137254902,1507.7725490196078,4056.81568627451,5959.878431372549,6858.23137254902
water_to_built,2.0,4.0,5.0,0.0,1.0,5.0,15.0
water_to_bare_soil,41.0,51.0,63.21568627450981,124.96470588235294,51.0,16.0,175.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,52.0
trees_to_water,4921.8,793.4274509803922,1325.0,6451.7764705882355,2974.062745098039,5357.509803921568,1352.0
trees_to_trees,4590512.956862744,5702914.533333331,6305617.352941176,6764924.647058822,7100426.694117646,8561743.741176471,8404204.66666667
trees_to_grass,288.0,186.0,49.0,204.0,410.0,719.5019607843137,2443.0901960784313
trees_to_flooded_vegetation,220.0,38.0,15.0,183.0,88.0,212.0,57.0
trees_to_crops,21420.015686274506,11015.66274509804,60546.22352941176,10820.250980392157,7179.96862745098,5103.580392156862,6845.341176470589
trees_to_shrub_and_scrub,1116064.2784313723,1057197.7568627452,864828.0666666662,865218.9843137255,776654.9098039216,716231.1372549022,1777921.2549019605
trees_to_built,1140.372549019608,4976.662745098039,1749.1686274509805,2397.098039215686,1495.070588235294,6884.658823529412,5047.2941176470595
trees_to_bare_soil,3792.9450980392157,51.78823529411765,8781.654901960785,830.5098039215686,3745.6235294117646,1232.7686274509804,1252.8117647058825
trees_to_snow_and_ice,5.0,0.0,0.0,0.0,0.0,0.0,1.0
grass_to_water,25.0,7.0,4.0,57.0,117.0,16.0,65.0
grass_to_trees,165.0,267.0,954.0,133.0,799.5725490196079,1108.0,136.0
grass_to_grass,85561.1294117647,91079.50980392157,41231.51764705882,34594.90980392157,41936.59607843137,59830.86274509804,119697.88235294117
grass_to_flooded_vegetation,4.0,0.0,0.0,0.0,8.0,3.0,0.0
grass_to_crops,15200.2431372549,12551.96862745098,59558.470588235294,2040.8745098039217,17047.266666666666,1081.2235294117647,11587.835294117647
grass_to_shrub_and_scrub,41204.45490196079,14564.878431372548,40111.399999999994,13646.588235294119,33425.99215686275,17160.15294117647,53831.294117647056
grass_to_built,5.0,47.0,73.0,3.0,0.0,18.0,4.0
grass_to_bare_soil,26691.89019607843,2177.6156862745097,17143.584313725492,4047.635294117647,11318.0,878.2470588235294,4836.341176470589
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,32.0,144.0,54.0,21.0,13.0,201.0,9.0
flooded_vegetation_to_trees,93.0,246.0,127.0,33.0,215.0,121.0,217.0
flooded_vegetation_to_grass,0.0,11.0,0.0,0.0,0.0,0.0,4.0
flooded_vegetation_to_flooded_vegetation,381.0,286.0,191.0,192.0,198.0,199.0,158.0
flooded_vegetation_to_crops,0.0,43.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,14.0,305.0,34.0,13.0,5.0,15.0,175.4
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,3.0,3.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,166.0,32.0,24.529411764705884,102.33725490196079,409.0,75.0,89.0
crops_to_trees,9568.686274509802,21939.019607843136,9506.349019607842,39110.560784313726,31865.53725490196,29646.176470588238,2651.850980392157
crops_to_grass,13445.7568627451,15077.819607843137,2633.0392156862745,42992.549019607846,17670.5568627451,60132.8431372549,9180.0
crops_to_flooded_vegetation,34.0,0.0,0.0,0.0,3.0,0.0,0.0
