Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,36409.47450980393,31601.972549019607,30933.843137254906,38577.22352941176,48318.30980392157,36298.57647058823,32366.843137254902
water_to_trees,2017.0,3262.0,2864.576470588235,487.0,7649.827450980392,11328.490196078432,1480.9725490196079
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,267.0,225.0,81.0,129.0,285.0,184.0,132.0
water_to_crops,3.0,94.41960784313726,120.15686274509804,16.0,0.0,0.0,28.0
water_to_shrub_and_scrub,7346.768627450981,4924.929411764706,1107.4941176470588,303.21568627450984,5012.411764705882,4283.996078431373,5213.61568627451
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,24.0,41.0,41.509803921568626,49.035294117647055,6.0,20.0,34.0
water_to_snow_and_ice,0.0,15.0,0.0,1.0,0.0,0.0,0.0
trees_to_water,2012.1254901960783,1063.5686274509803,1946.0,13527.133333333333,2434.9333333333334,1127.7607843137255,5805.0
trees_to_trees,1194600.8823529405,1171624.3490196078,1392670.3411764707,1528970.6901960785,1540146.247058824,2181296.501960785,1784783.1450980403
trees_to_grass,7.0,3.0,306.0,3.0,89.0,13.0,190.0
trees_to_flooded_vegetation,410.0,6.0,103.0,387.0,264.0,176.0,175.0
trees_to_crops,3382.3137254901962,10697.196078431374,5410.921568627452,3216.18431372549,1246.6235294117646,1097.7490196078431,2601.4039215686275
trees_to_shrub_and_scrub,618297.3450980393,311175.67843137257,218571.67450980397,291243.1764705882,260051.32941176466,134200.2588235294,1114907.4313725485
trees_to_built,137.0,235.90980392156862,58.0,139.95686274509802,78.0,135.63529411764705,208.99607843137255
trees_to_bare_soil,753.0,1.0,817.3215686274509,136.0,3281.9960784313726,0.0,812.5098039215686
trees_to_snow_and_ice,0.0,0.0,0.0,1.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,3.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,14.0,8.0,59.0,0.0,108.0,1.0
grass_to_grass,343.0,52.0,86.0,396.0,706.0,1351.0,4212.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,173.0,2122.9960784313726,29.0,1733.0,100.0,484.0,489.0
grass_to_shrub_and_scrub,3414.0,260.0,263.0,1227.0,1020.0,963.0,4884.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,1346.0,37.67843137254902,365.41568627450977,369.62745098039215,751.0,251.0,3217.5686274509803
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,120.0,80.0,97.0,408.0,26.0,182.0,291.0
flooded_vegetation_to_trees,25.0,747.0,303.0,1.0,126.0,483.0,311.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,1255.0,1065.0,898.0,715.0,1100.0,1042.0,738.0
flooded_vegetation_to_crops,5.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,217.0,133.0,2.0,18.0,14.0,11.0,201.5843137254902
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,54.0,1.0,11.454901960784314,60.627450980392155,99.0,40.0,0.0
crops_to_trees,3732.223529411765,2877.3372549019605,13887.890196078431,6170.294117647059,2522.4549019607844,6823.607843137255,302.9372549019608
crops_to_grass,1085.9960784313728,248.0,2020.0,536.0,1444.0,1537.0,1610.0
crops_to_flooded_vegetation,0.0,0.0,0.0,1.0,0.0,0.0,0.0
crops_to_crops,28708.572549019613,37630.88235294117,75981.39607843143,45067.19607843143,31205.956862745094,11558.972549019614,3082.8705882352942
crops_to_shrub_and_scrub,64234.19215686276,25646.905882352938,175972.46274509814,89457.79607843138,79368.5803921569,31779.94509803922,24623.807843137256
crops_to_built,0.0,8.0,26.0,0.0,7.0,9.0,4.0
crops_to_bare_soil,8852.533333333333,546.1411764705883,10489.266666666666,1518.1686274509805,9594.313725490198,1499.1882352941177,6202.321568627452
crops_to_snow_and_ice,0.0,0.0,0.0,3.0,0.0,0.0,0.0
shrub_and_scrub_to_water,1390.721568627451,2363.0392156862745,6542.176470588235,8654.643137254901,1160.1960784313726,1522.0941176470587,786.3372549019607
shrub_and_scrub_to_trees,294247.64705882344,440663.57254901965,427620.7529411766,271740.525490196,767428.0745098037,700897.6705882353,27866.760784313727
shrub_and_scrub_to_grass,1027.0,304.0,1360.627450980392,974.0,797.0,6439.0,12944.0
shrub_and_scrub_to_flooded_vegetation,93.0,4.0,60.0,34.0,69.0,139.58431372549018,11.0
shrub_and_scrub_to_crops,33570.94509803923,207503.9019607845,60393.99215686276,65312.10980392159,19809.176470588234,20262.24705882353,8593.458823529412
shrub_and_scrub_to_shrub_and_scrub,4640568.266666677,4672287.6235294165,4549156.403921575,4605470.521568636,4183659.2549019693,3792746.1960784453,3897145.5333333462
shrub_and_scrub_to_built,495.8509803921569,291.50588235294117,212.76078431372548,218.5686274509804,202.4235294117647,724.6196078431374,13.32549019607843
shrub_and_scrub_to_bare_soil,87304.2509803922,13411.635294117646,34920.780392156885,9958.239215686275,52909.60784313726,19302.964705882354,64481.60000000008
shrub_and_scrub_to_snow_and_ice,37.0,0.0,0.0,3.0,50.0,2.0,0.0
built_to_water,8.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_trees,183.94901960784313,44.0,267.58039215686273,35.62352941176471,73.7764705882353,196.0,112.38039215686274
built_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,8.0,18.0,9.95686274509804,5.0,16.0,5.0,2.0
built_to_shrub_and_scrub,109.94509803921568,144.0,433.10196078431375,178.89019607843136,414.878431372549,21.0,605.5098039215686
built_to_built,2104.7686274509806,2531.6196078431376,2356.3960784313726,2433.643137254902,2287.5137254901965,2352.937254901961,2502.301960784314
built_to_bare_soil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_snow_and_ice,3.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,148.0,39.0,29.0,43.92156862745098,66.62352941176471,37.0,0.0
bare_soil_to_trees,0.0,651.0,2.0,127.99607843137255,98.52549019607844,8350.21568627451,0.0
bare_soil_to_grass,23.67843137254902,147.4156862745098,12.0,668.0,121.0,3463.5686274509803,148.0
bare_soil_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_crops,1105.4352941176471,20321.074509803915,866.6588235294118,8891.815686274509,868.9568627450981,2417.9686274509804,152.32156862745097
bare_soil_to_shrub_and_scrub,2622.7607843137257,65652.3568627451,16859.470588235297,38186.133333333346,12492.921568627451,47836.61960784314,20096.70588235294
bare_soil_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_bare_soil,5861.1882352941175,17331.125490196082,13599.450980392161,12318.87843137255,10701.921568627451,15140.466666666665,15816.59215686275
bare_soil_to_snow_and_ice,3.0,0.0,0.0,10.0,0.0,0.0,0.0
snow_and_ice_to_water,22.0,0.0,0.0,0.0,10.0,48.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,2.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,2.0,0.0,2.0,0.0,1.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,19.0,43.0,0.0,0.0,3.0,0.0,5.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,0.0,0.0,13.0,0.0,1.0,0.0,0.0
snow_and_ice_to_snow_and_ice,0.0,0.0,0.0,0.0,1.0,3.0,0.0
