Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,31286.45882352941,33447.69019607843,39343.45490196079,50151.24705882354,54408.26666666668,63951.30588235294,69072.51764705882
water_to_trees,1476.3450980392158,1766.0,172.0,1828.7333333333331,1245.8078431372548,820.0,9375.576470588236
water_to_grass,75.0,0.0,5.0,5.0,0.0,138.0,973.8078431372548
water_to_flooded_vegetation,986.5999999999999,21.16078431372549,31.541176470588233,102.0,66.0,252.0,969.0039215686274
water_to_crops,195.39999999999998,95.0,106.0,132.0,209.0,54.0,2104.8274509803923
water_to_shrub_and_scrub,340.4313725490196,360.0,124.0,933.121568627451,299.0,222.0,6760.01568627451
water_to_built,1.0,6.0,0.0,11.0,8.0,7.0,59.0
water_to_bare_soil,152.61960784313726,476.0,324.0,141.0,87.0,20.0,12049.788235294118
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,123.0,24.0
trees_to_water,3130.0,3823.729411764706,9832.41568627451,4528.349019607843,6012.61568627451,14002.545098039216,665.0
trees_to_trees,140836.16470588234,147030.04705882352,143805.85882352942,182605.15294117643,259593.67843137254,601028.2235294118,324222.1607843138
trees_to_grass,12.0,104.0,8.0,142.0,25.0,447.4980392156863,306.0
trees_to_flooded_vegetation,276.6235294117647,323.4156862745098,271.7607843137255,130.0,455.7686274509804,1691.686274509804,112.0
trees_to_crops,1880.8823529411766,3819.4470588235295,3729.035294117647,1867.0,1278.3960784313726,3265.8196078431374,11019.725490196079
trees_to_shrub_and_scrub,10282.925490196078,63987.674509803925,9785.874509803922,29681.094117647062,13480.941176470587,308435.84313725494,654868.4274509805
trees_to_built,142.0,242.0,301.1921568627451,199.0,328.0,475.0,440.2392156862745
trees_to_bare_soil,588.0,417.01176470588234,458.0,119.0,3.0,27.0,2532.098039215686
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,1.0,2.0
grass_to_water,7.0,33.0,49.0,11.0,36.0,812.0,16.0
grass_to_trees,49.0,43.0,66.0,32.48235294117647,294.0,3459.0,419.956862745098
grass_to_grass,27658.72156862745,11266.643137254901,26182.286274509803,113713.60784313726,315138.6588235294,937216.8274509803,321498.0352941176
grass_to_flooded_vegetation,1.0,1.0,0.0,0.0,16.0,43.0,76.0
grass_to_crops,59470.25098039216,77465.37254901961,28992.117647058825,26796.450980392154,73386.19215686274,177762.29019607845,322705.8627450981
grass_to_shrub_and_scrub,7178.745098039216,6831.325490196078,1006.0,30847.019607843136,392694.3215686274,687900.7215686274,405784.96078431373
grass_to_built,0.0,2.0,2.0,0.0,9.0,18.0,114.0
grass_to_bare_soil,10063.513725490197,55283.25882352941,1187.0,35499.717647058824,120003.44313725492,97242.70196078432,549748.1411764707
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,258.0,1017.1686274509801,544.5764705882353,124.47843137254903,438.45490196078435,848.2274509803921,46.0
flooded_vegetation_to_trees,256.81176470588235,189.12549019607843,81.83921568627451,502.4352941176471,195.0,88.0,2572.3019607843135
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,79.0,17.0
flooded_vegetation_to_flooded_vegetation,821.7803921568628,1096.5882352941176,923.4196078431373,661.3137254901961,328.83137254901965,680.0,766.4745098039216
flooded_vegetation_to_crops,0.0,57.0,5.0,0.0,2.0,2.0,222.0
flooded_vegetation_to_shrub_and_scrub,71.5921568627451,318.71764705882356,44.0,344.73333333333335,13.815686274509805,22.0,2695.5882352941176
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,1.007843137254902,0.0,7.0
flooded_vegetation_to_bare_soil,0.0,2.0,0.0,1.0,0.0,2.0,2524.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,13.0
crops_to_water,202.0,197.05882352941177,478.0705882352941,592.0,339.82745098039214,2558.8745098039217,27.36862745098039
crops_to_trees,3564.345098039216,1188.0,2519.937254901961,5187.701960784314,12223.239215686273,10057.73725490196,3891.1098039215685
crops_to_grass,107076.85098039216,36142.76078431372,113871.15686274509,737018.1803921569,1471205.9098039214,293169.0588235294,28615.08235294118
crops_to_flooded_vegetation,12.0,0.0,3.0,51.85490196078432,208.0,247.0,0.0
crops_to_crops,7085326.392156861,7116213.180392158,8209301.48627451,6089166.737254902,2090013.6823529413,1324166.8,1414420.3215686271
crops_to_shrub_and_scrub,2007089.8392156865,159877.58823529413,632035.8627450982,2183138.0117647056,1802608.5725490202,585633.305882353,107159.43921568629
crops_to_built,1167.592156862745,1082.7019607843138,768.0862745098038,1343.7098039215687,2160.956862745098,1243.5333333333333,869.2627450980392
crops_to_bare_soil,1402994.1647058823,325896.84705882357,83945.33725490193,659375.0117647059,980408.694117647,63796.87450980393,132690.68627450982
crops_to_snow_and_ice,6.0,0.0,0.0,0.0,0.0,95.0,0.0
shrub_and_scrub_to_water,674.3921568627451,1111.7294117647057,2659.58431372549,402.0,2403.141176470588,6948.7764705882355,115.20392156862745
shrub_and_scrub_to_trees,72874.39215686276,17724.964705882354,71944.96078431372,89966.52156862745,654562.8941176471,378186.8352941177,21002.26274509804
shrub_and_scrub_to_grass,3957.8196078431374,1346.0,9472.945098039216,19422.066666666666,58040.07450980392,230320.90588235288,68257.38039215686
shrub_and_scrub_to_flooded_vegetation,526.5960784313725,149.55686274509804,396.2392156862745,21.941176470588236,596.6274509803922,3510.670588235294,86.0
shrub_and_scrub_to_crops,159815.01176470588,1112640.4588235293,488041.1529411765,145636.43529411763,64807.58039215686,118081.80784313727,321708.88627450983
shrub_and_scrub_to_shrub_and_scrub,10415184.843137257,11248801.007843139,10953483.164705882,12038113.470588233,13898326.945098037,16096470.482352939,17295375.376470584
shrub_and_scrub_to_built,2378.4470588235295,2948.564705882353,2178.0313725490196,1862.007843137255,3814.5764705882357,4221.588235294117,1893.6235294117648
shrub_and_scrub_to_bare_soil,103395.02352941176,1149258.3647058825,177165.8980392157,131938.85490196082,124870.4588235294,80980.19607843139,1187579.8588235292
shrub_and_scrub_to_snow_and_ice,4.0,0.0,0.0,0.0,0.0,89.0,6.0
built_to_water,2.0,8.0,9.0,13.0,134.0,147.0,1.0
built_to_trees,144.0,137.0,154.0,347.1921568627451,370.0,287.85490196078433,627.0
built_to_grass,0.0,0.0,0.0,8.0,2.0,44.0,19.0
built_to_flooded_vegetation,0.0,1.0,0.0,0.0,0.0,43.0078431372549,0.0
built_to_crops,1095.3490196078433,793.4549019607844,1268.156862745098,858.0078431372549,695.6745098039215,979.6705882352941,771.9764705882353
built_to_shrub_and_scrub,2545.1568627450984,1510.0901960784313,1709.0,2213.572549019608,2192.3411764705884,2315.588235294118,4284.8117647058825
built_to_built,29119.972549019607,30537.631372549018,31262.81176470588,31430.945098039214,33425.933333333334,36582.51372549019,36861.82352941176
built_to_bare_soil,206.93725490196078,1074.521568627451,728.929411764706,283.0,34.0,22.09803921568627,69.21176470588236
built_to_snow_and_ice,5.0,0.0,0.0,2.0,0.0,0.0,3.0
