Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,9928.745098039215,10723.584313725489,13980.349019607846,16681.717647058824,16929.435294117648,22140.800000000003,25120.61960784314
water_to_trees,333.60392156862747,108.3921568627451,40.0,1282.7333333333333,258.0,50.0,4266.427450980393
water_to_grass,75.0,0.0,1.0,3.0,0.0,3.0,15.780392156862746
water_to_flooded_vegetation,948.5999999999998,21.16078431372549,31.541176470588237,85.0,26.0,17.0,458.3019607843136
water_to_crops,136.38823529411764,8.0,27.0,94.0,127.0,0.0,487.30980392156863
water_to_shrub_and_scrub,199.4313725490196,113.0,32.0,628.2627450980392,130.0,62.0,3595.8901960784315
water_to_built,0.0,0.0,0.0,9.0,0.0,0.0,45.0
water_to_bare_soil,94.61960784313726,358.0,321.0,109.0,85.0,17.0,10829.788235294118
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,24.0
trees_to_water,460.0,1346.7294117647057,2187.4156862745094,330.2392156862745,3200.61568627451,6321.145098039216,83.0
trees_to_trees,46494.89019607843,56994.18039215686,60150.96862745097,87324.72549019607,142595.2431372549,344531.6862745098,179523.06666666668
trees_to_grass,6.0,86.0,6.0,41.0,15.0,294.4980392156863,100.0
trees_to_flooded_vegetation,276.6235294117647,311.4156862745098,242.1921568627451,16.0,324.75686274509803,775.0196078431372,0.0
trees_to_crops,315.4235294117647,721.8274509803921,973.7568627450979,445.0,468.0,1361.7372549019608,3422.850980392157
trees_to_shrub_and_scrub,3184.3725490196084,35289.12941176471,5139.243137254902,17825.62745098039,7760.113725490195,188987.48235294115,298906.6784313725
trees_to_built,111.0,101.0,230.0,59.0,139.0,119.0,116.23921568627452
trees_to_bare_soil,535.0,318.8,369.80392156862746,103.4156862745098,1.0,24.901960784313726,1071.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,2.0
grass_to_water,0.0,30.0,49.0,0.0,3.0,13.0,4.0
grass_to_trees,34.0,23.0,9.0,10.48235294117647,218.0,2864.0,159.0
grass_to_grass,10342.050980392158,7140.792156862745,16491.811764705883,86917.58823529413,187231.62352941177,534146.4470588235,198152.9607843137
grass_to_flooded_vegetation,1.0,1.0,0.0,0.0,0.0,2.0,0.0
grass_to_crops,29925.105882352942,28051.69019607843,14925.184313725491,17075.81176470588,42112.67058823528,70366.18039215686,141294.6823529412
grass_to_shrub_and_scrub,1526.7450980392157,2677.725490196078,678.0,25222.839215686276,297710.0823529412,436676.3294117647,215737.34509803922
grass_to_built,0.0,2.0,2.0,0.0,9.0,8.0,44.0
grass_to_bare_soil,3392.4549019607844,9815.01568627451,257.0,24855.533333333336,74892.83529411764,25488.592156862745,276737.662745098
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,258.0,988.1686274509801,535.5764705882353,122.47843137254903,394.4549019607843,741.2156862745098,14.0
flooded_vegetation_to_trees,253.81176470588235,166.12549019607843,81.83921568627451,476.8666666666666,127.0,10.0,1238.635294117647
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,2.0,3.0
flooded_vegetation_to_flooded_vegetation,821.7803921568626,1096.5882352941176,921.4196078431373,651.3137254901961,255.8313725490196,231.0,348.4745098039216
flooded_vegetation_to_crops,0.0,13.0,4.0,0.0,2.0,2.0,25.0
flooded_vegetation_to_shrub_and_scrub,71.5921568627451,289.71764705882356,44.0,335.53333333333336,7.0,12.0,1155.1843137254903
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,1.0,0.0,7.0
flooded_vegetation_to_bare_soil,0.0,2.0,0.0,1.0,0.0,0.0,2459.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,13.0
crops_to_water,0.0,114.05882352941177,226.0705882352941,104.0,80.0,318.87450980392157,2.0
crops_to_trees,983.5686274509803,389.45098039215685,1019.8274509803921,1530.3607843137256,3342.9176470588236,3450.9176470588236,581.4235294117647
crops_to_grass,29594.16470588235,20195.807843137252,88795.05490196079,490251.10980392154,836792.9568627452,124735.11372549021,16488.44705882353
crops_to_flooded_vegetation,3.0,0.0,0.0,16.972549019607843,8.0,21.0,0.0
crops_to_crops,3226536.505882351,3274711.9803921557,3531466.62352941,2505929.466666666,624708.2901960778,336598.4117647054,386611.9686274504
crops_to_shrub_and_scrub,936015.2274509806,82059.35686274509,302058.7725490195,774681.1176470589,779332.0666666668,217762.82352941172,45202.34901960786
crops_to_built,461.0,271.71764705882356,371.0,445.0,776.5372549019608,435.0,209.38039215686274
crops_to_bare_soil,374251.1411764706,135476.6980392157,30675.05882352941,252471.90588235296,376904.7686274509,14779.392156862745,36508.7843137255
crops_to_snow_and_ice,6.0,0.0,0.0,0.0,0.0,95.0,0.0
shrub_and_scrub_to_water,265.3921568627451,776.7294117647059,1671.3019607843137,100.0,1438.294117647059,3827.2745098039213,11.0
shrub_and_scrub_to_trees,46656.36862745098,11463.231372549018,44586.372549019616,63351.02352941176,395050.5490196078,132139.37647058823,13067.019607843136
