Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,10134.8,7387.596078431373,5307.792156862745,7771.282352941176,7941.105882352941,6797.105882352941,36084.109803921565
water_to_trees,10655.776470588236,441.0,162.0,933.7294117647059,1161.0,1549.0,687.3921568627451
water_to_grass,203.0,7.0,36.0,20.0,159.0,425.0,207.18039215686275
water_to_flooded_vegetation,4.0,14.0,143.0,3.0,54.0,38.0,99.0
water_to_crops,5045.0,1503.2,6856.870588235294,105.0,11591.06274509804,152.0,216.7450980392157
water_to_shrub_and_scrub,17860.894117647058,5834.698039215687,2006.4470588235295,1032.0,11138.858823529412,749.6941176470588,1346.443137254902
water_to_built,48.0,4.0,46.0,0.0,43.0,0.0,16.0
water_to_bare_soil,1659.0,1054.9686274509804,3042.0,42.0,7660.733333333334,300.0,198.0
water_to_snow_and_ice,50.0,0.0,0.0,0.0,0.0,0.0,1.0
trees_to_water,400.0,241.47450980392156,331.7294117647059,292.0,841.8901960784314,892.0,3097.41568627451
trees_to_trees,679128.6509803921,582115.9764705884,495894.94901960786,776152.8980392157,946606.4196078433,893441.2078431374,1334732.443137255
trees_to_grass,7826.666666666667,4244.996078431373,360.0,1284.5372549019608,5540.807843137255,7767.286274509804,15081.560784313726
trees_to_flooded_vegetation,3.0,18.0,0.0,0.0,7.0,3.0,52.0
trees_to_crops,23179.470588235294,15394.501960784313,28959.77254901961,1917.5294117647059,14913.796078431373,2275.964705882353,3453.5921568627455
trees_to_shrub_and_scrub,613101.7058823529,462623.78823529417,160507.75294117647,48466.07058823529,960546.6431372549,99058.69411764706,296857.07843137253
trees_to_built,300.0,480.22352941176473,479.5333333333333,184.0,492.3921568627451,299.0,460.0
trees_to_bare_soil,5569.203921568627,11114.388235294116,1484.5803921568627,284.0,2252.305882352941,168.75294117647053,1164.0
trees_to_snow_and_ice,7.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,21.0,126.0,45.0,69.0,5.0,622.0,2417.0
grass_to_trees,3472.0,1557.2392156862745,5670.054901960784,1666.0,1306.6509803921567,2024.450980392157,20214.360784313725
grass_to_grass,502458.52156862756,508961.4980392157,379334.8980392157,536952.1490196078,682319.6901960786,734578.5764705881,1164685.2901960784
grass_to_flooded_vegetation,1.0,0.0,0.0,0.0,2.0,0.0,84.0
grass_to_crops,120805.5568627451,40893.76862745098,88016.81960784312,8677.58431372549,113649.31764705882,7165.898039215687,16359.121568627452
grass_to_shrub_and_scrub,232972.61960784317,68471.5137254902,186488.47058823527,61445.82745098039,408932.41568627435,65655.04313725489,709055.2823529412
grass_to_built,306.0,266.9921568627451,178.0,31.0,76.0,42.0,190.0
grass_to_bare_soil,260823.72156862743,83866.0117647059,125889.53333333335,47741.47843137255,442700.325490196,18195.725490196077,294580.0705882353
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,3.0,3.0,0.0,140.0,14.0,47.0,97.0
flooded_vegetation_to_trees,1.0,1.0,22.0,1.0,49.0,18.0,3.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,8.0,7.0
flooded_vegetation_to_flooded_vegetation,2.0,4.0,1.0,2.0,19.0,10.0,117.0
flooded_vegetation_to_crops,72.0,0.0,48.0,0.0,13.0,6.0,1.0
flooded_vegetation_to_shrub_and_scrub,99.0,2.0,42.0,23.0,98.0,2.0,9.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,22.0,0.0,0.0,0.0,14.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,1048.0,4822.0,800.0,13141.06274509804,167.87058823529412,13804.152941176471,4118.0
crops_to_trees,5499.345098039215,11252.505882352943,6150.866666666667,54872.79999999999,6897.141176470588,26884.52549019608,13102.643137254903
crops_to_grass,12268.32156862745,36155.541176470586,20967.639215686275,323388.67058823525,28052.33725490196,189654.51764705882,82756.85882352942
crops_to_flooded_vegetation,0.0,45.0,0.0,34.0,9.0,178.0,772.0
crops_to_crops,1023411.5764705885,1492398.7725490194,1931882.756862745,1279437.9294117647,961254.2627450981,404083.1490196078,233194.8274509804
crops_to_shrub_and_scrub,108448.49803921569,420170.43529411766,137670.7882352941,1730831.4039215683,302873.5294117647,856728.3803921568,135319.78431372548
crops_to_built,944.0,1257.321568627451,1588.7607843137255,1718.6039215686274,1291.556862745098,1863.9098039215687,1139.2274509803922
crops_to_bare_soil,134927.07843137256,174054.4117647059,150168.80784313724,659782.0549019608,214855.77647058826,279134.24313725496,34691.76470588235
crops_to_snow_and_ice,0.0,5.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,3517.086274509804,2157.0392156862745,2188.4901960784314,8046.419607843138,957.9333333333333,11184.788235294118,14708.607843137255
shrub_and_scrub_to_trees,375756.84705882357,91549.49411764705,308252.04705882346,1079163.6980392158,47337.8431372549,727054.4196078433,464035.1294117646
shrub_and_scrub_to_grass,147527.0862745098,137673.9529411765,76309.85882352943,312976.85098039213,75870.6705882353,797739.6862745098,208544.0705882353
shrub_and_scrub_to_flooded_vegetation,0.0,11.0,21.0,75.0,0.0,4.0,613.0
shrub_and_scrub_to_crops,511532.19215686276,354071.8823529412,1263013.568627451,85700.19215686274,481683.3725490195,62627.42352941175,42945.5568627451
shrub_and_scrub_to_shrub_and_scrub,20189879.431372546,19686396.207843136,18317524.541176468,17995736.196078435,20703264.57254902,21249868.49803921,23827333.992156763
shrub_and_scrub_to_built,2909.043137254902,2725.1019607843136,3768.435294117647,2611.4,1649.9450980392157,5247.752941176471,1333.0
shrub_and_scrub_to_bare_soil,1592736.1568627455,2369879.0,2014077.2862745095,493256.00392156874,1703638.729411765,427399.368627451,609177.980392157
shrub_and_scrub_to_snow_and_ice,24.0,3.0,0.0,0.0,0.0,2.0,0.0
built_to_water,7.0,34.0,0.0,15.0,1.0,65.0,39.0
built_to_trees,401.0,170.27843137254902,127.53725490196078,580.4588235294118,227.921568627451,525.4862745098039,547.5882352941177
built_to_grass,126.0,24.0,7.0,97.0,40.0,248.0,391.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,1525.8627450980393,940.9686274509804,1161.3176470588235,1285.1764705882351,964.4196078431372,802.7843137254902,720.356862745098
built_to_shrub_and_scrub,2488.3607843137256,1588.2156862745098,1361.478431372549,2227.3882352941177,3419.1607843137253,1537.556862745098,3689.3019607843135
built_to_built,24925.30588235294,26453.172549019608,28237.01568627451,30376.72156862745,30795.223529411767,30908.360784313725,33170.77647058824
built_to_bare_soil,359.32941176470587,513.0,356.46274509803925,94.0,308.0,403.0,55.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bare_soil_to_water,1115.5764705882352,2760.0,1227.0,10273.996078431373,82.0,5443.823529411765,4114.082352941176
bare_soil_to_trees,1318.729411764706,928.8235294117648,12301.580392156862,17830.670588235294,319.9294117647059,3401.0,773.4196078431372
bare_soil_to_grass,33733.42745098039,98555.78823529411,179567.6431372549,474272.19215686264,36301.18823529412,477164.05882352934,62159.51372549021
bare_soil_to_flooded_vegetation,0.0,21.0,1.0,93.0,0.0,1.0,19.0
bare_soil_to_crops,454589.3294117647,344026.525490196,743267.419607843,138278.06274509805,188261.64705882352,27981.886274509805,13668.207843137254
bare_soil_to_shrub_and_scrub,1479614.168627451,1340060.368627451,1171964.2823529416,3174641.180392157,890854.7568627452,2895091.470588235,1314095.3098039217
bare_soil_to_built,291.2862745098039,64.0,378.0,834.0,142.0705882352941,254.0,202.0
bare_soil_to_bare_soil,4047735.2745098043,4257415.25882353,4789191.11372549,3267988.682352942,3353226.6274509802,2315297.2588235294,1645865.8156862748
bare_soil_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,22.0,1.0
snow_and_ice_to_water,0.0,69.0,7.0,0.0,0.0,0.0,7.0
snow_and_ice_to_trees,0.0,2.0,0.0,0.0,0.0,0.0,2.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,2.0,8.0,0.0,0.0,0.0,0.0,5.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,0.0,1.0,2.0,0.0,0.0,0.0,0.0
snow_and_ice_to_snow_and_ice,0.0,1.0,0.0,0.0,0.0,0.0,10.0
