Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,993.0,2011.0,940.0,1073.0,1753.0,1642.0,2912.0
water_to_trees,36.38823529411765,14.0,27.0,0.0,164.0,69.0,47.0
water_to_grass,2.0,2.0,0.0,0.0,3.0,57.0,0.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,22.0,375.0,856.0,0.0,1091.0,36.0,8.0
water_to_shrub_and_scrub,1630.3803921568629,263.0,350.0,14.0,1775.0,18.109803921568627,203.0
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,192.0,57.0,221.0,0.0,323.0,32.0,12.0
water_to_snow_and_ice,0.0,8.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,80.0,5.0,0.0,94.0,45.10980392156863,145.0,34.0
trees_to_trees,72765.95294117648,47908.67058823529,42309.996078431366,66676.33333333333,82693.60392156863,82869.47450980393,118527.5411764706
trees_to_grass,267.0,57.0,0.0,90.0,34.0,195.0,154.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_crops,759.5960784313726,535.6156862745098,945.4666666666667,5.0,508.6,12.0,1.0
trees_to_shrub_and_scrub,77416.368627451,51603.14901960785,7798.905882352941,2805.6,78252.84313725491,6848.686274509803,35898.03921568627
trees_to_built,26.0,32.0,48.0,2.0,61.0,8.0,28.0
trees_to_bare_soil,64.0,334.0,78.27843137254902,0.0,8.0,0.0,0.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,2.0,1.0,71.0
grass_to_trees,13.0,3.0,53.0,55.0,51.0,142.0,533.0
grass_to_grass,15017.709803921578,6533.980392156864,4553.149019607843,25486.05098039216,30410.65882352942,41376.46274509806,82563.79607843139
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,12681.392156862745,1115.6666666666665,3271.0117647058823,236.27843137254905,25273.639215686275,33.0,747.0
grass_to_shrub_and_scrub,11386.06274509804,8152.599999999999,757.4392156862746,9620.635294117648,21128.635294117645,4282.976470588235,136998.24705882356
grass_to_built,12.0,3.0,0.0,0.0,0.0,6.0,0.0
grass_to_bare_soil,20877.027450980393,15376.482352941179,3674.0666666666666,3833.3882352941177,58853.67450980391,6233.772549019608,62675.65098039216
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,1.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,1.0,0.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,1113.0,34.0,55.0,1763.0,0.0,383.0,287.0
crops_to_trees,183.0,348.0,143.88235294117646,2352.513725490196,342.74117647058824,1133.4274509803922,341.06666666666666
crops_to_grass,48.0,1682.8392156862744,1426.537254901961,53838.82745098039,2948.458823529412,37495.28235294116,1688.0745098039215
crops_to_flooded_vegetation,0.0,0.0,0.0,1.0,0.0,0.0,0.0
crops_to_crops,65488.16862745097,118852.49019607842,133044.86666666667,72406.01176470588,67765.54509803922,15582.713725490195,5130.572549019607
crops_to_shrub_and_scrub,9561.81960784314,27144.36078431372,8333.564705882352,123203.53725490197,33697.16470588236,78844.05882352943,9100.976470588237
crops_to_built,0.0,2.0,6.0,7.0,9.0,5.0,8.0
crops_to_bare_soil,7195.2235294117645,25597.25098039216,21917.90588235294,51846.29019607842,17096.435294117648,53939.87843137255,2889.247058823529
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,398.0,59.0,90.0,1297.0,39.0,891.0,223.0
shrub_and_scrub_to_trees,27408.09411764706,2818.9764705882353,26746.309803921573,92001.63921568627,6798.81568627451,70387.67843137254,40719.56862745098
shrub_and_scrub_to_grass,11835.623529411765,1666.0470588235294,9678.701960784314,9171.333333333334,9903.133333333333,99632.12941176473,14097.474509803924
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,1.0,0.0,0.0,1.0
shrub_and_scrub_to_crops,47724.99215686275,21550.462745098037,85354.66666666669,13886.592156862744,61780.63137254903,3124.427450980392,713.8078431372548
