Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,5033.058823529412,3617.8039215686276,2480.0,3741.0,4099.0,3629.0,17071.882352941175
water_to_trees,5328.733333333334,115.0,99.0,387.0,520.0,1145.0,303.0
water_to_grass,96.0,3.0,34.0,8.0,75.0,358.0,98.18039215686275
water_to_flooded_vegetation,4.0,2.0,143.0,3.0,54.0,19.0,72.0
water_to_crops,3630.4,133.0,3325.6627450980395,37.0,3397.0823529411764,121.0,35.34901960784314
water_to_shrub_and_scrub,10965.78431372549,2411.698039215686,1195.4588235294118,308.0,4505.858823529412,400.6941176470588,448.22352941176473
water_to_built,15.0,4.0,46.0,0.0,19.0,0.0,0.0
water_to_bare_soil,904.0,399.0,1074.0,0.0,2472.592156862745,52.0,61.0
water_to_snow_and_ice,2.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,144.0,102.47450980392156,134.0,126.0,564.8901960784314,482.0,1836.2823529411764
trees_to_trees,353488.6862745099,270011.4666666667,244249.07058823534,418218.0156862745,511293.09019607847,466006.5254901961,642584.5411764705
trees_to_grass,3799.9098039215683,2509.1803921568626,82.0,646.0,1414.705882352941,4103.894117647059,6230.83137254902
trees_to_flooded_vegetation,3.0,0.0,0.0,0.0,7.0,3.0,15.0
trees_to_crops,12363.513725490197,8414.560784313726,11190.831372549019,1249.5333333333333,7820.5215686274505,1303.1019607843136,1212.8235294117646
trees_to_shrub_and_scrub,343657.6,264039.9568627451,57744.46274509803,18964.39607843137,475502.00784313737,68832.81960784312,121456.29803921568
trees_to_built,186.0,297.22352941176473,265.0,152.0,318.6941176470588,178.32549019607842,310.99607843137255
trees_to_bare_soil,1801.21568627451,5600.756862745098,352.52549019607847,29.0,509.3058823529412,150.57647058823525,294.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,18.0,107.0,12.0,41.0,4.0,538.0,1609.0
grass_to_trees,1917.2705882352943,445.2196078431373,2539.250980392157,334.0,642.713725490196,671.1647058823529,11773.596078431372
grass_to_grass,196076.968627451,185202.1411764706,151062.36470588236,254309.18823529413,299453.94117647054,324194.9450980393,578912.2039215687
grass_to_flooded_vegetation,1.0,0.0,0.0,0.0,2.0,0.0,0.0
grass_to_crops,74431.61960784314,18529.823529411766,41721.36078431373,4165.64705882353,80967.39215686276,3270.027450980392,9591.415686274511
grass_to_shrub_and_scrub,110695.93333333335,33734.00392156863,71491.35686274509,34692.12156862745,230271.36078431373,23050.03137254902,421902.06274509826
grass_to_built,139.2549019607843,161.9921568627451,75.32549019607843,25.0,18.0,42.0,86.0
grass_to_bare_soil,118785.70588235294,50438.20392156862,39658.57647058823,26244.274509803927,256998.83921568625,9760.298039215686,175783.17647058822
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,1.0,0.0,140.0,14.0,47.0,78.0
flooded_vegetation_to_trees,1.0,1.0,0.0,0.0,0.0,18.0,3.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,8.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,4.0,1.0,2.0,19.0,10.0,106.0
flooded_vegetation_to_crops,65.0,0.0,48.0,0.0,1.0,6.0,1.0
flooded_vegetation_to_shrub_and_scrub,95.0,2.0,26.0,6.0,0.0,2.0,9.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,22.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,242.0,2464.7921568627453,275.0,3928.0823529411764,159.87058823529412,5743.0666666666675,2683.0
crops_to_trees,2252.270588235294,5649.490196078432,4068.298039215686,24189.803921568626,3437.631372549019,12664.266666666668,8636.831372549019
crops_to_grass,5712.160784313725,20148.8862745098,12904.580392156864,195980.18431372553,13071.360784313725,112889.09411764705,47006.51372549019
crops_to_flooded_vegetation,0.0,45.0,0.0,29.0,9.0,163.0,687.0
crops_to_crops,401450.67058823525,606448.88627451,797975.6196078431,577511.1529411767,453415.61176470586,211027.9058823529,112922.74117647058
crops_to_shrub_and_scrub,40309.909803921575,153319.05098039217,60657.39607843138,673700.7333333333,140600.6156862745,307413.25882352935,69173.59607843138
crops_to_built,520.0,649.1176470588235,907.0431372549019,750.8156862745097,696.2117647058824,1119.9607843137255,659.2705882352941
crops_to_bare_soil,62996.294117647056,85510.86666666667,59463.2705882353,290193.862745098,80977.71764705882,167565.87843137258,14709.584313725492
crops_to_snow_and_ice,0.0,5.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,1000.5098039215685,1275.0509803921568,1087.0,3900.858823529412,850.9333333333333,5472.792156862745,7302.674509803921
shrub_and_scrub_to_trees,187279.53725490198,37449.32549019607,182034.0,550185.4274509805,24949.878431372545,292335.568627451,267627.34509803925
shrub_and_scrub_to_grass,63892.72941176471,55715.89803921569,48097.584313725485,159942.57254901965,28357.01568627451,470507.4784313727,98366.04313725488
shrub_and_scrub_to_flooded_vegetation,0.0,3.0,4.0,0.0,0.0,2.0,248.0
shrub_and_scrub_to_crops,204410.42352941178,140606.47450980393,542548.1137254903,38081.678431372544,173225.6666666667,32787.321568627434,15579.5568627451
shrub_and_scrub_to_shrub_and_scrub,10202535.905882353,9875039.294117648,9240881.615686275,9011868.054901963,10428750.066666668,10612604.8627451,11303391.556862744
shrub_and_scrub_to_built,2067.0,1194.9254901960783,1945.0,1411.8,884.9921568627451,2617.7137254901963,837.0
shrub_and_scrub_to_bare_soil,854325.3843137255,1069006.7254901964,984521.0078431373,187407.36078431364,534931.5098039217,299990.0039215686,230903.8862745098
shrub_and_scrub_to_snow_and_ice,0.0,3.0,0.0,0.0,0.0,2.0,0.0
built_to_water,3.0,34.0,0.0,0.0,1.0,30.776470588235295,30.0
built_to_trees,209.12156862745098,105.0,111.53725490196078,293.7137254901961,135.0,377.52156862745096,351.3254901960784
built_to_grass,65.37254901960785,6.952941176470588,3.0,50.0,15.0,79.0,199.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,845.0039215686274,506.1921568627451,424.3372549019608,650.5725490196078,450.20784313725494,329.7843137254902,398.2941176470588
built_to_shrub_and_scrub,1401.458823529412,1042.0,661.478431372549,1199.172549019608,2094.5607843137254,962.3372549019607,1812.3019607843137
built_to_built,13338.192156862746,14347.588235294117,15305.03137254902,16542.941176470587,16612.788235294116,16508.337254901962,17717.415686274508
built_to_bare_soil,264.32941176470587,468.0,180.46274509803922,77.0,198.0,402.0,15.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,2.0
