Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,20295.584313725496,19140.85490196079,18794.38431372549,17908.274509803927,18640.270588235297,21144.2,25782.450980392157
water_to_trees,28.0,0.8235294117647058,0.5294117647058824,12.137254901960784,21.0,3.0,49.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,12.011764705882353,53.694117647058825,230.87058823529412,25.39607843137255,9.0,24.207843137254905
water_to_crops,664.0,14.0,179.0,0.0,4.0,16.0,8.0
water_to_shrub_and_scrub,1242.0,474.0,142.98823529411766,166.98039215686273,544.4941176470588,415.0,1314.8196078431374
water_to_built,97.0,0.0,227.0,0.0,3.0,20.0,0.0
water_to_bare_soil,2676.6705882352944,2523.6039215686274,1149.450980392157,1659.670588235294,608.5960784313726,867.8901960784314,2689.5176470588235
water_to_snow_and_ice,1765.9803921568628,352.0,1500.4156862745094,680.7882352941176,204.95294117647057,792.7803921568628,1330.8196078431372
trees_to_water,85.0,10.0,7.792156862745098,2.0,12.580392156862745,29.0,32.0
trees_to_trees,187927.59607843138,94732.30588235296,68997.94117647059,59035.90588235295,58656.25882352942,102573.50588235295,128522.78431372548
trees_to_grass,3.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,10.0,1.0
trees_to_crops,7944.0,1134.0,398.0,255.0,114.0,60.0,613.0
trees_to_shrub_and_scrub,338839.8823529412,120780.53725490198,44880.737254901964,64112.55294117647,11047.266666666666,12452.905882352941,267218.4901960784
trees_to_built,83.0,117.0,34.0,27.0,20.0,12.0,10.0
trees_to_bare_soil,2292.0,1194.0,357.0,102.0,28.0,66.0,4180.588235294117
trees_to_snow_and_ice,18.11764705882353,0.0,0.03137254901960784,3.5294117647058822,1.0,18.603921568627452,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,8.0
grass_to_grass,2171.81568627451,327.6588235294118,232.65882352941176,454.4078431372549,290.8509803921569,3626.9607843137255,9945.149019607845
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,41774.07843137255,1210.650980392157,683.6666666666667,3818.725490196078,618.7490196078431,1515.3450980392156,38883.52156862745
