Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,2996.4980392156863,1910.549019607843,2161.572549019608,1673.6980392156863,1928.4039215686275,2635.8470588235296,6981.403921568628
water_to_trees,1.0,0.0,0.0,0.0,7.0,0.0,25.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,2.0,0.0,7.0,15.745098039215685,5.0,10.64313725490196
water_to_crops,485.0,10.0,0.0,0.0,4.0,16.0,5.0
water_to_shrub_and_scrub,504.0,191.0,61.0,0.0,225.4549019607843,361.0,462.86274509803917
water_to_built,0.0,0.0,31.0,0.0,0.0,20.0,0.0
water_to_bare_soil,1987.1764705882354,1803.556862745098,513.2470588235294,1049.070588235294,228.14117647058825,677.3254901960784,1764.149019607843
water_to_snow_and_ice,102.9529411764706,7.125490196078431,15.31764705882353,7.6117647058823525,4.0,6.756862745098039,11.949019607843137
trees_to_water,44.0,0.0,2.0,2.0,1.0,1.0,0.0
trees_to_trees,68604.17647058824,38076.18431372549,24582.368627450982,18574.458823529414,21183.243137254904,39939.20784313726,46180.76470588235
trees_to_grass,2.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,2.0,0.0
trees_to_crops,5148.427450980392,451.0,261.0,120.0,44.0,10.0,332.0
trees_to_shrub_and_scrub,171111.11764705885,48342.64705882353,21896.509803921566,13296.631372549016,1899.9725490196079,5441.050980392157,94645.83921568625
trees_to_built,16.0,45.0,14.0,9.0,0.0,3.0,7.0
trees_to_bare_soil,1067.0156862745098,363.0,129.0,30.0,8.0,31.0,181.12549019607843
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,1743.81568627451,176.6588235294118,185.43529411764706,451.4078431372549,290.8509803921569,3586.8274509803923,9741.549019607843
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,34434.7725490196,971.650980392157,349.1686274509804,3399.6862745098038,611.7490196078431,1421.9333333333334,33784.68627450979
grass_to_shrub_and_scrub,7505.4078431372545,734.5058823529412,77.0,384.11764705882354,197.37254901960785,3762.050980392157,7711.258823529412
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,15737.741176470588,117.0,568.3294117647058,253.0,25.0,233.30980392156863,5035.3372549019605
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,11.760784313725491,0.0,3.0,0.0,1.0,11.988235294117647,2.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.7803921568627451,0.7803921568627451,0.7803921568627451,0.0,5.0,12.0,11.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,1.0,0.0,0.0,0.0,0.0,0.0,6.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,19.0,0.5333333333333333,3.0,0.7803921568627451,0.0,3.0,1.0
flooded_vegetation_to_snow_and_ice,9.341176470588234,0.0,0.0,0.0,1.0,0.0,0.0
crops_to_water,0.0,0.0,0.0,10.0,0.0,251.0,64.0
crops_to_trees,90.0,152.0,64.0,85.0,301.51372549019607,511.0705882352941,213.0
crops_to_grass,141.0,681.2745098039215,2332.0274509803917,99.1921568627451,3327.8313725490198,44564.33725490197,5055.176470588234
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,3299225.623529409,3406302.4470588197,3315373.184313723,3306507.9333333303,3465710.04313725,3771770.7960784314,3660233.6941176434
crops_to_shrub_and_scrub,97522.98431372545,271763.37254901964,91033.6588235294,92168.7450980392,146108.83921568628,794433.0274509803,170068.9450980392
crops_to_built,328.39607843137253,220.66666666666669,299.20392156862744,269.53725490196075,380.0156862745098,917.3372549019608,466.0
