Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,4888.462745098041,4989.600000000003,5209.1450980392165,5460.949019607843,6088.847058823531,6250.015686274512,6028.815686274511
water_to_trees,0.0,37.015686274509804,26.462745098039214,52.560784313725485,41.0,6.0,13.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,89.0,76.98431372549021,42.29803921568627,72.8,111.34901960784313,116.0,13.427450980392157
water_to_crops,0.0,10.0,2.0,0.0,8.0,5.0,9.0
water_to_shrub_and_scrub,103.0,35.0,28.011764705882353,31.007843137254902,267.4980392156863,5.0,439.8588235294118
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,118.07450980392156,452.3607843137255,119.93725490196078,270.9137254901961,297.5803921568628,313.74117647058824,268.8
water_to_snow_and_ice,1484.8039215686265,185.58823529411765,967.7490196078426,293.1490196078431,104.91764705882353,805.9333333333332,355.06666666666666
trees_to_water,32.0,4.0,28.88235294117647,22.0,55.10588235294117,11.0,5.0
trees_to_trees,16628.61568627451,6713.713725490196,2836.572549019608,1578.9411764705883,1334.513725490196,2108.337254901961,3046.819607843137
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,33.0,35.0,2.0,9.0,6.0,16.0,68.0
trees_to_crops,339.0,48.0,127.0,35.0,3.0,6.0,43.0
trees_to_shrub_and_scrub,11301.419607843138,25013.627450980395,4828.447058823531,3963.1921568627454,585.721568627451,191.49019607843138,6736.211764705883
trees_to_built,1.0,13.0,17.0,6.0,0.0,0.0,14.0
trees_to_bare_soil,120.0,150.0,23.0,50.0,3.0,5.0,21.0
trees_to_snow_and_ice,31.8,0.0,11.133333333333333,3.462745098039216,14.0,2.380392156862745,2.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,10196.050980392156,2653.282352941176,2518.282352941176,3238.5686274509803,2548.1254901960783,8205.964705882354,10085.713725490195
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
