Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_shrub_and_scrub,19.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_bare_soil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,5761.764705882353,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_shrub_and_scrub,50.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,49.0,0.0,0.0,0.0,0.0,0.0,0.0
