Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,127744.79215686274,131422.7294117647,112829.47843137255,105850.5568627451,111989.13725490199,165672.41960784313,216877.67843137248
water_to_trees,310.23137254901957,174.33333333333334,578.6588235294118,249.69411764705882,27.5921568627451,26.866666666666667,450.2549019607843
water_to_grass,4.890196078431373,7.145098039215686,21.505882352941175,11.0,0.0,0.0,5.768627450980392
water_to_flooded_vegetation,6931.584313725491,3433.729411764706,21717.70196078431,6926.015686274509,38.2078431372549,80.36862745098038,2372.8
water_to_crops,33.30980392156862,25.568627450980394,212.3294117647059,12.63137254901961,45.0,0.0,148.67450980392155
water_to_shrub_and_scrub,138.50980392156862,7.584313725490196,389.8745098039215,23.0,1073.0,1.0,898.8196078431373
water_to_built,63.258823529411764,55.67058823529412,475.6039215686274,27.24313725490196,25.99607843137255,0.0,78.89019607843137
water_to_bare_soil,4338.392156862745,1218.3019607843137,7016.839215686274,610.3411764705882,1883.1490196078432,1029.9450980392157,31785.760784313727
water_to_snow_and_ice,688.8039215686274,206.71764705882353,161.6156862745098,216.643137254902,86.05098039215686,202.8823529411765,604.6039215686275
trees_to_water,74.73725490196078,106.07450980392159,86.69019607843137,105.09411764705882,1680.5686274509806,3304.588235294118,120.57254901960785
trees_to_trees,8233.592156862745,7918.431372549021,8011.282352941177,8340.619607843137,5631.705882352941,2631.380392156863,2498.662745098039
trees_to_grass,153.29803921568632,10.462745098039216,84.88627450980391,97.82745098039216,75.0,0.0,0.0
trees_to_flooded_vegetation,545.1450980392157,1229.4352941176471,658.3490196078432,1373.0509803921566,1625.5607843137257,3270.4784313725486,356.8
trees_to_crops,104.72156862745099,81.9921568627451,148.27843137254902,54.33725490196079,89.0549019607843,4.0,2.0
trees_to_shrub_and_scrub,4206.964705882353,1166.2235294117645,527.6313725490197,450.2156862745099,1014.9686274509802,701.0392156862745,447.10980392156864
trees_to_built,44.51764705882353,12.858823529411765,20.49411764705882,5.874509803921569,70.48627450980393,1.0666666666666667,10.549019607843139
trees_to_bare_soil,247.84313725490193,120.29411764705883,119.24313725490195,87.50196078431372,186.68627450980392,73.84705882352941,40.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,3.364705882352941,1.8901960784313725,1.0,0.0,50.199999999999996,266.4117647058823,0.0
grass_to_trees,22.0,183.2980392156863,44.15294117647059,73.16078431372549,115.90196078431373,30.20392156862745,0.0
grass_to_grass,258.6156862745098,108.40392156862745,89.95294117647059,152.9960784313725,82.11372549019606,0.0,0.0
grass_to_flooded_vegetation,59.83529411764706,202.68627450980392,19.411764705882355,121.25490196078432,138.72549019607843,3.564705882352941,0.0
grass_to_crops,8194.521568627451,8.0,1.207843137254902,0.9215686274509803,6.058823529411764,37.45098039215686,0.0
grass_to_shrub_and_scrub,290.0,15.0,14.0,6.0,12.0,0.0,0.0
grass_to_built,9.0,1.0,11.0,2.0,5.0,0.0,0.0
grass_to_bare_soil,141.30196078431374,0.0,8.0,0.0,2.0,0.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,5639.882352941176,6765.054901960786,164.54117647058823,2731.105882352941,39595.6431372549,20516.33333333334,729.521568627451
flooded_vegetation_to_trees,1099.8666666666668,536.6745098039215,1372.835294117647,860.4313725490196,2599.1098039215685,158.29803921568626,466.37254901960785
flooded_vegetation_to_grass,101.47450980392156,2.0,148.98823529411766,130.6235294117647,127.01568627450982,0.0,2.3215686274509806
flooded_vegetation_to_flooded_vegetation,32268.521568627457,33058.53725490196,35910.98431372549,54895.05882352941,23521.09019607843,6267.003921568626,8974.67843137255
flooded_vegetation_to_crops,85.0705882352941,107.13333333333335,129.2980392156863,45.42745098039217,306.67843137254897,6.019607843137255,43.643137254901966
flooded_vegetation_to_shrub_and_scrub,109.75686274509803,53.674509803921566,255.61960784313726,133.89019607843142,452.0980392156863,9.101960784313725,70.74509803921569
