Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,12744.043137254903,13283.156862745098,11456.862745098037,11035.058823529409,11776.686274509802,17085.60784313725,27309.701960784303
water_to_trees,10.0,7.03921568627451,18.458823529411767,14.32549019607843,14.0,4.0,54.3686274509804
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,545.1176470588234,101.86274509803921,682.2705882352941,353.964705882353,13.843137254901961,6.031372549019608,89.28627450980392
water_to_crops,0.0,4.976470588235295,1.203921568627451,0.0,41.0,0.0,71.00392156862745
water_to_shrub_and_scrub,108.0,7.0,230.0,12.0,1071.0,1.0,809.4000000000001
water_to_built,0.0,2.0392156862745097,99.99999999999999,2.0,0.0,0.0,14.976470588235294
water_to_bare_soil,3303.756862745098,846.4862745098039,3483.9058823529413,507.37254901960785,1576.1647058823532,1022.6823529411763,9509.274509803923
water_to_snow_and_ice,688.8039215686274,206.71764705882353,161.6156862745098,216.643137254902,86.05098039215686,202.8823529411765,604.6039215686275
trees_to_water,14.184313725490195,3.211764705882353,19.0,65.82352941176471,121.70588235294117,477.5137254901961,60.0
trees_to_trees,2411.752941176471,1801.2431372549022,1622.1333333333337,1378.4117647058824,1321.8549019607844,1539.070588235294,1548.7882352941176
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,15.282352941176471,98.46666666666667,44.81568627450981,135.23921568627452,26.498039215686276,250.66274509803918,27.862745098039213
trees_to_crops,35.0,6.0,81.0,40.0,0.0,4.0,2.0
trees_to_shrub_and_scrub,3588.478431372549,1099.9764705882353,366.5882352941176,193.38039215686274,223.5843137254902,531.0,391.0
trees_to_built,2.0,3.607843137254902,0.0,0.0,0.8274509803921569,0.0,10.549019607843139
trees_to_bare_soil,169.44313725490196,54.07450980392157,53.38823529411765,14.0,100.94901960784314,28.0,32.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,2428.149019607843,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_shrub_and_scrub,108.0,0.0,6.0,0.0,0.0,0.0,0.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,82.30196078431372,0.0,6.0,0.0,0.0,0.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,32.38823529411765,75.6,15.921568627450979,18.415686274509802,1731.8235294117644,2221.650980392157,19.909803921568624
flooded_vegetation_to_trees,0.0,0.0,38.61960784313726,18.0,273.86666666666673,16.423529411764704,74.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,1652.5568627450978,2330.670588235294,2465.266666666667,3226.043137254903,2140.4117647058824,66.03137254901961,428.8039215686274
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,6.0,5.823529411764706
flooded_vegetation_to_shrub_and_scrub,3.0,1.0,2.0,0.0,47.87058823529412,0.0,22.0
flooded_vegetation_to_built,0.0,10.0,64.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,9.12156862745098,7.635294117647058,52.0,2.0,94.92156862745098,3.0,21.231372549019607
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.8431372549019608,0.0
crops_to_water,0.0,0.0,0.0,0.0,54.15686274509804,126.23137254901961,6.450980392156863
crops_to_trees,0.0,26.0,9.0,7.0,80.0,34.0,12.0
crops_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,10.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,1.0,18.29019607843137,4.509803921568627
crops_to_crops,1090138.588235293,1132242.5803921556,1006377.3372549012,957803.4078431362,1048013.0352941164,1112007.9921568616,858514.0901960777
crops_to_shrub_and_scrub,4286.61568627451,3728.3647058823535,219.53333333333333,3596.282352941176,194.0,3305.929411764706,1889.4313725490197
crops_to_built,1.0,38.0,19.0,3.0,11.0,2.0,0.0
crops_to_bare_soil,87050.91764705883,170213.19999999992,173638.38431372546,86082.79607843135,29700.46274509804,295718.4352941176,260681.70196078424
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,474.7450980392157,343.0,32.0,484.0,201.96862745098042,1054.478431372549,193.0
shrub_and_scrub_to_trees,601.929411764706,300.30980392156863,113.38823529411765,331.18823529411765,956.2352941176471,394.62745098039215,3418.0549019607843
shrub_and_scrub_to_grass,0.0,12.0,0.0,0.0,0.0,0.0,312.0
shrub_and_scrub_to_flooded_vegetation,20.0,13.023529411764706,4.580392156862745,50.76862745098039,65.61176470588235,108.80000000000001,12.886274509803922
shrub_and_scrub_to_crops,32008.05882352942,8134.560784313726,7142.921568627451,556.1254901960784,7730.40392156863,494.278431372549,694.3254901960784
shrub_and_scrub_to_shrub_and_scrub,6133488.286274525,5394002.407843146,4374995.376470584,4171039.6588235255,4258780.466666666,4362054.631372549,4603605.827450989
shrub_and_scrub_to_built,7.0,139.0,54.0,42.0,125.42352941176472,57.686274509803916,29.39607843137255
shrub_and_scrub_to_bare_soil,1785867.984313725,870400.0901960782,1237951.2941176468,226477.2862745098,420347.5176470587,416261.99215686263,177897.4509803921
