Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,46627.97254901961,48374.8588235294,44862.14901960782,43752.509803921566,47348.52156862743,75273.97647058821,103070.20392156862
water_to_trees,148.34509803921569,144.25882352941176,193.96470588235294,87.82745098039216,7.0,98.0,916.2745098039215
water_to_grass,9.0,12.941176470588236,5.0,2.0,0.0,0.0,1.0
water_to_flooded_vegetation,1420.9333333333334,1301.094117647059,5316.349019607844,2335.7568627450974,38.13725490196078,63.0,1918.1843137254903
water_to_crops,24.992156862745098,25.258823529411764,61.45490196078431,6.76078431372549,0.0,0.0,349.0
water_to_shrub_and_scrub,285.4980392156863,120.0,265.09411764705885,179.0,992.0,13.0,1418.6470588235293
water_to_built,9.0,6.737254901960784,153.1843137254902,3.7058823529411766,13.0,0.0,96.47058823529412
water_to_bare_soil,11352.764705882351,1113.7764705882355,5952.933333333333,426.2705882352941,3323.7647058823527,3518.0,35723.75686274509
water_to_snow_and_ice,0.0,0.0,0.0,0.0,1.0,0.0,1.0
trees_to_water,118.86666666666667,59.79607843137255,44.55294117647059,61.19607843137255,883.9098039215685,2288.4666666666667,275.0
trees_to_trees,7293.870588235293,6103.541176470589,5579.192156862746,4473.125490196078,2805.7137254901963,3039.7921568627453,4732.976470588235
trees_to_grass,37.0,14.803921568627452,45.0,1.0,0.0,0.0,0.0
trees_to_flooded_vegetation,1338.4117647058822,774.9568627450981,781.5176470588235,1065.7058823529412,1242.7450980392157,1502.5490196078433,839.121568627451
trees_to_crops,50.0,153.66666666666666,91.81960784313725,8.0,89.3686274509804,1.0,35.0
trees_to_shrub_and_scrub,1538.1333333333332,1018.3725490196078,492.0,1456.0,378.6470588235294,127.0,94.0
trees_to_built,10.0,4.772549019607843,3.0,2.0,0.0,2.0,3.0
trees_to_bare_soil,121.3921568627451,202.48627450980393,165.8235294117647,177.21176470588236,35.67843137254902,39.0,26.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,1.0,0.0,0.0,0.0,55.23921568627451,36.41568627450981,0.0
grass_to_trees,2.0,17.0,3.0,42.0,23.901960784313726,0.0,0.0
grass_to_grass,29.58823529411765,70.49803921568628,81.17254901960786,95.43137254901961,1.3803921568627449,0.0,0.0
grass_to_flooded_vegetation,63.141176470588235,41.29019607843137,17.070588235294117,44.94509803921569,44.90196078431373,0.0,0.0
grass_to_crops,360.6235294117647,0.0,2.0,0.0,17.0,0.0,0.0
grass_to_shrub_and_scrub,7.0,23.0,12.0,0.0,1.0,0.0,0.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,6.0,2.0,2.0,0.0,0.0,0.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,1912.4274509803922,1733.1803921568628,68.94509803921568,469.28235294117644,13998.031372549018,8752.121568627454,159.45098039215685
