Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,4769.44705882353,5066.5137254901965,4791.490196078432,4690.152941176471,4794.298039215688,5231.203921568631,6550.690196078433
water_to_trees,7.0,4.0,6.0,12.0,0.0,9.0,226.43529411764706
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,5.0,3.443137254901961,14.250980392156862,7.0,6.0,15.0,63.070588235294125
water_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water_to_shrub_and_scrub,54.0,4.0,21.0,6.0,303.0,0.0,159.0
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,545.878431372549,312.956862745098,679.3764705882354,228.36470588235295,647.0274509803921,445.2078431372549,3785.462745098038
water_to_snow_and_ice,29.741176470588236,0.0,10.152941176470588,5.992156862745098,1.0,8.811764705882354,16.901960784313726
trees_to_water,11.501960784313725,6.0,21.0,0.0,25.0,234.75686274509806,6.0
trees_to_trees,3016.407843137255,2926.4196078431373,2841.0745098039215,2683.235294117647,2060.2470588235296,1124.7686274509804,1129.8156862745097
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,6.756862745098039,16.968627450980392,2.0,21.0,42.0,630.7098039215687,0.0
trees_to_crops,0.0,0.0,0.0,0.0,0.4549019607843137,0.0,1.0
trees_to_shrub_and_scrub,599.1098039215685,119.0156862745098,209.99607843137255,204.2078431372549,702.2078431372547,215.0392156862745,145.10980392156864
trees_to_built,2.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_bare_soil,75.01960784313727,58.00392156862745,15.909803921568628,39.9921568627451,102.0,51.79607843137255,7.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,8073.521568627451,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_shrub_and_scrub,111.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,63.30196078431373,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,7.0,14.0,1.0,8.125490196078431,37.09803921568628,12.0,12.0
flooded_vegetation_to_trees,0.0,1.0,7.0,0.0,7.098039215686274,0.0,297.18823529411765
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,73.21960784313725,84.67450980392158,23.227450980392156,29.352941176470587,12.156862745098039,62.15686274509804,534.3215686274509
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,1.0,0.0,0.0,0.0,0.0,0.0,16.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,6.0,1.0,82.85882352941177,3.0,11.0,0.0,2.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,0.0,0.0,0.0,0.0,9.17254901960784,0.0
crops_to_trees,0.0,0.0,0.0,0.0,0.0,3.1686274509803924,0.0
crops_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,2.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,3.3058823529411763,0.0
crops_to_crops,813485.2392156856,817740.9960784309,669622.0862745097,648771.6274509804,748425.4941176466,833918.4235294117,645038.4823529411
crops_to_shrub_and_scrub,9038.882352941177,5924.427450980393,967.0,5476.454901960784,146.49019607843138,13516.313725490196,6371.0
crops_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_bare_soil,91827.74901960783,161570.9450980392,182627.28627450982,37669.74901960785,10329.870588235293,293180.9215686274,188154.06666666662
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,103.0,59.0,16.0,96.0,13.87843137254902,203.5686274509804,40.0
shrub_and_scrub_to_trees,69.0,145.65098039215687,53.34901960784314,195.0,43.0,121.98823529411766,2077.5019607843137
shrub_and_scrub_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,298.0
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,0.0,11.0,108.33725490196079,24.0
shrub_and_scrub_to_crops,35319.274509803916,17190.10196078431,6005.231372549019,733.6235294117647,40884.18431372549,846.0,1466.0
shrub_and_scrub_to_shrub_and_scrub,1571547.411764705,1263732.839215686,944822.9254901962,909651.9411764708,991831.7333333336,975114.376470588,1034071.2784313726
shrub_and_scrub_to_built,7.0,11.0,25.0,30.0,38.0,18.0,6.0
shrub_and_scrub_to_bare_soil,544696.9607843136,398929.35294117645,390295.4117647058,47754.7137254902,128075.69019607842,114977.15686274509,65860.94117647059
shrub_and_scrub_to_snow_and_ice,1.0,2.0,5.0,4.0,0.0,17.0,0.0
built_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,102.0
built_to_shrub_and_scrub,107.0,1.0,20.0,7.0,8.0,13.0,22.0
built_to_built,4070.9529411764706,3964.0666666666666,3994.0,4212.0,4664.0,4722.0,4823.0
built_to_bare_soil,832.3960784313726,277.88627450980397,566.0666666666666,14.0,101.0,229.0,125.71372549019608
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,498.9647058823529,345.8,118.02745098039216,949.9019607843138,826.9411764705882,5109.956862745101,925.7960784313725
bare_soil_to_trees,34.0,12.909803921568628,41.01176470588236,41.674509803921566,146.72549019607845,30.0,418.0
bare_soil_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,28.0
