Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,17387.619607843135,18199.082352941175,20480.674509803917,20004.36078431372,24720.721568627447,24288.10196078431,18021.03921568627
water_to_trees,3355.537254901961,556.4862745098039,7817.580392156862,574.4745098039216,3622.176470588235,5491.525490196079,5910.729411764705
water_to_grass,463.0,36.0,323.87450980392157,267.4666666666667,268.6862745098039,248.0,331.0352941176471
water_to_flooded_vegetation,128.1176470588235,8.0,75.0,93.43137254901961,44.8156862745098,157.0705882352941,178.06274509803922
water_to_crops,270.07450980392156,40.0,56.0,409.0,42.0,229.0,22.99607843137255
water_to_shrub_and_scrub,3751.235294117647,446.07450980392156,1512.7490196078431,468.8352941176471,1540.3098039215683,1976.0039215686274,3374.027450980392
water_to_built,339.63921568627455,128.27450980392157,163.3294117647059,237.70588235294116,120.07450980392157,178.05490196078432,102.50588235294117
water_to_bare_soil,129.45882352941177,16.443137254901963,23.376470588235293,39.05490196078431,22.588235294117645,24.0,11.0
water_to_snow_and_ice,272.2745098039216,108.71372549019608,156.56862745098036,462.3725490196078,535.3176470588235,471.74117647058824,155.95686274509808
trees_to_water,1367.713725490196,7048.2588235294115,598.4235294117648,7125.898039215686,4806.474509803922,1586.8549019607844,345.0392156862745
trees_to_trees,658940.9843137261,629509.254901961,672645.3294117651,695149.4666666671,703214.0431372554,721897.6666666672,728836.8352941183
trees_to_grass,4640.094117647059,530.443137254902,3076.494117647059,748.2039215686274,2355.2117647058826,2713.4117647058824,2357.9176470588236
trees_to_flooded_vegetation,590.0392156862745,130.4745098039216,673.5333333333334,30.145098039215686,30.0,194.2980392156863,254.27058823529416
trees_to_crops,5864.176470588236,1508.8980392156864,6742.87843137255,2015.0392156862742,5311.4862745098035,3377.933333333333,2152.7137254901963
trees_to_shrub_and_scrub,104758.74509803925,41861.192156862744,40772.72549019607,33756.96862745098,46496.450980392154,39772.60784313726,44163.5568627451
trees_to_built,14842.18431372549,3959.6,11499.364705882355,4313.439215686275,6155.541176470589,6747.878431372548,5817.941176470588
trees_to_bare_soil,1146.8980392156864,464.22352941176473,64.90196078431373,301.09411764705885,198.0,16.0,287.65882352941173
trees_to_snow_and_ice,274.02745098039213,58.83529411764705,18.0,348.2823529411765,100.70196078431373,45.0,56.09803921568627
grass_to_water,41.40392156862745,330.90588235294115,120.43137254901961,291.98039215686276,249.93333333333334,277.1725490196078,85.0
grass_to_trees,1058.607843137255,3617.062745098039,826.5921568627451,2902.2509803921566,1853.9960784313726,2224.8313725490198,2880.6470588235297
grass_to_grass,38550.6156862745,37353.03921568628,36232.478431372554,38830.078431372545,37370.22745098041,38068.92941176472,37289.54509803922
grass_to_flooded_vegetation,168.58039215686273,263.0627450980392,217.0,44.0,34.0,214.71764705882353,40.0
grass_to_crops,2166.5372549019603,3246.4784313725486,1622.7882352941176,1991.8078431372553,1841.6588235294116,4923.580392156863,2344.0823529411764
grass_to_shrub_and_scrub,5053.568627450981,4548.749019607843,1788.3921568627452,3264.0235294117642,2995.003921568627,3149.6078431372553,3659.3254901960786
grass_to_built,2243.6901960784317,1814.5764705882357,913.9372549019607,1476.6039215686274,1190.7529411764708,1706.8039215686276,898.4039215686273
grass_to_bare_soil,34.839215686274514,246.0,117.0,18.0,10.0,0.0,3.0
grass_to_snow_and_ice,2.0,0.0,0.0,0.0,1.0,1.0,1.0
flooded_vegetation_to_water,14.682352941176472,122.86666666666666,11.0,102.13333333333334,72.24313725490197,47.75686274509804,39.65882352941176
flooded_vegetation_to_trees,13.0,192.33333333333334,39.0,505.0,421.49411764705883,122.68235294117648,219.2980392156863
flooded_vegetation_to_grass,8.0,58.0,113.0,325.69019607843137,331.81176470588235,14.0,219.8235294117647
flooded_vegetation_to_flooded_vegetation,1018.4313725490197,1138.3882352941177,1519.8274509803923,1538.105882352941,654.5725490196078,621.686274509804,793.2549019607843
flooded_vegetation_to_crops,29.0,3.0,0.0,32.0,97.0,0.0,7.0
flooded_vegetation_to_shrub_and_scrub,21.0,767.5529411764705,68.0,858.6274509803922,183.8313725490196,166.14901960784314,184.64313725490194
flooded_vegetation_to_built,16.0,12.0,15.0,26.0,12.654901960784313,21.0,3.0
flooded_vegetation_to_bare_soil,0.9333333333333333,3.0,0.0,9.0,1.0,0.0,0.0
