Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,3685.4980392156867,3699.823529411765,3842.2862745098046,3466.839215686275,3847.3686274509805,4168.007843137255,4143.972549019609
water_to_trees,67.38039215686274,33.34901960784314,20.866666666666667,74.94901960784314,16.48627450980392,42.8156862745098,89.89803921568628
water_to_grass,93.98039215686276,2.0,214.74117647058824,155.0313725490196,199.23529411764704,29.0,89.5764705882353
water_to_flooded_vegetation,5.0,7.0,47.188235294117646,2.0,17.031372549019608,73.8549019607843,60.250980392156876
water_to_crops,135.3843137254902,13.545098039215686,26.541176470588237,229.37647058823532,20.650980392156864,134.09411764705882,7.0
water_to_shrub_and_scrub,23.44705882352941,37.85098039215686,4.776470588235294,48.3843137254902,43.94509803921568,4.0,22.784313725490193
water_to_built,68.03137254901961,24.16862745098039,65.99607843137255,111.43921568627451,31.819607843137252,48.847058823529416,41.529411764705884
water_to_bare_soil,31.231372549019607,7.0,7.9372549019607845,20.929411764705883,11.0,0.0,8.0
water_to_snow_and_ice,7.764705882352941,7.411764705882353,5.905882352941177,31.38823529411765,3.5058823529411764,13.172549019607843,17.666666666666664
trees_to_water,21.12549019607843,16.101960784313725,97.90588235294118,260.92941176470583,213.0313725490196,9.168627450980392,21.588235294117645
trees_to_trees,85614.88627450982,79375.94509803923,83276.02352941179,87619.6,89123.33333333334,91232.27843137254,88584.14117647057
trees_to_grass,1780.0980392156862,124.48235294117647,1581.549019607843,440.5882352941177,1082.4274509803922,1234.2627450980394,1615.4000000000003
trees_to_flooded_vegetation,407.88235294117646,119.43529411764706,521.1137254901962,19.098039215686274,21.0,80.43921568627451,222.59607843137255
trees_to_crops,1709.5450980392156,636.9921568627451,1539.4196078431373,1006.6627450980391,877.8941176470588,912.8196078431372,562.9803921568628
trees_to_shrub_and_scrub,18033.160784313724,8188.843137254902,3508.9843137254898,3500.007843137254,5193.066666666667,4710.1333333333305,6998.06274509804
trees_to_built,4022.858823529412,1578.1333333333332,3152.372549019608,1605.270588235294,2221.3411764705884,1856.172549019608,2000.1215686274513
trees_to_bare_soil,473.4117647058823,97.0,14.0,241.0,187.0,7.0,110.87450980392157
trees_to_snow_and_ice,128.48627450980393,0.0,0.0,286.3529411764706,0.0,0.8588235294117647,10.0
grass_to_water,1.8666666666666667,182.61960784313726,17.223529411764705,117.98039215686273,48.15686274509804,120.92549019607843,48.0
grass_to_trees,487.2313725490196,1474.4901960784316,400.5529411764706,1094.5372549019608,607.0745098039216,1124.250980392157,1168.1999999999998
grass_to_grass,7268.117647058824,6721.9607843137255,6572.607843137254,7792.823529411763,7478.878431372547,7324.807843137256,7602.356862745099
grass_to_flooded_vegetation,9.0,208.0,8.607843137254902,17.0,18.0,55.0,36.92941176470588
grass_to_crops,555.9450980392156,1018.5333333333334,196.8313725490196,437.29803921568634,466.8117647058824,1108.7843137254902,414.09411764705885
grass_to_shrub_and_scrub,940.2666666666668,728.0313725490196,138.6627450980392,489.90980392156865,290.0901960784314,627.121568627451,266.4823529411765
grass_to_built,510.8627450980392,495.03921568627453,192.20784313725488,489.6274509803922,407.02745098039213,420.7882352941176,166.99607843137255
grass_to_bare_soil,1.0,108.00000000000001,1.0,0.0,8.0,0.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,3.0,2.0,85.0,33.7764705882353,7.027450980392157,9.0
flooded_vegetation_to_trees,11.0,94.0,23.0,319.28235294117644,187.76470588235304,93.92941176470589,104.27450980392157
flooded_vegetation_to_grass,6.0,0.0,89.0,131.5176470588235,147.9294117647059,3.0,71.0
flooded_vegetation_to_flooded_vegetation,287.0,490.521568627451,881.5450980392156,870.627450980392,403.956862745098,336.1882352941176,411.0980392156863
flooded_vegetation_to_crops,25.0,2.458823529411765,0.0,2.0,61.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,14.0,415.0,5.0,797.4627450980392,87.2235294117647,84.0,25.0
flooded_vegetation_to_built,0.0,0.0,0.0,8.0,9.0,21.0,0.0
flooded_vegetation_to_bare_soil,0.0,3.0,0.0,9.0,1.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,1.0,0.0
crops_to_water,1.4666666666666668,179.54117647058823,24.31764705882353,19.419607843137257,236.21568627450984,5.792156862745098,19.768627450980393
crops_to_trees,679.1725490196079,1732.7372549019608,601.9372549019607,1149.764705882353,989.8470588235294,954.407843137255,1547.5529411764712
crops_to_grass,1227.1058823529413,404.61176470588236,795.4627450980392,271.1333333333333,794.3333333333333,491.94117647058823,886.5882352941176
crops_to_flooded_vegetation,0.0,57.0,74.43529411764706,0.0,0.0,2.792156862745098,23.96470588235294
crops_to_crops,12035.71764705882,11559.901960784311,11233.415686274508,11481.172549019602,11200.399999999994,11178.745098039213,10954.666666666664
crops_to_shrub_and_scrub,1309.2901960784313,945.9921568627451,523.721568627451,361.7137254901961,182.85098039215688,501.3725490196078,246.54901960784315
crops_to_built,699.3607843137254,529.478431372549,607.992156862745,375.31764705882347,367.61960784313726,514.635294117647,302.0392156862745
crops_to_bare_soil,26.47843137254902,3.0,80.16470588235293,0.0,2.0,4.0,0.0
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,37.43529411764706,46.40392156862745,81.53333333333333,47.50588235294118,28.650980392156864,87.84313725490196,18.0
shrub_and_scrub_to_trees,1941.4392156862743,8139.513725490194,9054.070588235296,6638.60392156863,6800.674509803919,4809.6274509803925,7789.941176470586
shrub_and_scrub_to_grass,216.7176470588235,108.29019607843136,752.4666666666668,307.70980392156866,692.0509803921568,374.10980392156864,484.10980392156864
