Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,11580192.913725585,11582899.611764804,11585500.764705982,11586081.035294214,11587477.807843234,11589472.839215785,11581246.56862755
water_to_trees,4335.498039215687,2090.1960784313724,12874.447058823529,1472.6941176470589,6706.243137254902,5759.243137254902,12225.105882352942
water_to_grass,37.0,29.35686274509804,116.11764705882354,40.24313725490196,48.28235294117647,149.0,108.92941176470588
water_to_flooded_vegetation,211.9529411764706,13.75294117647059,116.20784313725491,78.45098039215686,46.886274509803926,78.89019607843136,148.95686274509805
water_to_crops,96.92549019607843,0.0,1.0,0.0,0.0,1.0,1.0980392156862746
water_to_shrub_and_scrub,4647.941176470588,579.4313725490197,2276.4470588235295,910.1647058823529,2117.6509803921567,2058.3764705882354,4034.4039215686266
water_to_built,46.627450980392155,116.98823529411766,52.83921568627451,133.76470588235293,122.91372549019609,65.52941176470588,82.74901960784314
water_to_bare_soil,2854.0784313725494,466.28627450980395,1196.3882352941177,602.1372549019608,810.5960784313727,183.89411764705883,440.6470588235294
water_to_snow_and_ice,5484.996078431371,4376.729411764705,3755.3999999999996,5085.72156862745,5466.8549019607835,4098.070588235293,6061.8274509803905
trees_to_water,3991.156862745099,8936.909803921568,1253.772549019608,8185.211764705882,6376.976470588235,5336.050980392157,654.1450980392157
trees_to_trees,680363.0666666665,657468.3686274509,767397.1725490195,820509.1960784311,830537.6509803919,888653.803921568,903416.9490196074
trees_to_grass,1983.992156862745,377.2274509803922,1326.6352941176472,512.3450980392157,1980.7960784313727,1346.8156862745095,752.0039215686274
trees_to_flooded_vegetation,900.878431372549,263.2823529411765,209.78823529411764,754.4392156862745,260.09803921568624,219.2627450980392,348.25882352941187
trees_to_crops,8445.29803921569,2468.792156862745,2797.2980392156865,699.7019607843138,6161.988235294117,1515.780392156863,1162.2823529411767
trees_to_shrub_and_scrub,174913.71764705883,65454.011764705865,55151.26666666666,69746.55294117647,72436.25882352941,89755.28235294117,82480.39215686274
trees_to_built,3558.470588235295,810.964705882353,1823.3999999999999,1370.8823529411764,1363.635294117647,1561.949019607843,906.3372549019608
trees_to_bare_soil,3474.117647058823,10453.16862745098,45.0,432.0,78.0,95.0,159.19607843137254
trees_to_snow_and_ice,3263.125490196079,1532.2549019607845,376.4941176470588,1047.4156862745099,796.1058823529412,554.2352941176471,574.7686274509804
grass_to_water,43.00784313725491,73.09019607843138,35.678431372549014,173.01568627450982,120.06666666666666,62.607843137254896,1.0
