Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,9257.439215686292,9316.639215686293,10101.266666666685,9702.270588235308,12801.960784313746,11467.952941176494,10513.819607843161
water_to_trees,2158.5019607843146,140.2549019607843,1898.6431372549018,312.878431372549,1290.780392156863,3239.6705882352944,934.3686274509804
water_to_grass,448.2705882352941,36.0,252.45098039215685,266.54117647058825,239.3921568627451,101.0,249.84705882352938
water_to_flooded_vegetation,128.1176470588235,8.0,74.84705882352941,93.43137254901961,44.15686274509803,156.94509803921568,177.05882352941174
water_to_crops,269.0549019607843,39.752941176470586,55.28235294117648,406.5999999999999,41.772549019607844,227.55686274509804,22.898039215686275
water_to_shrub_and_scrub,2334.498039215686,169.0705882352941,700.8196078431372,258.4117647058824,439.4509803921569,1625.9843137254904,384.4980392156863
water_to_built,338.5372549019608,127.7607843137255,159.69019607843134,234.05490196078432,118.71764705882354,176.1725490196078,101.26666666666667
water_to_bare_soil,129.45882352941177,15.443137254901961,21.376470588235293,33.05490196078431,18.588235294117645,16.0,11.0
water_to_snow_and_ice,133.72549019607843,46.16470588235295,110.24313725490195,97.07450980392159,65.09019607843138,56.32156862745098,68.13333333333333
trees_to_water,152.59607843137255,1186.6039215686271,311.1333333333333,3301.043137254902,1718.043137254902,190.65882352941176,156.30588235294118
trees_to_trees,343667.9450980385,329006.26666666585,363285.94901960663,377510.6078431363,404038.31764705764,414898.4784313714,418178.47843137145
trees_to_grass,3346.3607843137265,408.7450980392157,2277.5019607843137,639.913725490196,1898.7372549019606,2320.419607843137,2186.713725490196
trees_to_flooded_vegetation,588.8352941176471,130.06666666666666,670.2392156862745,29.909803921568628,30.0,193.50196078431372,253.3058823529412
trees_to_crops,4319.929411764706,1275.0078431372547,5868.501960784314,1669.207843137255,2197.439215686275,2970.572549019608,2006.9215686274515
trees_to_shrub_and_scrub,77231.05490196073,25084.599999999977,23196.898039215692,15866.956862745108,14560.796078431371,29530.505882352947,20802.545098039212
trees_to_built,13471.07450980392,3636.5058823529407,10801.635294117648,3621.76862745098,5603.568627450981,6282.843137254901,5409.38431372549
trees_to_bare_soil,1144.8980392156861,464.22352941176473,64.90196078431373,301.09411764705885,194.0,16.0,287.65882352941173
trees_to_snow_and_ice,260.0274509803922,50.83529411764707,10.0,326.2313725490196,15.701960784313725,38.57254901960784,50.09803921568627
grass_to_water,40.98039215686275,271.8745098039215,119.72156862745098,136.98039215686276,148.478431372549,252.71764705882345,85.0
grass_to_trees,899.2666666666667,2545.066666666667,681.8117647058823,2086.5176470588235,1382.9725490196076,1606.2509803921566,2066.3725490196075
grass_to_grass,32139.913725490187,31579.61568627451,30308.694117647057,32454.5450980392,32796.25098039214,33279.02745098038,33372.32941176472
grass_to_flooded_vegetation,168.58039215686273,263.0627450980392,216.66666666666669,44.0,34.0,214.71764705882353,39.93333333333334
grass_to_crops,1890.1098039215685,3068.2156862745105,1470.0745098039217,1593.0705882352945,1031.8274509803923,4604.486274509804,2298.1960784313724
grass_to_shrub_and_scrub,3045.419607843138,2034.3803921568624,805.7607843137256,1547.0980392156864,848.0823529411765,1599.5294117647056,727.6156862745098
grass_to_built,2146.678431372549,1790.9803921568628,900.0000000000001,1456.7686274509806,1134.7725490196078,1682.7529411764706,875.5725490196078
grass_to_bare_soil,34.839215686274514,242.41568627450977,14.0,0.0,8.0,0.0,3.0
grass_to_snow_and_ice,2.0,0.0,0.0,0.0,1.0,1.0,1.0
flooded_vegetation_to_water,14.682352941176472,122.86666666666666,11.0,102.13333333333334,71.84705882352941,47.72941176470588,39.65882352941176
flooded_vegetation_to_trees,13.0,192.33333333333334,39.0,504.4313725490196,418.313725490196,121.52156862745099,217.1529411764706
flooded_vegetation_to_grass,8.0,58.0,113.0,325.4392156862745,331.7450980392157,14.0,219.8235294117647
flooded_vegetation_to_flooded_vegetation,1018.4313725490197,1137.4,1516.6666666666665,1531.7372549019608,653.3843137254902,620.7450980392157,793.2196078431373
flooded_vegetation_to_crops,29.0,2.7490196078431373,0.0,32.0,97.0,0.0,7.0
flooded_vegetation_to_shrub_and_scrub,21.0,767.5529411764705,68.0,858.6,182.05882352941177,166.14901960784314,184.64313725490194
flooded_vegetation_to_built,16.0,12.0,15.0,26.0,12.654901960784313,21.0,3.0
flooded_vegetation_to_bare_soil,0.9333333333333333,3.0,0.0,9.0,1.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,1.0,0.0,0.0,2.0,3.0,1.0,4.0
crops_to_water,7.6117647058823525,230.4823529411765,84.33725490196078,83.2078431372549,453.0823529411764,16.768627450980393,50.4
crops_to_trees,2009.105882352941,5332.423529411765,1350.5450980392156,5559.823529411764,3620.2274509803924,2796.3803921568624,3841.509803921569
crops_to_grass,3566.623529411765,1068.7568627450978,2797.3568627450986,2223.733333333333,4895.603921568627,1813.1686274509807,2803.8431372549026
crops_to_flooded_vegetation,2.0,57.0,121.72549019607843,11.0,0.0,28.71764705882353,23.96470588235294
crops_to_crops,75659.34117647032,73555.99215686248,73661.7529411762,72936.8980392154,67406.79999999973,66453.1529411762,68740.27450980365
crops_to_shrub_and_scrub,3326.552941176471,2580.36862745098,1450.262745098039,2806.1098039215694,671.2980392156863,1406.262745098039,602.7647058823529
crops_to_built,2666.843137254902,1777.4392156862746,1408.313725490196,1401.3607843137254,1411.4392156862743,1204.3372549019607,823.870588235294
crops_to_bare_soil,45.66666666666667,48.0,192.89411764705883,63.0,2.0,51.0,24.0
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,175.83529411764707,1722.5607843137257,364.44705882352935,1290.1529411764707,1513.8196078431372,288.921568627451,151.05098039215687
shrub_and_scrub_to_trees,9393.788235294118,59151.42352941171,31423.12941176471,35783.670588235305,37323.82352941176,21224.050980392167,28574.623529411747
shrub_and_scrub_to_grass,1046.9215686274508,737.1019607843137,1896.0274509803921,706.1176470588235,1784.5921568627452,1018.3019607843138,1660.9999999999998
shrub_and_scrub_to_flooded_vegetation,385.81176470588235,161.1372549019608,784.1960784313726,56.92549019607843,223.60392156862744,206.7450980392157,699.8980392156863
shrub_and_scrub_to_crops,1201.678431372549,1977.8392156862744,2518.9960784313726,844.0588235294117,2095.141176470588,1640.8549019607842,1593.749019607843
shrub_and_scrub_to_shrub_and_scrub,262633.69803921506,274572.69411764626,286725.0627450972,290197.0156862736,269512.8627450973,262209.0666666662,263817.92941176414
shrub_and_scrub_to_built,2524.4039215686275,4559.541176470588,2700.9647058823534,1614.7450980392157,1999.666666666667,1285.2823529411764,1260.729411764706
shrub_and_scrub_to_bare_soil,2816.8470588235296,11902.349019607844,198.09411764705882,307.4549019607843,205.46274509803922,562.0862745098036,803.0078431372548
shrub_and_scrub_to_snow_and_ice,5572.278431372547,4967.16862745098,92.8,413.14509803921567,1012.4980392156864,571.7921568627452,118.78823529411764
built_to_water,163.00784313725487,265.98431372549015,168.1843137254902,77.66666666666667,278.22352941176473,110.01176470588234,137.7450980392157
built_to_trees,3018.796078431372,9842.423529411764,4225.772549019607,8400.862745098042,8167.949019607843,5370.125490196078,7675.9333333333325
built_to_grass,1239.5215686274512,628.5098039215686,1668.9490196078432,764.0941176470589,1279.1607843137253,918.1019607843137,1763.9254901960783
built_to_flooded_vegetation,3.0,2.0,4.0,4.0,3.0,33.0,93.0
built_to_crops,1271.8784313725494,1085.6901960784314,1366.8745098039215,898.7960784313726,872.8078431372548,1010.0039215686273,1257.6901960784312
built_to_shrub_and_scrub,2356.9372549019604,1288.6941176470589,908.8549019607842,1971.3647058823528,909.0352941176471,1118.3254901960784,955.007843137255
built_to_built,501103.31764705776,508729.9686274497,512941.270588234,518085.5843137243,515155.9450980381,517016.78431372414,515861.0392156849
built_to_bare_soil,456.3254901960784,574.0666666666666,249.05882352941177,77.58823529411765,56.70980392156863,99.96470588235294,94.97647058823529
built_to_snow_and_ice,33.45490196078431,81.70980392156862,19.258823529411764,12.662745098039215,54.450980392156865,55.188235294117646,33.72941176470589
bare_soil_to_water,6.784313725490197,101.16470588235293,18.725490196078432,244.14509803921567,45.411764705882355,29.12549019607843,25.0
bare_soil_to_trees,52.0,168.28235294117647,294.5686274509804,56.38039215686274,114.20784313725491,43.94509803921569,44.05490196078431
bare_soil_to_grass,0.0,0.0,5.0,5.0,15.0,5.0,0.0
bare_soil_to_flooded_vegetation,1.1254901960784314,1.0,3.0,0.0,3.0,1.1254901960784314,11.0
bare_soil_to_crops,9.470588235294118,61.94117647058823,142.65098039215687,79.81960784313725,27.0,4.0,75.0
bare_soil_to_shrub_and_scrub,5566.807843137255,4364.35294117647,11710.423529411764,952.0509803921568,1094.5725490196078,469.25098039215686,718.6392156862744
bare_soil_to_built,116.34117647058824,909.3372549019607,1318.9490196078432,314.678431372549,269.035294117647,164.17254901960783,78.34509803921569
bare_soil_to_bare_soil,7231.788235294118,6321.172549019607,6360.870588235293,5504.780392156862,4767.360784313725,4425.372549019608,4193.113725490196
bare_soil_to_snow_and_ice,2611.658823529412,128.02745098039216,298.90980392156865,150.02352941176468,75.32941176470588,259.83137254901965,93.05882352941177
snow_and_ice_to_water,80.14901960784313,156.44313725490196,225.5019607843137,122.30980392156866,36.73725490196078,59.00392156862746,64.77647058823528
snow_and_ice_to_trees,30.45098039215686,108.28627450980393,67.31372549019608,41.431372549019606,84.9607843137255,30.988235294117644,19.839215686274507
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,3.0,0.0,0.0,1.0,13.0,6.0
snow_and_ice_to_crops,0.0,0.0,1.0,0.0,0.0,0.0,1.0
snow_and_ice_to_shrub_and_scrub,3235.8470588235296,15842.003921568643,5647.203921568627,1213.8627450980389,788.9450980392156,555.7019607843137,1151.3019607843135
snow_and_ice_to_built,115.85098039215691,8.690196078431372,46.79607843137255,22.32156862745098,25.705882352941178,39.70196078431372,47.46274509803921
snow_and_ice_to_bare_soil,194.52156862745102,582.4274509803922,205.68235294117645,114.94509803921568,148.70196078431374,67.78823529411765,172.67843137254903
snow_and_ice_to_snow_and_ice,11607.850980392159,3521.1450980392146,2601.552941176471,1617.8941176470591,1532.980392156863,1993.8666666666666,1514.5137254901963
