Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,26482.780392156863,27364.199999999997,37106.611764705885,46085.43137254902,71797.7019607843,64032.35686274509,54773.01176470588
water_to_trees,278.0,602.9607843137255,219.98039215686273,354.2705882352941,688.0784313725491,775.2941176470588,1134.956862745098
water_to_grass,25.0,1.0,0.0,0.0,0.0,6.0,20.0
water_to_flooded_vegetation,639.9607843137255,250.0,172.0,116.82352941176471,123.78823529411764,1969.443137254902,302.0
water_to_crops,11696.239215686275,39.38039215686275,2817.529411764706,84.81960784313725,793.0,71.0,596.0
water_to_shrub_and_scrub,15474.64705882353,1076.4117647058824,3329.9176470588236,1980.2470588235294,4327.192156862745,13529.533333333333,4615.729411764706
water_to_built,47.0,7.0,0.0,2.0,22.0,1.0,0.0
water_to_bare_soil,30661.239215686273,1520.1647058823528,6473.458823529412,2584.298039215686,11038.239215686275,29389.999999999993,21130.6
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,1742.0745098039217,372.5725490196079,797.7098039215686,569.8392156862745,301.87450980392157,1393.7764705882353,1417.713725490196
trees_to_trees,63474.32549019606,36071.50196078431,35621.57647058823,32493.807843137252,38891.50196078431,49902.81960784312,72178.16078431372
trees_to_grass,275.0,12.0,110.0,39.0,14.0,97.0,296.0
trees_to_flooded_vegetation,621.3176470588235,21.0,431.16470588235296,60.0,128.0,668.0,623.0
trees_to_crops,14902.94901960784,630.7254901960785,1737.7882352941176,1218.9529411764706,172.43529411764706,330.1411764705882,1570.2078431372547
trees_to_shrub_and_scrub,199819.38823529414,24667.317647058822,12467.192156862744,12863.164705882353,5220.164705882353,26506.945098039214,9775.95294117647
trees_to_built,95.0,7.0,36.0,9.0,10.0,4.0,58.0
trees_to_bare_soil,31486.031372549023,4023.9058823529413,2487.36862745098,2332.921568627451,1286.035294117647,2168.7333333333336,1719.0941176470587
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,7.0,2.0,0.0,0.0,2.0,13.0
grass_to_trees,6.0,237.0,18.0,12.0,181.0,149.0,331.4313725490196
grass_to_grass,1550.0,1325.0,985.0,1058.0,1530.0,3163.0,4770.011764705882
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,21486.776470588233,562.0,5545.0,278.0,691.0,604.0,3473.282352941176
grass_to_shrub_and_scrub,1481.0,248.0,279.0,110.0,37.0,901.0,433.0
grass_to_built,127.0,1.0,5.0,0.0,0.0,5.0,0.0
grass_to_bare_soil,1983.0,61.0,101.0,13.0,340.0,291.0,1740.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,88.0,170.9607843137255,234.0,205.0,111.0,227.0,2797.0
flooded_vegetation_to_trees,91.0,270.28235294117644,19.0,391.16470588235296,147.0,103.43921568627451,484.0705882352941
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,1.0
flooded_vegetation_to_flooded_vegetation,448.6235294117647,517.9607843137255,574.9607843137255,856.5960784313726,955.0274509803921,1382.1490196078432,1283.2235294117647
flooded_vegetation_to_crops,116.0,7.0,20.0,28.0,6.0,1.0,16.0
flooded_vegetation_to_shrub_and_scrub,505.156862745098,612.4588235294118,24.0,431.0,151.0,97.29411764705883,377.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,271.2980392156863,307.2392156862745,43.0,109.17647058823529,3.0,110.0,556.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,6.0,3728.5803921568627,59.0,3955.141176470588,500.0549019607843,1979.5411764705882,2807.0
crops_to_trees,432.0,1799.3490196078433,1024.141176470588,959.0,2802.294117647059,4491.254901960785,3584.4588235294113
crops_to_grass,181.0,4418.0,302.0,1410.0,2705.0,6805.725490196079,2635.349019607843
crops_to_flooded_vegetation,0.0,37.0,5.0,19.0,13.670588235294117,168.0,127.0
crops_to_crops,362174.62745098036,652689.1725490197,699262.8274509803,732120.0588235295,516989.68235294125,354734.5725490196,387529.1803921568
crops_to_shrub_and_scrub,6053.63137254902,89987.10588235295,8395.317647058824,92502.4392156863,74358.50196078431,52090.89803921568,19583.254901960783
crops_to_built,371.0,460.19607843137254,210.0,1038.1254901960783,524.7450980392157,396.45882352941175,189.0
crops_to_bare_soil,86563.79215686274,203886.4862745098,52227.39215686274,344289.474509804,204233.631372549,171442.3019607843,109908.97647058824
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,1222.9372549019608,8533.074509803922,3842.137254901961,7767.7843137254895,8796.313725490196,2458.3960784313726,3730.290196078431
shrub_and_scrub_to_trees,1392.6274509803923,12064.858823529412,12005.623529411765,10704.960784313726,34051.737254901964,24052.764705882353,56947.59999999999
shrub_and_scrub_to_grass,402.0,600.0,51.0,43.0,248.0,333.0,1475.0
shrub_and_scrub_to_flooded_vegetation,67.0,47.0,741.364705882353,243.15686274509804,444.1294117647059,1078.007843137255,244.06274509803922
shrub_and_scrub_to_crops,204233.27450980394,29370.03137254902,125942.78431372548,17010.549019607843,13508.470588235296,16996.968627450984,37558.5137254902
shrub_and_scrub_to_shrub_and_scrub,8281067.792156864,8107525.270588235,8131832.262745098,7381154.403921567,7039714.549019609,7044256.305882353,6854706.721568627
shrub_and_scrub_to_built,509.2980392156863,364.0,313.52941176470586,244.0,472.0,375.0,408.0
shrub_and_scrub_to_bare_soil,2244706.3215686274,596606.1843137257,804726.2862745099,1045984.5294117643,650915.6823529411,955553.3254901958,880426.0274509803
shrub_and_scrub_to_snow_and_ice,0.0,2.0,0.0,1.0,0.0,0.0,0.0
built_to_water,10.0,1.0,3.0,13.0,4.0,32.0,31.0
built_to_trees,23.0,20.0,6.0,8.0,14.0,121.0,91.0
built_to_grass,0.0,12.0,0.0,0.0,14.0,1.0,8.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,745.0862745098038,237.13333333333333,948.1254901960784,137.52941176470588,431.0,641.5019607843137,603.0
built_to_shrub_and_scrub,749.0,269.0,230.0,168.0,141.0,455.0,312.02352941176474
built_to_built,11093.964705882354,10950.682352941178,10350.49411764706,10295.788235294118,11103.894117647058,11328.901960784313,12006.619607843137
built_to_bare_soil,1240.905882352941,1032.2941176470588,554.5254901960784,524.0,101.72941176470589,358.64705882352945,391.5294117647059
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,1309.3254901960784,9942.109803921569,9163.431372549017,30193.803921568622,28263.682352941178,12447.227450980394,12002.419607843138
bare_soil_to_trees,109.07058823529411,2622.8470588235296,672.364705882353,1100.8078431372548,4292.803921568628,8042.556862745098,8942.486274509803
bare_soil_to_grass,8.0,567.0,23.0,229.0,604.0,355.0,218.0
bare_soil_to_flooded_vegetation,109.0,42.0,96.44705882352942,77.45098039215686,256.26666666666665,248.69411764705882,84.0
bare_soil_to_crops,341649.937254902,77950.23529411765,340019.1843137254,51249.6705882353,59517.16470588236,152985.03529411764,145162.06274509805
bare_soil_to_shrub_and_scrub,249960.80392156861,855069.4235294117,306593.6941176471,258941.62745098045,921154.3607843133,697656.2392156863,734860.8117647059
bare_soil_to_built,278.84705882352944,302.26666666666665,231.29411764705884,220.7098039215686,805.4117647058824,1332.8117647058825,890.8196078431372
bare_soil_to_bare_soil,24872761.258823514,26323473.96470586,26474129.823529385,26998731.784313694,27379672.49411761,27374523.247058794,27631676.654901925
bare_soil_to_snow_and_ice,0.0,3.0,0.0,2.0,3.0,0.0,0.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,3.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,1.0,0.0,0.0,0.0,0.0,0.0,0.0
