Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,43759.60392156863,30416.47843137255,21968.301960784316,11347.478431372547,14959.44705882353,5566.670588235294,43785.97647058823
water_to_trees,160.0,3.0,1.0,15.0,33.0,27.0,21.0
water_to_grass,55.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,281.0,9.0,22.0,0.0,0.0,0.0,8.0
water_to_crops,4150.0,995.0,193.0,38.17647058823529,50.0,58.0,106.0
water_to_shrub_and_scrub,3784.4745098039216,757.964705882353,478.8862745098039,197.17254901960783,5177.886274509804,4300.46274509804,953.1176470588235
water_to_built,0.0,0.0,0.0,0.0,2.0,0.0,0.0
water_to_bare_soil,16233.835294117647,13020.490196078432,11325.882352941177,16984.858823529412,12117.933333333332,11052.188235294117,3056.5843137254906
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,161.0,37.0,111.85882352941177,39.0,3.0,0.0,26.0
trees_to_trees,52853.839215686276,32630.0,26069.0,21985.0,21175.81568627451,21709.83137254902,40403.13333333333
trees_to_grass,34.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,8.0,121.0,487.0,0.0,0.0,0.0,0.0
trees_to_crops,4302.03137254902,335.0,827.2117647058824,46.0,40.090196078431376,180.0,156.70980392156864
trees_to_shrub_and_scrub,121871.27450980392,21453.839215686276,10024.803921568628,7856.0,8504.66274509804,8844.682352941178,5030.435294117647
trees_to_built,79.0,3.0,2.0,4.0,0.0,0.0,9.0
trees_to_bare_soil,16605.858823529412,1452.0,1593.850980392157,1084.0,1450.964705882353,933.0,790.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,48.0
grass_to_trees,18.0,22.0,0.0,0.0,0.0,0.0,159.0
grass_to_grass,20.0,5.0,0.0,0.0,43.0,540.0,456.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,2474.0,128.0,1187.0,0.0,6.0,3.0,543.0
grass_to_shrub_and_scrub,31.0,5.0,12.0,0.0,6.0,6.0,17.0
grass_to_built,0.0,0.0,4.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,1182.0,2.0,27.0,0.0,4.0,11.0,1796.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,4.0,193.0,0.0,11.0,0.0,0.0,794.0
flooded_vegetation_to_trees,1039.0,0.0,0.0,8.0,3.0,0.0,0.0
flooded_vegetation_to_grass,30.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,2.0,0.0,65.0,30.0,0.0,0.0,0.0
flooded_vegetation_to_crops,734.0,25.0,73.0,5.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,178.0,33.0,20.0,82.0,27.0,0.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,308.0,56.0,21.0,518.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,186.00392156862745,32.0,380.0,51.1764705882353,351.0,5229.0
crops_to_trees,157.0,583.5960784313726,137.0,285.0,1113.3882352941177,450.10196078431375,336.0
crops_to_grass,3.0,697.0,0.0,50.0,422.0,919.0,240.0
crops_to_flooded_vegetation,0.0,16.0,1.0,0.0,0.0,124.0,342.0
crops_to_crops,82201.3019607843,179447.54117647058,192734.67843137257,214019.52941176473,148609.94901960783,104197.10980392157,113634.73725490196
crops_to_shrub_and_scrub,1041.713725490196,22683.000000000004,4118.086274509804,28190.886274509805,22150.286274509803,8635.152941176471,4766.313725490196
crops_to_built,79.0,57.91372549019608,32.0,86.0,23.0,26.0,50.0
crops_to_bare_soil,33172.46274509804,82051.52156862745,23006.48235294118,85747.43529411765,74379.4588235294,50448.21960784314,64755.43529411765
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,1101.407843137255,855.6745098039215,1539.0901960784313,6916.870588235294,772.1843137254901,1177.478431372549,1922.8745098039217
shrub_and_scrub_to_trees,1743.0,4662.278431372549,4754.0,8206.533333333335,8193.482352941177,21128.345098039215,21775.16862745098
shrub_and_scrub_to_grass,20.0,7.0,0.0,0.0,21.0,33.0,28.0
shrub_and_scrub_to_flooded_vegetation,15.0,30.0,73.0,0.0,0.0,6.0,357.0
shrub_and_scrub_to_crops,74919.6431372549,10089.69019607843,24955.160784313724,5059.878431372549,3956.972549019608,4109.956862745098,5649.509803921568
shrub_and_scrub_to_shrub_and_scrub,2678961.439215684,2579178.364705881,2607087.4078431358,2461225.8901960757,2277050.4666666635,2190364.2470588204,2241192.7019607807
shrub_and_scrub_to_built,929.0,89.0,255.0,91.92941176470589,118.0,66.0,158.0
shrub_and_scrub_to_bare_soil,913929.2392156865,354413.28235294117,249016.99999999997,315265.03137254907,340590.4117647059,253150.18431372545,229108.09411764707
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,0.0,0.0,5.0,2.0,0.0,0.0,0.0
built_to_trees,4.0,3.0,0.0,0.0,3.0,31.0,61.0
built_to_grass,0.0,4.0,0.0,0.0,0.0,0.0,1.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,81.26274509803922,18.0,74.0,25.0,54.0,81.0,37.0
built_to_shrub_and_scrub,253.0,260.0,69.0,129.0,71.0,80.92941176470589,162.0
built_to_built,3243.98431372549,3945.98431372549,3719.0,3502.0,3250.929411764706,2970.0,3148.0
built_to_bare_soil,571.0,312.0,268.89803921568625,408.0,317.0,288.0,151.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,175.921568627451,2300.913725490196,4926.435294117647,13643.917647058823,5218.5137254901965,40835.529411764706,17948.0
bare_soil_to_trees,57.0,1211.850980392157,53.0,675.0,1145.8274509803923,3069.0,3733.2509803921566
bare_soil_to_grass,0.0,517.0,0.0,9.0,74.0,1527.0,65.0
bare_soil_to_flooded_vegetation,1.0,3.0,6.0,0.0,0.0,664.0,1524.0
