Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,10365.486274509798,10646.41960784313,10816.113725490188,11592.701960784303,11841.792156862739,12161.078431372543,12212.984313725487
water_to_trees,9.0,45.0,8.0,23.0,5.0,31.0,15.0
water_to_grass,8.345098039215685,3.4862745098039216,1.0,2.0,1.0,2.0,3.0
water_to_flooded_vegetation,17.0,9.0,21.0,9.0,30.0,47.0,21.0
water_to_crops,3.0,4.0,32.0,1.0,18.0,6.0,1.0
water_to_shrub_and_scrub,12.901960784313726,17.0,10.0,5.0,236.07450980392156,24.0,59.0
water_to_built,61.96470588235294,110.58039215686273,109.90588235294116,87.06666666666666,110.7764705882353,90.8156862745098,100.85490196078432
water_to_bare_soil,813.6627450980393,523.3843137254902,826.8235294117648,396.1960784313726,919.1803921568626,863.9450980392156,1578.3372549019607
water_to_snow_and_ice,334.35686274509806,31.945098039215686,83.28627450980395,96.09411764705885,53.97254901960784,178.4078431372549,285.2549019607843
trees_to_water,31.0,6.0,20.0,10.0,34.0,1.0,6.0
trees_to_trees,203665.4274509805,205004.43137254915,197333.4000000001,203568.1176470589,208880.84313725503,211176.34901960797,262656.7529411765
trees_to_grass,62.0,33.0,50.0,148.0,68.76862745098039,16.0,79.03529411764706
trees_to_flooded_vegetation,132.0,97.88627450980394,141.1607843137255,168.5921568627451,244.0,102.0,79.6313725490196
trees_to_crops,2029.2941176470588,1463.6235294117648,508.3333333333333,440.64705882352945,465.8,318.02352941176474,1048.1999999999998
trees_to_shrub_and_scrub,44520.24313725491,21811.92156862745,44782.30980392155,13324.239215686272,61235.6,12475.211764705879,76090.4431372549
trees_to_built,182.95686274509802,338.43529411764706,125.71372549019607,164.2862745098039,164.5764705882353,256.3137254901961,232.9254901960784
trees_to_bare_soil,247.84705882352938,872.0196078431374,84.30588235294117,248.30588235294118,16.0,14.301960784313726,38.77647058823529
trees_to_snow_and_ice,36.4078431372549,9.0,24.0,29.51372549019608,18.0,6.0,18.545098039215688
grass_to_water,4.0,2.0,1.4980392156862745,6.211764705882353,4.0,9.55294117647059,1.0
grass_to_trees,112.49019607843137,93.47450980392156,225.0,67.04313725490196,78.0,53.294117647058826,248.0
grass_to_grass,42341.67058823529,35496.53725490196,46358.24313725489,47795.2274509804,35635.509803921566,34563.09803921569,43528.12156862743
grass_to_flooded_vegetation,7.0,9.0,11.0,13.0,23.0,11.996078431372549,11.0
grass_to_crops,6354.827450980392,7877.156862745098,5072.196078431373,3844.6039215686274,3228.7215686274512,1922.6627450980393,3358.3882352941177
grass_to_shrub_and_scrub,30035.513725490197,4180.250980392157,17316.207843137254,19087.19607843137,19835.298039215686,8761.635294117646,12762.59607843137
grass_to_built,378.2313725490197,776.3294117647059,42.0,229.65490196078431,106.64313725490196,125.82352941176471,211.90980392156862
grass_to_bare_soil,9478.89019607843,4794.992156862744,434.9450980392157,4328.317647058823,860.0,971.7607843137255,105.0
grass_to_snow_and_ice,0.0,1.0,1.0,23.0,10.0,10.0,0.0
flooded_vegetation_to_water,1.0,3.0,3.0,9.0,38.0,10.0,33.0
flooded_vegetation_to_trees,5.905882352941177,167.0,7.0,77.16078431372549,121.63137254901963,141.64705882352942,162.0
