Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,926475.8431372577,927157.019607846,928093.49411765,928877.643137258,929010.0745098068,929566.7725490228,929449.4470588266
water_to_trees,45.4156862745098,58.7921568627451,61.68235294117647,43.29019607843137,19.0,73.0235294117647,60.85490196078432
water_to_grass,21.0,17.0,5.0,2.0,4.0,2.0,9.0
water_to_flooded_vegetation,98.0,500.035294117647,28.0,625.5960784313726,60.964705882352945,109.0,465.93333333333334
water_to_crops,7.0,23.0,42.0,14.0,33.0,70.0,5.0
water_to_shrub_and_scrub,235.99607843137255,94.0,152.9607843137255,18.250980392156862,715.3647058823528,124.0,161.69803921568626
water_to_built,97.5529411764706,169.77647058823533,130.03921568627453,129.6235294117647,133.94901960784313,140.69411764705885,128.38039215686274
water_to_bare_soil,1365.1254901960783,926.6156862745099,1244.549019607843,1033.5725490196078,1762.0666666666668,1123.38431372549,1991.2
water_to_snow_and_ice,1239.6941176470589,284.2509803921569,609.5999999999999,760.1019607843135,241.78039215686275,1538.0627450980392,692.9529411764706
trees_to_water,49.0,32.91372549019608,34.733333333333334,78.10980392156863,56.31764705882353,34.0,35.42745098039216
trees_to_trees,730392.1490196078,732670.6431372549,693524.1843137256,721782.1294117649,771682.1137254903,811101.8352941177,1072548.1019607845
trees_to_grass,320.0,237.0,130.0,340.0,194.75294117647059,54.0,625.3450980392157
trees_to_flooded_vegetation,224.92549019607844,200.77254901960785,150.0,245.0,329.77647058823527,159.0,194.85098039215686
trees_to_crops,6813.792156862744,6572.84705882353,1972.349019607843,2630.921568627452,1386.9803921568628,773.564705882353,4404.235294117648
trees_to_shrub_and_scrub,198677.94509803923,106156.27450980394,195594.54901960783,56454.262745098036,239131.80784313724,25622.90980392157,342108.3529411764
trees_to_built,570.1372549019607,789.843137254902,328.1372549019608,517.1529411764706,588.3215686274509,794.2666666666665,717.0901960784313
trees_to_bare_soil,3094.5254901960784,3597.082352941177,109.7843137254902,584.1019607843137,124.0,767.0078431372549,1761.3450980392156
trees_to_snow_and_ice,234.14901960784312,78.0,45.0,73.0,31.0,113.03529411764706,105.9607843137255
grass_to_water,5.0,2.0,3.0,15.0,7.0,23.0,1.0
grass_to_trees,738.5843137254901,281.7529411764706,1319.0,370.0,201.0,205.0,1340.0235294117647
grass_to_grass,126229.07843137255,118748.44705882354,147138.95686274508,134076.99607843137,63661.39607843137,60423.36078431372,95316.54117647061
grass_to_flooded_vegetation,8.0,9.0,11.0,16.0,23.0,19.0,27.0
grass_to_crops,23138.81960784315,10483.835294117645,7154.682352941177,8678.074509803922,6423.807843137256,7281.827450980392,5032.415686274509
grass_to_shrub_and_scrub,159546.01568627448,13575.698039215686,74579.29411764706,58072.47843137255,88972.61568627451,10201.203921568627,75929.04705882353
grass_to_built,457.6666666666667,847.0,53.0,286.0,114.0,176.0,239.84313725490196
