Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,914792.1254901963,915155.3725490201,915881.8666666673,915909.5490196086,915810.3058823536,916062.3098039222,915897.5529411772
water_to_trees,39.4156862745098,13.792156862745099,55.68235294117647,21.29019607843137,15.0,44.023529411764706,45.85490196078432
water_to_grass,12.654901960784315,13.513725490196075,4.0,0.0,3.0,0.0,6.0
water_to_flooded_vegetation,80.64313725490196,490.56862745098033,6.7215686274509805,615.7098039215687,30.96470588235294,62.63137254901961,444.8862745098039
water_to_crops,4.0,18.854901960784314,10.0,12.901960784313726,15.0,64.0,4.0
water_to_shrub_and_scrub,221.84705882352938,75.1607843137255,142.71372549019608,13.250980392156862,478.8235294117647,99.65490196078431,102.18823529411763
water_to_built,35.07450980392157,58.674509803921566,19.501960784313727,42.239215686274505,20.490196078431378,49.490196078431374,26.200000000000003
water_to_bare_soil,529.0392156862745,399.4980392156863,400.38823529411764,609.9176470588235,808.8941176470588,255.8235294117647,395.8117647058823
water_to_snow_and_ice,867.0705882352943,243.23137254901962,505.38431372548985,642.7529411764702,179.30588235294118,1313.403921568627,396.2862745098039
trees_to_water,18.0,26.91372549019608,14.733333333333333,69.10980392156863,22.317647058823532,33.0,29.39607843137255
trees_to_trees,516403.60392156866,518932.4235294118,486906.7607843137,510012.90588235314,559145.662745098,596251.8313725491,798760.466666667
trees_to_grass,157.0,203.0,80.0,192.0,125.97254901960784,38.0,546.3019607843137
trees_to_flooded_vegetation,92.92549019607843,102.87058823529412,8.831372549019608,76.4078431372549,86.46274509803922,57.0,115.1843137254902
trees_to_crops,4649.0392156862745,4962.874509803922,1452.9372549019608,2189.756862745098,921.0980392156863,455.0862745098039,3321.2
trees_to_shrub_and_scrub,147836.862745098,81386.9137254902,149174.92941176475,41148.756862745104,171640.05490196077,11870.788235294114,263918.0784313726
trees_to_built,386.05882352941177,450.2862745098039,200.36470588235295,352.79999999999995,418.03921568627453,537.7647058823529,474.2352941176471
trees_to_bare_soil,2846.6549019607846,2725.0313725490196,25.47450980392157,335.79215686274506,108.0,752.7058823529412,1722.5607843137254
trees_to_snow_and_ice,197.7372549019608,69.0,21.0,43.48627450980392,13.0,107.03529411764706,87.4078431372549
grass_to_water,1.0,0.0,1.5019607843137255,8.788235294117648,3.0,13.44313725490196,0.0
grass_to_trees,626.0941176470589,188.27843137254902,1094.0,302.9450980392157,123.0,151.69411764705882,1092.0235294117647
grass_to_grass,83861.10980392157,83235.76470588235,100763.70980392156,86274.68235294116,28025.2431372549,25859.77254901961,51780.09411764706
grass_to_flooded_vegetation,1.0,0.0,0.0,3.0,0.0,7.0,16.0
grass_to_crops,16781.796078431373,2472.627450980392,2061.6941176470586,4833.003921568627,3194.8901960784306,5358.882352941175,1674.0117647058823
grass_to_shrub_and_scrub,129309.40392156858,9281.101960784314,57237.74509803921,38973.96862745099,69130.68235294116,1439.5254901960789,63158.11764705882
grass_to_built,79.4235294117647,70.65098039215685,11.0,56.32549019607843,7.356862745098039,50.17254901960784,27.925490196078435
grass_to_bare_soil,13553.698039215693,2480.717647058824,1352.4274509803922,7461.4078431372545,3627.18431372549,1128.5176470588237,236.0
grass_to_snow_and_ice,1.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,283.22352941176473,12.952941176470588,713.6078431372548,34.72156862745098,538.1960784313726,209.36470588235295,108.48235294117646
flooded_vegetation_to_trees,29.090196078431372,5.0,72.0,24.741176470588236,34.35294117647059,245.03137254901964,272.07450980392156
flooded_vegetation_to_grass,0.0,0.0,5.0,0.0,3.0,15.0,0.0
flooded_vegetation_to_flooded_vegetation,6991.10588235294,7371.309803921567,7412.262745098038,7147.172549019605,7440.945098039215,7157.388235294116,6936.662745098038
flooded_vegetation_to_crops,40.0,75.0,33.0,52.0,34.0,33.0,63.0
flooded_vegetation_to_shrub_and_scrub,205.0,56.01176470588236,329.98823529411766,458.36470588235295,195.0,196.01176470588234,167.74901960784314
flooded_vegetation_to_built,0.0,33.61176470588235,13.352941176470589,4.117647058823529,7.678431372549019,9.313725490196079,5.0
flooded_vegetation_to_bare_soil,6.0,7.0,39.0,25.0,47.0,8.725490196078432,1.0
flooded_vegetation_to_snow_and_ice,17.0,1.0,2.0,71.0,11.0,29.0,4.0
crops_to_water,3.0,9.0,24.0,60.0,111.90196078431373,56.0,21.0
crops_to_trees,3181.294117647059,1523.682352941176,4961.309803921568,4253.882352941177,1998.8470588235293,3697.941176470588,2750.7686274509806
crops_to_grass,1673.243137254902,3208.5294117647054,7187.160784313723,4372.768627450979,2788.4235294117643,2066.105882352941,8673.850980392157
crops_to_flooded_vegetation,46.0,33.0,47.85490196078432,79.0,49.0,58.0,143.0
crops_to_crops,170242.55294117652,226106.58431372553,210489.98431372555,188308.76862745103,136538.17254901963,125227.5960784314,118053.64313725491
