Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,1845773.5803921574,1845987.1803921573,1846660.396078432,1846428.8705882358,1845106.3607843143,1849579.647058824,1846296.1803921573
water_to_trees,12.576470588235294,24.2,18.28627450980392,11.709803921568628,35.0,39.94901960784314,33.12549019607843
water_to_grass,2.0,4.0,1.0,0.0,0.0,2.0,1.0
water_to_flooded_vegetation,1745.0,3758.956862745098,319.0,1752.3882352941177,2533.0313725490196,2083.9960784313726,920.0666666666666
water_to_crops,10.0,2.0,0.0,0.0,0.0,0.0,0.0
water_to_shrub_and_scrub,44.99607843137255,68.0,54.03137254901961,25.0,32.627450980392155,26.0,50.247058823529414
water_to_built,14.392156862745097,57.27450980392157,35.91372549019608,34.33333333333333,31.98039215686274,74.3921568627451,62.7529411764706
water_to_bare_soil,1033.2980392156862,3440.7254901960787,907.5372549019608,7804.21568627451,1432.8352941176472,2856.5803921568627,3670.2156862745096
water_to_snow_and_ice,470.44313725490196,488.7882352941176,390.0,604.1686274509805,74.0,1437.6549019607842,289.69019607843137
trees_to_water,24.0,4.08235294117647,23.266666666666666,43.87058823529412,17.67450980392157,1.0,5.231372549019608
trees_to_trees,903010.3137254901,948721.5843137255,976001.9843137255,1031971.7921568629,1084255.023529412,1111975.329411765,1310190.4941176472
trees_to_grass,107.0,97.0,399.0,151.0,38.0,176.0,199.65098039215687
trees_to_flooded_vegetation,1373.0627450980392,768.2196078431373,141.0,218.0,362.21176470588233,582.0,217.76078431372548
trees_to_crops,1142.9450980392157,1811.9764705882353,808.9254901960785,1192.698039215686,1790.1176470588234,762.1882352941177,683.5999999999999
trees_to_shrub_and_scrub,84407.58039215687,54738.47843137255,74752.12549019608,21050.839215686276,149197.9215686275,5792.423529411765,165078.34509803922
trees_to_built,24.0,45.0,32.0,22.95294117647059,24.36862745098039,40.06666666666666,47.83529411764706
trees_to_bare_soil,157.30588235294118,166.521568627451,17.992156862745098,904.0,4.0,3.992156862745098,8.0
trees_to_snow_and_ice,158.27450980392157,29.0,30.0,87.0,33.0,23.95686274509804,46.0
grass_to_water,9.0,6.0,9.0,16.0,3.0,0.0,6.0
grass_to_trees,1519.0,92.0,355.0,380.0,62.0,10.0,900.9568627450981
grass_to_grass,34345.945098039214,37289.24705882353,59269.39215686274,50210.86274509804,16857.0,21232.313725490196,39356.78039215687
grass_to_flooded_vegetation,119.0,582.0,24.0,182.0,137.0,96.0,147.0
grass_to_crops,4974.764705882353,6566.105882352942,526.0,2516.949019607843,144.0,284.0,181.0
grass_to_shrub_and_scrub,82405.97647058823,7415.921568627451,28122.70980392157,55097.53333333333,42514.04313725491,2613.4039215686275,55433.52156862746
grass_to_built,5.0,6.0,2.0,15.0,0.0,1.0,4.0
grass_to_bare_soil,4376.603921568627,404.0,35.0,393.49411764705883,219.0,31.933333333333334,4.0
grass_to_snow_and_ice,36.0,0.0,0.0,2.0,0.0,2.0,0.0
flooded_vegetation_to_water,978.7686274509804,250.04705882352943,4977.501960784313,1733.0,1256.4313725490197,645.5882352941176,1556.3882352941177
flooded_vegetation_to_trees,75.0,12.0,231.0,826.0901960784314,96.0,183.09803921568627,129.921568627451
flooded_vegetation_to_grass,283.0,2.0,239.0,77.0,117.0,173.0,223.0
