Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,22631.674509804077,23119.188235294267,23695.40392156878,24508.321568627605,24924.796078431515,25594.94901960799,25472.090196078585
water_to_trees,45.4156862745098,27.7921568627451,60.68235294117647,22.29019607843137,16.0,73.02352941176471,55.85490196078432
water_to_grass,20.56078431372549,15.996078431372553,5.0,2.0,4.0,2.0,9.0
water_to_flooded_vegetation,76.86666666666667,487.5529411764706,24.666666666666668,614.7843137254903,49.964705882352945,108.6313725490196,452.9764705882353
water_to_crops,7.0,16.854901960784314,41.0,12.901960784313726,29.0,9.0,2.0
water_to_shrub_and_scrub,188.24313725490197,82.56078431372549,147.12941176470585,15.250980392156862,686.243137254902,116.58039215686274,150.14901960784314
water_to_built,70.19215686274511,121.29803921568627,112.26666666666668,101.74901960784314,109.82352941176468,78.4392156862745,108.37254901960783
water_to_bare_soil,1112.1333333333332,613.2117647058824,620.7725490196078,756.3215686274509,1030.270588235294,1011.8039215686274,1719.329411764706
water_to_snow_and_ice,520.8823529411764,122.68235294117646,354.3764705882352,340.6117647058825,125.4392156862745,788.0666666666672,158.85098039215688
trees_to_water,33.0,28.91372549019608,22.733333333333334,78.10980392156863,56.31764705882353,7.0,26.39607843137255
trees_to_trees,464119.58823529334,465898.12549019523,439793.0352941168,456647.10588235204,505211.52941176365,535569.9019607829,727010.7529411745
trees_to_grass,192.0,210.0,114.0,236.0,170.37254901960785,36.0,571.2980392156863
trees_to_flooded_vegetation,203.92549019607844,200.0705882352941,147.84313725490196,244.7019607843137,329.77647058823527,156.0,194.5843137254902
trees_to_crops,5494.560784313726,4830.913725490196,1489.5176470588235,1886.396078431373,1160.419607843137,501.83137254901965,3735.9333333333325
trees_to_shrub_and_scrub,137307.96862745084,74664.86666666667,131510.9372549019,36531.6549019608,171944.125490196,12430.17254901961,246517.03137254878
trees_to_built,426.56470588235294,555.6078431372549,290.90588235294115,426.41568627450977,448.4313725490196,673.6313725490195,636.8588235294118
trees_to_bare_soil,2780.0196078431372,2350.788235294118,103.71372549019608,255.58823529411768,115.0,730.7960784313725,1756.0313725490196
trees_to_snow_and_ice,171.0392156862745,18.0,45.0,47.0,31.0,112.03529411764706,87.52941176470588
grass_to_water,5.0,2.0,2.623529411764706,13.901960784313726,6.0,22.67058823529412,1.0
grass_to_trees,643.5372549019608,234.61960784313726,1142.0,337.94117647058823,172.0,172.75294117647059,1258.0235294117647
grass_to_grass,95920.7411764706,93699.58039215687,124096.63529411766,110021.8862745098,41211.16470588235,36997.737254901964,57684.647058823524
grass_to_flooded_vegetation,7.0,9.0,11.0,16.0,23.0,18.992156862745098,16.0
grass_to_crops,18044.807843137256,4709.243137254902,3152.878431372549,6820.807843137257,5739.964705882358,3979.4666666666667,1783.2235294117645
grass_to_shrub_and_scrub,146758.41568627453,9771.639215686275,66758.95294117648,50728.34509803923,79723.44705882351,9060.749019607845,65229.047058823504
grass_to_built,455.4549019607843,845.0862745098038,53.0,283.8627450980392,113.76862745098039,174.71372549019608,239.07058823529414
grass_to_bare_soil,17684.682352941185,3459.819607843137,950.3215686274509,9176.38431372549,4394.18431372549,1683.043137254902,35.0
grass_to_snow_and_ice,1.0,1.0,1.0,23.0,10.0,10.0,0.0
flooded_vegetation_to_water,283.22352941176473,14.952941176470588,688.6705882352942,25.666666666666664,571.1960784313726,207.45490196078433,141.48235294117646
flooded_vegetation_to_trees,34.54117647058824,150.0,79.0,95.53333333333333,155.50588235294117,385.7647058823529,419.07450980392156
flooded_vegetation_to_grass,1.0,4.0,10.0,1.0,27.0,20.0,37.0
flooded_vegetation_to_flooded_vegetation,7347.6627450980395,7677.09019607843,7768.164705882353,8086.18431372549,8461.172549019608,8397.10588235294,8134.341176470588
flooded_vegetation_to_crops,40.0,71.0,42.0,54.0,35.0,35.0,73.0
flooded_vegetation_to_shrub_and_scrub,163.0,81.01176470588236,315.98823529411766,106.94117647058823,285.0,170.01176470588237,350.7803921568627
flooded_vegetation_to_built,0.0,8.611764705882353,13.352941176470589,5.117647058823529,7.67843137254902,9.313725490196079,5.0
flooded_vegetation_to_bare_soil,19.0,14.0,41.0,41.0,92.0,37.72549019607843,32.0
flooded_vegetation_to_snow_and_ice,31.0,2.0,3.0,54.0,21.0,41.0,25.0
crops_to_water,4.0,45.0,24.0,30.0,9.901960784313726,40.0,20.0
crops_to_trees,2849.196078431373,2396.2313725490194,4872.980392156863,5104.545098039215,2123.0549019607843,5299.835294117646,3131.2823529411767
crops_to_grass,2498.0235294117647,4751.996078431372,10907.156862745103,6013.886274509808,4608.149019607843,4118.3725490196075,8460.733333333334
crops_to_flooded_vegetation,39.0,32.0,89.85490196078432,71.0,50.0,79.0,144.0
crops_to_crops,208954.76470588194,256782.57647058775,227938.72549019573,197677.92156862718,144057.85882352927,132481.02352941158,120270.0901960783
crops_to_shrub_and_scrub,43747.61960784317,30279.462745098044,101502.0509803922,38311.82745098042,94073.56470588238,27375.937254901986,48647.70980392159
crops_to_built,1543.3921568627445,1200.7176470588233,1933.588235294117,1097.2039215686275,2197.5568627450975,1992.8431372549016,2349.0666666666657
crops_to_bare_soil,20902.866666666665,16800.317647058822,10073.380392156865,23253.984313725494,9091.313725490198,8379.635294117648,5173.803921568628
crops_to_snow_and_ice,6.0,4.0,6.0,92.98039215686275,44.0,27.0,12.337254901960783
shrub_and_scrub_to_water,203.7450980392157,210.78823529411764,104.28235294117647,682.4941176470588,100.5137254901961,148.45882352941177,383.10980392156864
shrub_and_scrub_to_trees,80669.78039215687,104304.92156862737,49596.77647058824,216802.4392156861,41876.0,438515.31764705805,70146.88235294115
shrub_and_scrub_to_grass,13648.294117647058,92819.48627450975,21567.976470588233,12605.89019607843,2828.278431372549,83850.27450980393,10979.760784313727
shrub_and_scrub_to_flooded_vegetation,192.24705882352941,411.98823529411766,280.08627450980396,532.9254901960785,280.46274509803925,380.94117647058823,530.9372549019608
shrub_and_scrub_to_crops,56412.44313725492,66227.97647058826,18696.635294117645,43237.52941176473,9844.380392156863,38117.352941176505,21832.654901960796
shrub_and_scrub_to_shrub_and_scrub,3911551.5058823708,3910088.819607858,3939876.662745117,4031091.709803934,4112168.2235294245,3902196.9098039228,3850220.8117647017
shrub_and_scrub_to_built,2514.149019607843,10169.400000000034,4655.635294117652,5295.011764705883,4139.270588235293,6311.227450980392,9813.549019607857
shrub_and_scrub_to_bare_soil,50251.44313725488,76000.94509803914,3707.349019607843,18193.85098039216,4398.427450980393,22889.13333333333,7375.925490196079
shrub_and_scrub_to_snow_and_ice,813.3254901960784,249.31372549019608,282.10980392156864,575.5882352941177,165.4392156862745,936.3568627450979,959.4
built_to_water,176.09411764705882,83.33333333333333,95.74509803921568,61.572549019607834,38.72941176470588,102.2156862745098,25.274509803921568
built_to_trees,226.89803921568628,131.31372549019608,194.64705882352942,246.8901960784314,290.035294117647,256.65098039215684,419.64313725490194
built_to_grass,104.3686274509804,130.66666666666669,695.4901960784313,115.0,379.1176470588234,219.42745098039217,277.07843137254895
built_to_flooded_vegetation,20.96470588235294,1.0,6.890196078431373,30.95686274509804,0.0,2.007843137254902,4.0
built_to_crops,951.792156862745,702.5686274509802,932.1137254901959,1339.0666666666664,565.807843137255,927.2313725490195,1169.811764705882
built_to_shrub_and_scrub,7335.898039215697,1202.105882352941,3243.5333333333333,2246.1686274509793,2783.7764705882355,1955.2627450980394,2239.1372549019607
built_to_built,144881.20392156637,147218.98431372322,155916.47058823274,160968.91372548754,164510.18039215417,168192.42352940884,173541.14509803618
built_to_bare_soil,1490.0039215686274,598.592156862745,170.91764705882355,346.38039215686274,226.98039215686273,539.9882352941177,262.6862745098039
built_to_snow_and_ice,147.0705882352941,5.0,54.603921568627456,119.19607843137254,7.0,128.2941176470588,63.0
bare_soil_to_water,1053.6941176470586,709.5450980392158,1399.2470588235294,1331.7019607843135,1506.2666666666667,1943.0509803921568,856.1372549019608
bare_soil_to_trees,122.0,266.68235294117653,558.5529411764705,178.71372549019608,308.9098039215686,236.30196078431374,630.5803921568627
bare_soil_to_grass,340.0,4527.686274509804,20017.870588235295,2397.866666666667,2892.043137254902,1002.2,6623.733333333334
bare_soil_to_flooded_vegetation,97.0,58.0,97.93725490196078,53.0,90.0,65.0,172.74901960784314
bare_soil_to_crops,22375.933333333334,23981.603921568632,19315.93333333334,5189.776470588235,18356.215686274503,12145.117647058829,10083.72156862745
bare_soil_to_shrub_and_scrub,12958.450980392157,11478.219607843137,85193.35686274509,16527.690196078434,30631.43137254903,18867.25098039216,35063.90196078432
bare_soil_to_built,165.91372549019607,1052.1450980392158,2477.235294117647,598.3529411764705,729.5098039215686,505.1843137254902,489.98823529411754
